report_begin_date,report_end_date,published_date,group,category,description,commodity,class,volume,unit,Year,IndexbyYear,report_date
"12/22/2024","12/28/2024","01/10/2025 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1,"Pct",2024,52,2024-12-23 00:00:00.000
"12/22/2024","12/28/2024","01/10/2025 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",4508,"Head",2024,52,2024-12-23 00:00:00.000
"12/15/2024","12/21/2024","01/02/2025 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.5,"Pct",2024,51,2024-12-16 00:00:00.000
"12/15/2024","12/21/2024","01/02/2025 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",9160,"Head",2024,51,2024-12-16 00:00:00.000
"12/08/2024","12/14/2024","12/26/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",9167,"Head",2024,50,2024-12-09 00:00:00.000
"12/08/2024","12/14/2024","12/26/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.5,"Pct",2024,50,2024-12-09 00:00:00.000
"12/01/2024","12/07/2024","12/19/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.3,"Pct",2024,49,2024-12-02 00:00:00.000
"12/01/2024","12/07/2024","12/19/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",8273,"Head",2024,49,2024-12-02 00:00:00.000
"11/24/2024","11/30/2024","12/12/2024 10:00:02","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",7507,"Head",2024,48,2024-11-25 00:00:00.000
"11/24/2024","11/30/2024","12/12/2024 10:00:02","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.4,"Pct",2024,48,2024-11-25 00:00:00.000
"11/17/2024","11/23/2024","12/05/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.6,"Pct",2024,47,2024-11-18 00:00:00.000
"11/17/2024","11/23/2024","12/05/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",10400,"Head",2024,47,2024-11-18 00:00:00.000
"11/10/2024","11/16/2024","11/29/2024 10:00:02","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",10388,"Head",2024,46,2024-11-11 00:00:00.000
"11/10/2024","11/16/2024","11/29/2024 10:00:02","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.7,"Pct",2024,46,2024-11-11 00:00:00.000
"11/03/2024","11/09/2024","11/21/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",10278,"Head",2024,45,2024-11-04 00:00:00.000
"11/03/2024","11/09/2024","11/21/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.7,"Pct",2024,45,2024-11-04 00:00:00.000
"10/27/2024","11/02/2024","11/14/2024 10:00:02","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.6,"Pct",2024,44,2024-10-28 00:00:00.000
"10/27/2024","11/02/2024","11/14/2024 10:00:02","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",9795,"Head",2024,44,2024-10-28 00:00:00.000
"10/20/2024","10/26/2024","11/07/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.6,"Pct",2024,43,2024-10-21 00:00:00.000
"10/20/2024","10/26/2024","11/07/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",10135,"Head",2024,43,2024-10-21 00:00:00.000
"10/13/2024","10/19/2024","10/31/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.6,"Pct",2024,42,2024-10-14 00:00:00.000
"10/13/2024","10/19/2024","10/31/2024 10:00:01","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",9825,"Head",2024,42,2024-10-14 00:00:00.000
"10/06/2024","10/12/2024","10/24/2024 11:57:10","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.7,"Pct",2024,41,2024-10-07 00:00:00.000
"10/06/2024","10/12/2024","10/24/2024 11:57:10","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",10102,"Head",2024,41,2024-10-07 00:00:00.000
"09/29/2024","10/05/2024","10/17/2024 10:00:02","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",9992,"Head",2024,40,2024-09-30 00:00:00.000
"09/29/2024","10/05/2024","10/17/2024 10:00:02","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",1.6,"Pct",2024,40,2024-09-30 00:00:00.000
"09/22/2024","09/28/2024","10/10/2024 11:58:11","Livestock","Federally Inspected Slaughter (Actual)","Head Slaughtered","Slaughter Cattle","Bulls",11049,"Head",2024,39,2024-09-23 00:00:00.000
