report_date,for_date_begin,avg_carcass_weight,avg_backfat,avg_loin_area,avg_loin_depth,standard_lean_yield,wtd_avg_base,wtd_avg_net_price,WeekofYear,Year,IndexbyYear
2024-10-28 00:00:00.000,2024-10-25 00:00:00.000,215.93,".66","7.76","2.58","53.40","82.73","84.52","441",2024,212
2024-10-21 00:00:00.000,2024-10-18 00:00:00.000,214.92,".66","7.82","2.60","53.40","81.91","83.78","431",2024,207
2024-07-29 00:00:00.000,2024-07-26 00:00:00.000,212.03,".66","7.80","2.59","53.40","90.96","93.01","311",2024,148
2022-10-31 00:00:00.000,2022-10-28 00:00:00.000,216.71,".66","7.78","2.59","53.40","91.69","93.40","451",2022,213
2022-01-05 00:00:00.000,2022-01-04 00:00:00.000,220.07,".66","7.91","2.63","53.40","75.11","76.57","23",2022,3
2022-01-04 00:00:00.000,2022-01-03 00:00:00.000,219.25,".66","7.85","2.61","53.40","75.83","77.01","22",2022,2
2021-12-29 00:00:00.000,2021-12-28 00:00:00.000,218.6,".66","7.88","2.62","53.40","74.16","75.69","533",2021,253
2021-12-21 00:00:00.000,2021-12-20 00:00:00.000,217.53,".66","7.88","2.62","53.40","74.42","75.99","522",2021,248
2021-12-20 00:00:00.000,2021-12-17 00:00:00.000,218.12,".66","7.92","2.63","53.40","73.96","75.48","521",2021,247
2021-12-17 00:00:00.000,2021-12-16 00:00:00.000,218.21,".66","7.91","2.63","53.40","73.01","74.70","515",2021,246
2021-12-16 00:00:00.000,2021-12-15 00:00:00.000,217.86,".66","7.86","2.62","53.40","73.03","74.58","514",2021,245
2021-12-15 00:00:00.000,2021-12-14 00:00:00.000,217.62,".66","7.87","2.62","53.40","72.85","74.55","513",2021,244
2021-12-10 00:00:00.000,2021-12-09 00:00:00.000,218.52,".66","7.87","2.62","53.40","72.71","74.23","505",2021,241
2021-11-18 00:00:00.000,2021-11-17 00:00:00.000,217.13,".66","7.90","2.63","53.40","75.09","76.82","474",2021,226
2021-11-17 00:00:00.000,2021-11-16 00:00:00.000,216.32,".66","7.90","2.63","53.40","75.88","77.64","473",2021,225
2021-11-05 00:00:00.000,2021-11-04 00:00:00.000,216.78,".66","7.88","2.62","53.40","78.02","79.86","455",2021,217
2021-10-28 00:00:00.000,2021-10-27 00:00:00.000,215.34,".66","7.89","2.63","53.40","79.16","80.93","444",2021,211
2021-10-27 00:00:00.000,2021-10-26 00:00:00.000,215.22,".66","7.81","2.60","53.40","79.35","81.09","443",2021,210
