baseSubsidyAmount,conservationComplianceSubsidyReductionAmount,coverageLevelPercent,coveragePrice,endDate,endorsementLength,expectedEndingValueAmount,headCount,insuredSharePercent,livestockRate,perHeadPremium,perHundredWeightPremium,perUnitPremium,practiceCode,producerPremiumAmount,salesEffectiveDate,subsidyPercent,targetWeightQuantity,typeCode,unitPrice,benefitsReceivedYearCount,conservationComplianceSubsidyReductionPercent,farmerRancherIndicatorCode,farmerRancherSubsidyAmount,liabilityAmount,subsidyAmount,totalPremiumAmount,commodityCode,commodityYear,countyCode,errorMessages,insurancePlanCode,isValid,reinsuranceYear,stateCode,trackingId,Commodity,Strike,Grouping Date,CME Premium,BusinessDayOfMonth,LookupMonth,LastBusinessDay,Weekdays to Expiration,Expiration Date,Futures Price
179092,0,0.95,219.6,2026-03-16 00:00:00.000,13,231.154,10000,1,0.023301,33.26,3.33,33.26,203,332598,20251215,0.35,10,820,"",0,0,"",0,21960000,179092,511690,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",220,"202604",5.1,11,4,22,-13,2026-04-02 00:00:00.000,230.025
208882,0,0.96,221.91,2026-03-16 00:00:00.000,13,231.154,10000,1,0.026894,38.79,3.88,38.79,203,387923,20251215,0.35,10,820,"",0,0,"",0,22191000,208882,596805,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",222,"202604",5.6,11,4,22,-13,2026-04-02 00:00:00.000,230.025
241992,0,0.97,224.22,2026-03-16 00:00:00.000,13,231.154,10000,1,0.030836,44.94,4.49,44.94,203,449413,20251215,0.35,10,820,"",0,0,"",0,22422000,241992,691405,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",224,"202604",6.35,11,4,22,-13,2026-04-02 00:00:00.000,230.025
279402,0,0.98,226.53,2026-03-16 00:00:00.000,13,231.154,10000,1,0.03524,51.89,5.19,51.89,203,518890,20251215,0.35,10,820,"",0,0,"",0,22653000,279402,798292,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",226,"202604",7.5,11,4,22,-13,2026-04-02 00:00:00.000,230.025
320288,0,0.99,228.84,2026-03-16 00:00:00.000,13,231.154,10000,1,0.039989,59.48,5.95,59.48,203,594820,20251215,0.35,10,820,"",0,0,"",0,22884000,320288,915108,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",228,"202604",8.1,11,4,22,-13,2026-04-02 00:00:00.000,230.025
361480,0,1,231.15,2026-03-16 00:00:00.000,13,231.154,10000,1,0.044681,67.13,6.71,67.13,203,671321,20251215,0.35,10,820,"",0,0,"",0,23115000,361480,1032801,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",232,"202604",10.3,11,4,22,-13,2026-04-02 00:00:00.000,230.025
235127,0,0.95,219.31,2026-04-13 00:00:00.000,17,230.848,10000,1,0.030632,43.67,4.37,43.67,204,436663,20251215,0.35,10,820,"",0,0,"",0,21931000,235127,671790,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",220,"202604",5.1,9,4,22,6,2026-04-02 00:00:00.000,230.025
267191,0,0.96,221.61,2026-04-13 00:00:00.000,17,230.848,10000,1,0.034448,49.62,4.96,49.62,204,496211,20251215,0.35,10,820,"",0,0,"",0,22161000,267191,763402,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",222,"202604",5.6,9,4,22,6,2026-04-02 00:00:00.000,230.025
303417,0,0.97,223.92,2026-04-13 00:00:00.000,17,230.848,10000,1,0.038715,56.35,5.63,56.35,204,563489,20251215,0.35,10,820,"",0,0,"",0,22392000,303417,866906,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",224,"202604",6.35,9,4,22,6,2026-04-02 00:00:00.000,230.025
343034,0,0.98,226.23,2026-04-13 00:00:00.000,17,230.848,10000,1,0.043323,63.71,6.37,63.71,204,637062,20251215,0.35,10,820,"",0,0,"",0,22623000,343034,980096,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",226,"202604",7.5,9,4,22,6,2026-04-02 00:00:00.000,230.025
