report_date,purchase_type,wtd_avg,price_5day,Name,Year
2024-12-31 00:00:00.000,"Negotiated (carcass basis)",80.08,79.24,"National",2024
2024-12-30 00:00:00.000,"Negotiated (carcass basis)",78.81,78.61,"National",2024
2024-12-27 00:00:00.000,"Negotiated (carcass basis)",77.27,79.05,"National",2024
2024-12-26 00:00:00.000,"Negotiated (carcass basis)",79.08,79.29,"National",2024
2024-12-23 00:00:00.000,"Negotiated (carcass basis)",79.56,79.03,"National",2024
2024-12-20 00:00:00.000,"Negotiated (carcass basis)",76.95,78.73,"National",2024
2024-12-19 00:00:00.000,"Negotiated (carcass basis)",79.45,78.82,"National",2024
2024-12-18 00:00:00.000,"Negotiated (carcass basis)",78.03,78.7,"National",2024
2024-12-17 00:00:00.000,"Negotiated (carcass basis)",77.79,79.73,"National",2024
2024-12-16 00:00:00.000,"Negotiated (carcass basis)",79.39,80.96,"National",2024
2024-12-13 00:00:00.000,"Negotiated (carcass basis)",78.93,81.11,"National",2024
2024-12-12 00:00:00.000,"Negotiated (carcass basis)",79.02,81.34,"National",2024
2024-12-11 00:00:00.000,"Negotiated (carcass basis)",81.39,81.9,"National",2024
2024-12-10 00:00:00.000,"Negotiated (carcass basis)",82.11,83.25,"National",2024
2024-12-09 00:00:00.000,"Negotiated (carcass basis)",81.02,85.14,"National",2024
2024-12-06 00:00:00.000,"Negotiated (carcass basis)",80.13,86.59,"National",2024
2024-12-05 00:00:00.000,"Negotiated (carcass basis)",85.34,86.51,"National",2024
2024-12-04 00:00:00.000,"Negotiated (carcass basis)",87.62,86.65,"National",2024
2024-12-03 00:00:00.000,"Negotiated (carcass basis)",86.89,86.56,"National",2024
2024-12-02 00:00:00.000,"Negotiated (carcass basis)",83.97,87.02,"National",2024
2024-11-29 00:00:00.000,"Negotiated (carcass basis)",83.79,87.28,"National",2024
2024-11-27 00:00:00.000,"Negotiated (carcass basis)",87.46,87.12,"National",2024
2024-11-26 00:00:00.000,"Negotiated (carcass basis)",87.86,86.51,"National",2024
2024-11-25 00:00:00.000,"Negotiated (carcass basis)",,83.31,"National",2024
