report_date,published_date,description,commodity,type,class,volume,unit,Year,IndexbyYear
2007-01-06 00:00:00.000,"","","","","Steer",838,"",2007,1
2007-01-13 00:00:00.000,"","","","","Steer",836,"",2007,2
2007-01-20 00:00:00.000,"","","","","Steer",831,"",2007,3
2007-01-27 00:00:00.000,"","","","","Steer",826,"",2007,4
2007-02-03 00:00:00.000,"","","","","Steer",823,"",2007,5
2007-02-10 00:00:00.000,"","","","","Steer",818,"",2007,6
2007-02-17 00:00:00.000,"","","","","Steer",816,"",2007,7
2007-02-24 00:00:00.000,"","","","","Steer",815,"",2007,8
2007-03-03 00:00:00.000,"","","","","Steer",811,"",2007,9
2007-03-10 00:00:00.000,"","","","","Steer",810,"",2007,10
2007-03-17 00:00:00.000,"","","","","Steer",809,"",2007,11
2007-03-24 00:00:00.000,"","","","","Steer",808,"",2007,12
2007-03-31 00:00:00.000,"","","","","Steer",804,"",2007,13
2007-04-07 00:00:00.000,"","","","","Steer",800,"",2007,14
2007-04-14 00:00:00.000,"","","","","Steer",799,"",2007,15
2007-04-21 00:00:00.000,"","","","","Steer",792,"",2007,16
2007-04-28 00:00:00.000,"","","","","Steer",794,"",2007,17
2007-05-05 00:00:00.000,"","","","","Steer",792,"",2007,18
2007-05-12 00:00:00.000,"","","","","Steer",796,"",2007,19
2007-05-19 00:00:00.000,"","","","","Steer",800,"",2007,20
2007-05-26 00:00:00.000,"","","","","Steer",804,"",2007,21
2007-06-02 00:00:00.000,"","","","","Steer",807,"",2007,22
2007-06-09 00:00:00.000,"","","","","Steer",810,"",2007,23
2007-06-16 00:00:00.000,"","","","","Steer",816,"",2007,24
2007-06-23 00:00:00.000,"","","","","Steer",821,"",2007,25
2007-06-30 00:00:00.000,"","","","","Steer",822,"",2007,26
2007-07-07 00:00:00.000,"","","","","Steer",832,"",2007,27
2007-07-14 00:00:00.000,"","","","","Steer",834,"",2007,28
2007-07-21 00:00:00.000,"","","","","Steer",837,"",2007,29
2007-07-28 00:00:00.000,"","","","","Steer",839,"",2007,30
2007-08-04 00:00:00.000,"","","","","Steer",842,"",2007,31
2007-08-11 00:00:00.000,"","","","","Steer",843,"",2007,32
2007-08-18 00:00:00.000,"","","","","Steer",844,"",2007,33
2007-08-25 00:00:00.000,"","","","","Steer",847,"",2007,34
2007-09-01 00:00:00.000,"","","","","Steer",846,"",2007,35
2007-09-08 00:00:00.000,"","","","","Steer",849,"",2007,36
2007-09-15 00:00:00.000,"","","","","Steer",851,"",2007,37
2007-09-22 00:00:00.000,"","","","","Steer",856,"",2007,38
2007-09-29 00:00:00.000,"","","","","Steer",854,"",2007,39
2007-10-06 00:00:00.000,"","","","","Steer",856,"",2007,40
2007-10-13 00:00:00.000,"","","","","Steer",859,"",2007,41
2007-10-20 00:00:00.000,"","","","","Steer",864,"",2007,42
2007-10-27 00:00:00.000,"","","","","Steer",855,"",2007,43
2007-11-03 00:00:00.000,"","","","","Steer",860,"",2007,44
2007-11-10 00:00:00.000,"","","","","Steer",860,"",2007,45
2007-11-17 00:00:00.000,"","","","","Steer",856,"",2007,46
2007-11-24 00:00:00.000,"","","","","Steer",858,"",2007,47
2007-12-01 00:00:00.000,"","","","","Steer",857,"",2007,48
2007-12-08 00:00:00.000,"","","","","Steer",856,"",2007,49
2007-12-15 00:00:00.000,"","","","","Steer",845,"",2007,50
2007-12-22 00:00:00.000,"","","","","Steer",736,"",2007,51
2007-12-29 00:00:00.000,"","","","","Steer",839,"",2007,52
2008-01-05 00:00:00.000,"","","","","Steer",832,"",2008,1
2008-01-12 00:00:00.000,"","","","","Steer",834,"",2008,2
2008-01-19 00:00:00.000,"","","","","Steer",834,"",2008,3
2008-01-26 00:00:00.000,"","","","","Steer",829,"",2008,4
2008-02-02 00:00:00.000,"","","","","Steer",829,"",2008,5
2008-02-09 00:00:00.000,"","","","","Steer",828,"",2008,6
2008-02-16 00:00:00.000,"","","","","Steer",829,"",2008,7
2008-02-23 00:00:00.000,"","","","","Steer",825,"",2008,8
2008-03-01 00:00:00.000,"","","","","Steer",826,"",2008,9
2008-03-08 00:00:00.000,"","","","","Steer",830,"",2008,10
2008-03-15 00:00:00.000,"","","","","Steer",831,"",2008,11
2008-03-22 00:00:00.000,"","","","","Steer",826,"",2008,12
2008-03-29 00:00:00.000,"","","","","Steer",826,"",2008,13
2008-04-05 00:00:00.000,"","","","","Steer",825,"",2008,14
2008-04-12 00:00:00.000,"","","","","Steer",822,"",2008,15
2008-04-19 00:00:00.000,"","","","","Steer",814,"",2008,16
2008-04-26 00:00:00.000,"","","","","Steer",813,"",2008,17
2008-05-03 00:00:00.000,"","","","","Steer",814,"",2008,18
2008-05-10 00:00:00.000,"","","","","Steer",810,"",2008,19
2008-05-17 00:00:00.000,"","","","","Steer",813,"",2008,20
2008-05-24 00:00:00.000,"","","","","Steer",813,"",2008,21
2008-05-31 00:00:00.000,"","","","","Steer",818,"",2008,22
2008-06-07 00:00:00.000,"","","","","Steer",820,"",2008,23
2008-06-14 00:00:00.000,"","","","","Steer",824,"",2008,24
2008-06-21 00:00:00.000,"","","","","Steer",828,"",2008,25
2008-06-28 00:00:00.000,"","","","","Steer",831,"",2008,26
2008-07-05 00:00:00.000,"","","","","Steer",834,"",2008,27
2008-07-12 00:00:00.000,"","","","","Steer",838,"",2008,28
2008-07-19 00:00:00.000,"","","","","Steer",840,"",2008,29
2008-07-26 00:00:00.000,"","","","","Steer",842,"",2008,30
2008-08-02 00:00:00.000,"","","","","Steer",845,"",2008,31
2008-08-09 00:00:00.000,"","","","","Steer",847,"",2008,32
2008-08-16 00:00:00.000,"","","","","Steer",851,"",2008,33
2008-08-23 00:00:00.000,"","","","","Steer",851,"",2008,34
2008-08-30 00:00:00.000,"","","","","Steer",852,"",2008,35
2008-09-06 00:00:00.000,"","","","","Steer",853,"",2008,36
2008-09-13 00:00:00.000,"","","","","Steer",858,"",2008,37
2008-09-20 00:00:00.000,"","","","","Steer",860,"",2008,38
2008-09-27 00:00:00.000,"","","","","Steer",862,"",2008,39
2008-10-04 00:00:00.000,"","","","","Steer",861,"",2008,40
2008-10-11 00:00:00.000,"","","","","Steer",865,"",2008,41
2008-10-18 00:00:00.000,"","","","","Steer",861,"",2008,42
2008-10-25 00:00:00.000,"","","","","Steer",859,"",2008,43
2008-11-01 00:00:00.000,"","","","","Steer",857,"",2008,44
2008-11-08 00:00:00.000,"","","","","Steer",861,"",2008,45
2008-11-15 00:00:00.000,"","","","","Steer",860,"",2008,46
2008-11-22 00:00:00.000,"","","","","Steer",850,"",2008,47
2008-11-29 00:00:00.000,"","","","","Steer",855,"",2008,48
2008-12-06 00:00:00.000,"","","","","Steer",856,"",2008,49
2008-12-13 00:00:00.000,"","","","","Steer",852,"",2008,50
2008-12-20 00:00:00.000,"","","","","Steer",851,"",2008,51
2008-12-27 00:00:00.000,"","","","","Steer",849,"",2008,52
2009-01-03 00:00:00.000,"","","","","Steer",851,"",2009,1
2009-01-10 00:00:00.000,"","","","","Steer",852,"",2009,2
2009-01-17 00:00:00.000,"","","","","Steer",853,"",2009,3
2009-01-24 00:00:00.000,"","","","","Steer",852,"",2009,4
2009-01-31 00:00:00.000,"","","","","Steer",855,"",2009,5
2009-02-07 00:00:00.000,"","","","","Steer",855,"",2009,6
2009-02-14 00:00:00.000,"","","","","Steer",852,"",2009,7
2009-02-21 00:00:00.000,"","","","","Steer",854,"",2009,8
2009-02-28 00:00:00.000,"","","","","Steer",851,"",2009,9
2009-03-07 00:00:00.000,"","","","","Steer",851,"",2009,10
2009-03-14 00:00:00.000,"","","","","Steer",851,"",2009,11
2009-03-21 00:00:00.000,"","","","","Steer",848,"",2009,12
2009-03-28 00:00:00.000,"","","","","Steer",846,"",2009,13
2009-04-04 00:00:00.000,"","","","","Steer",839,"",2009,14
2009-04-11 00:00:00.000,"","","","","Steer",835,"",2009,15
2009-04-18 00:00:00.000,"","","","","Steer",828,"",2009,16
2009-04-25 00:00:00.000,"","","","","Steer",824,"",2009,17
2009-05-02 00:00:00.000,"","","","","Steer",820,"",2009,18
2009-05-09 00:00:00.000,"","","","","Steer",822,"",2009,19
2009-05-16 00:00:00.000,"","","","","Steer",820,"",2009,20
2009-05-23 00:00:00.000,"","","","","Steer",826,"",2009,21
2009-05-30 00:00:00.000,"","","","","Steer",825,"",2009,22
2009-06-06 00:00:00.000,"","","","","Steer",828,"",2009,23
2009-06-13 00:00:00.000,"","","","","Steer",832,"",2009,24
2009-06-20 00:00:00.000,"","","","","Steer",832,"",2009,25
2009-06-27 00:00:00.000,"","","","","Steer",832,"",2009,26
2009-07-04 00:00:00.000,"","","","","Steer",840,"",2009,27
2009-07-11 00:00:00.000,"","","","","Steer",840,"",2009,28
2009-07-18 00:00:00.000,"","","","","Steer",846,"",2009,29
2009-07-25 00:00:00.000,"","","","","Steer",847,"",2009,30
2009-08-01 00:00:00.000,"","","","","Steer",850,"",2009,31
2009-08-08 00:00:00.000,"","","","","Steer",852,"",2009,32
2009-08-15 00:00:00.000,"","","","","Steer",857,"",2009,33
2009-08-22 00:00:00.000,"","","","","Steer",855,"",2009,34
2009-08-29 00:00:00.000,"","","","","Steer",858,"",2009,35
2009-09-05 00:00:00.000,"","","","","Steer",861,"",2009,36
2009-09-12 00:00:00.000,"","","","","Steer",869,"",2009,37
2009-09-19 00:00:00.000,"","","","","Steer",867,"",2009,38
2009-09-26 00:00:00.000,"","","","","Steer",867,"",2009,39
2009-10-03 00:00:00.000,"","","","","Steer",868,"",2009,40
2009-10-10 00:00:00.000,"","","","","Steer",870,"",2009,41
2009-10-17 00:00:00.000,"","","","","Steer",868,"",2009,42
2009-10-24 00:00:00.000,"","","","","Steer",862,"",2009,43
2009-10-31 00:00:00.000,"","","","","Steer",851,"",2009,44
2009-11-07 00:00:00.000,"","","","","Steer",847,"",2009,45
2009-11-14 00:00:00.000,"","","","","Steer",849,"",2009,46
2009-11-21 00:00:00.000,"","","","","Steer",853,"",2009,47
2009-11-28 00:00:00.000,"","","","","Steer",852,"",2009,48
2009-12-05 00:00:00.000,"","","","","Steer",853,"",2009,49
2009-12-12 00:00:00.000,"","","","","Steer",850,"",2009,50
2009-12-19 00:00:00.000,"","","","","Steer",843,"",2009,51
2009-12-26 00:00:00.000,"","","","","Steer",841,"",2009,52
2010-01-02 00:00:00.000,"","","","","Steer",843,"",2010,1
2010-01-09 00:00:00.000,"","","","","Steer",841,"",2010,2
2010-01-16 00:00:00.000,"","","","","Steer",839,"",2010,3
2010-01-23 00:00:00.000,"","","","","Steer",836,"",2010,4
2010-01-30 00:00:00.000,"","","","","Steer",836,"",2010,5
