report_date,purchase_type,price_5day,Name,Year,IndexbyYear,wtd_avg
2025-11-24 00:00:00.000,"Negotiated (carcass basis)",73.95,"Western Cornbelt",2025,230,
2025-11-19 00:00:00.000,"Negotiated (carcass basis)",76,"Western Cornbelt",2025,227,
2025-11-14 00:00:00.000,"Negotiated (carcass basis)",82.19,"Western Cornbelt",2025,224,
2025-10-27 00:00:00.000,"Negotiated (carcass basis)",88.83,"Western Cornbelt",2025,210,
2025-09-11 00:00:00.000,"Negotiated (carcass basis)",106.41,"Western Cornbelt",2025,178,
2025-08-04 00:00:00.000,"Negotiated (carcass basis)",113.04,"Western Cornbelt",2025,151,
2025-07-08 00:00:00.000,"Negotiated (carcass basis)",111.75,"Western Cornbelt",2025,132,
2025-07-07 00:00:00.000,"Negotiated (carcass basis)",111.66,"Western Cornbelt",2025,131,
2025-06-27 00:00:00.000,"Negotiated (carcass basis)",110.51,"Western Cornbelt",2025,126,
2025-06-25 00:00:00.000,"Negotiated (carcass basis)",112.78,"Western Cornbelt",2025,124,
2025-06-02 00:00:00.000,"Negotiated (carcass basis)",99.66,"Western Cornbelt",2025,107,
2025-05-27 00:00:00.000,"Negotiated (carcass basis)",95.98,"Western Cornbelt",2025,103,
2025-05-19 00:00:00.000,"Negotiated (carcass basis)",94.42,"Western Cornbelt",2025,98,
2025-05-16 00:00:00.000,"Negotiated (carcass basis)",94.42,"Western Cornbelt",2025,97,
2025-05-12 00:00:00.000,"Negotiated (carcass basis)",93.94,"Western Cornbelt",2025,93,
2025-04-21 00:00:00.000,"Negotiated (carcass basis)",86.62,"Western Cornbelt",2025,78,
2025-04-17 00:00:00.000,"Negotiated (carcass basis)",86.19,"Western Cornbelt",2025,76,
2025-04-14 00:00:00.000,"Negotiated (carcass basis)",86.37,"Western Cornbelt",2025,73,
2025-04-09 00:00:00.000,"Negotiated (carcass basis)",86.64,"Western Cornbelt",2025,70,
2025-03-03 00:00:00.000,"Negotiated (carcass basis)",89.63,"Western Cornbelt",2025,43,
2025-02-10 00:00:00.000,"Negotiated (carcass basis)",86.55,"Western Cornbelt",2025,28,
2025-02-04 00:00:00.000,"Negotiated (carcass basis)",84.27,"Western Cornbelt",2025,24,
2025-02-03 00:00:00.000,"Negotiated (carcass basis)",84.29,"Western Cornbelt",2025,23,
2025-01-30 00:00:00.000,"Negotiated (carcass basis)",83.89,"Western Cornbelt",2025,21,
2025-01-23 00:00:00.000,"Negotiated (carcass basis)",80.8,"Western Cornbelt",2025,16,
2024-12-20 00:00:00.000,"Negotiated (carcass basis)",78.47,"Western Cornbelt",2024,250,
2024-12-19 00:00:00.000,"Negotiated (carcass basis)",78.75,"Western Cornbelt",2024,249,
2024-12-06 00:00:00.000,"Negotiated (carcass basis)",87.59,"Western Cornbelt",2024,240,
2024-11-25 00:00:00.000,"Negotiated (carcass basis)",83.71,"Western Cornbelt",2024,232,
2024-11-21 00:00:00.000,"Negotiated (carcass basis)",84.15,"Western Cornbelt",2024,230,
2024-11-18 00:00:00.000,"Negotiated (carcass basis)",87.25,"Western Cornbelt",2024,227,
2024-11-08 00:00:00.000,"Negotiated (carcass basis)",83.56,"Western Cornbelt",2024,221,
2024-11-04 00:00:00.000,"Negotiated (carcass basis)",84.05,"Western Cornbelt",2024,217,
2024-10-21 00:00:00.000,"Negotiated (carcass basis)",74.88,"Western Cornbelt",2024,207,
