date,lbs,year,indexby_year
2007-01-06,411.0,2007,1
2007-01-13,465.1,2007,2
2007-01-20,482.3,2007,3
2007-01-27,487.3,2007,4
2007-02-03,491.9,2007,5
2007-02-10,475.9,2007,6
2007-02-17,474.1,2007,7
2007-02-24,486.5,2007,8
2007-03-03,474.1,2007,9
2007-03-10,482.2,2007,10
2007-03-17,480.3,2007,11
2007-03-24,484.6,2007,12
2007-03-31,462.6,2007,13
2007-04-07,451.0,2007,14
2007-04-14,461.1,2007,15
2007-04-21,484.6,2007,16
2007-04-28,502.6,2007,17
2007-05-05,495.1,2007,18
2007-05-12,503.5,2007,19
2007-05-19,527.3,2007,20
2007-05-26,527.6,2007,21
2007-06-02,461.1,2007,22
2007-06-09,534.8,2007,23
2007-06-16,543.8,2007,24
2007-06-23,537.2,2007,25
2007-06-30,535.4,2007,26
2007-07-07,452.3,2007,27
2007-07-14,528.2,2007,28
2007-07-21,531.0,2007,29
2007-07-28,521.9,2007,30
2007-08-04,524.2,2007,31
2007-08-11,527.1,2007,32
2007-08-18,522.0,2007,33
2007-08-25,540.9,2007,34
2007-09-01,552.1,2007,35
2007-09-08,478.0,2007,36
2007-09-15,506.4,2007,37
2007-09-22,509.6,2007,38
2007-09-29,518.7,2007,39
2007-10-06,530.4,2007,40
2007-10-13,505.6,2007,41
2007-10-20,537.2,2007,42
2007-10-27,529.7,2007,43
2007-11-03,521.6,2007,44
2007-11-10,507.0,2007,45
2007-11-17,509.0,2007,46
2007-11-24,463.2,2007,47
2007-12-01,528.1,2007,48
2007-12-08,524.9,2007,49
2007-12-15,508.3,2007,50
2007-12-22,510.4,2007,51
2007-12-29,381.1,2007,52
2008-01-05,411.9,2008,1
2008-01-12,488.0,2008,2
2008-01-19,503.2,2008,3
2008-01-26,491.9,2008,4
2008-02-02,474.1,2008,5
2008-02-09,477.0,2008,6
2008-02-16,482.6,2008,7
2008-02-23,480.0,2008,8
2008-03-01,489.2,2008,9
2008-03-08,500.0,2008,10
2008-03-15,493.4,2008,11
2008-03-22,496.4,2008,12
2008-03-29,476.5,2008,13
2008-04-05,480.4,2008,14
2008-04-12,500.3,2008,15
2008-04-19,515.0,2008,16
2008-04-26,533.1,2008,17
2008-05-03,533.7,2008,18
2008-05-10,538.0,2008,19
2008-05-17,547.0,2008,20
2008-05-24,547.1,2008,21
2008-05-31,474.6,2008,22
2008-06-07,526.8,2008,23
2008-06-14,523.5,2008,24
2008-06-21,533.9,2008,25
2008-06-28,550.0,2008,26
2008-07-05,460.1,2008,27
2008-07-12,542.2,2008,28
2008-07-19,532.7,2008,29
2008-07-26,514.9,2008,30
2008-08-02,516.3,2008,31
2008-08-09,519.4,2008,32
2008-08-16,536.9,2008,33
2008-08-23,527.8,2008,34
2008-08-30,528.7,2008,35
2008-09-06,467.5,2008,36
2008-09-13,514.7,2008,37
2008-09-20,537.6,2008,38
2008-09-27,522.2,2008,39
2008-10-04,500.5,2008,40
2008-10-11,515.2,2008,41
2008-10-18,496.4,2008,42
2008-10-25,505.7,2008,43
2008-11-01,499.1,2008,44
2008-11-08,487.2,2008,45
2008-11-15,483.2,2008,46
2008-11-22,495.4,2008,47
2008-11-29,449.5,2008,48
2008-12-06,485.3,2008,49
2008-12-13,474.2,2008,50
2008-12-20,464.7,2008,51
2008-12-27,353.0,2008,52
2009-01-03,405.3,2009,1
2009-01-10,472.6,2009,2
2009-01-17,480.6,2009,3
2009-01-24,503.3,2009,4
2009-01-31,497.6,2009,5
2009-02-07,492.3,2009,6
2009-02-14,485.8,2009,7
