report_date,for_date_begin,purchase_type,head_count,avg_net_price,avg_carcass_weight,year,indexby_year
2001-08-06,2001-08-03,Prod. Sold (All Purchase Types),255656,71.18,191.58,2001,1
2001-08-06,2001-08-03,Packer Owned,53627,,195.94,2001,1
2001-08-07,2001-08-06,Packer Owned,53183,,195.91,2001,2
2001-08-07,2001-08-06,Prod. Sold (All Purchase Types),229073,71.34,190.1,2001,2
2001-08-08,2001-08-07,Packer Owned,50756,,194.52,2001,3
2001-08-08,2001-08-07,Prod. Sold (All Purchase Types),247803,70.97,190.39,2001,3
2001-08-09,2001-08-08,Packer Owned,31046,,195.52,2001,4
2001-08-09,2001-08-08,Prod. Sold (All Purchase Types),253027,70.53,190.09,2001,4
2001-08-10,2001-08-09,Prod. Sold (All Purchase Types),254106,70.62,190.43,2001,5
2001-08-10,2001-08-09,Packer Owned,51000,,197.03,2001,5
2001-08-13,2001-08-10,Prod. Sold (All Purchase Types),276363,70.38,191.01,2001,6
2001-08-13,2001-08-10,Packer Owned,56062,,195.88,2001,6
2001-08-14,2001-08-13,Prod. Sold (All Purchase Types),246888,70.72,190.63,2001,7
2001-08-14,2001-08-13,Packer Owned,51537,,193.71,2001,7
2001-08-15,2001-08-14,Packer Owned,51813,,194.86,2001,8
2001-08-15,2001-08-14,Prod. Sold (All Purchase Types),287218,70.73,190.61,2001,8
2001-08-16,2001-08-15,Packer Owned,47198,,196.2,2001,9
2001-08-16,2001-08-15,Prod. Sold (All Purchase Types),269365,70.88,191.02,2001,9
2001-08-17,2001-08-16,Packer Owned,50083,,194.89,2001,10
2001-08-17,2001-08-16,Prod. Sold (All Purchase Types),272011,71.07,191.25,2001,10
2001-08-20,2001-08-17,Packer Owned,60811,,195.63,2001,11
2001-08-20,2001-08-17,Prod. Sold (All Purchase Types),273487,71.15,192.12,2001,11
2001-08-21,2001-08-20,Packer Owned,51727,,192.9,2001,12
2001-08-21,2001-08-20,Prod. Sold (All Purchase Types),270325,70.85,192.07,2001,12
2001-08-22,2001-08-21,Packer Owned,50807,,196.09,2001,13
2001-08-22,2001-08-21,Prod. Sold (All Purchase Types),266810,70.73,191.54,2001,13
2001-08-23,2001-08-22,Packer Owned,50017,,194.34,2001,14
2001-08-23,2001-08-22,Prod. Sold (All Purchase Types),275036,69.89,191.16,2001,14
2001-08-24,2001-08-23,Packer Owned,51402,,198.31,2001,15
2001-08-24,2001-08-23,Prod. Sold (All Purchase Types),275848,69.38,191.67,2001,15
2001-08-27,2001-08-24,Prod. Sold (All Purchase Types),282943,68.73,191.79,2001,16
2001-08-27,2001-08-24,Packer Owned,73282,,198.24,2001,16
2001-08-28,2001-08-27,Prod. Sold (All Purchase Types),298585,67.99,191.44,2001,17
2001-08-28,2001-08-27,Packer Owned,52180,,195.22,2001,17
2001-08-29,2001-08-28,Packer Owned,49416,,197.86,2001,18
2001-08-29,2001-08-28,Prod. Sold (All Purchase Types),274567,67.13,191.57,2001,18
2001-08-30,2001-08-29,Packer Owned,49117,,196.34,2001,19
2001-08-30,2001-08-29,Prod. Sold (All Purchase Types),279128,65.96,191.97,2001,19
2001-08-31,2001-08-30,Packer Owned,51959,,198.13,2001,20
2001-08-31,2001-08-30,Prod. Sold (All Purchase Types),281820,64.72,191.28,2001,20
2001-09-04,2001-08-31,Packer Owned,66379,,199.3,2001,21
2001-09-04,2001-08-31,Prod. Sold (All Purchase Types),283489,63.54,192.79,2001,21
2001-09-05,2001-09-04,Packer Owned,52461,,199.37,2001,22
2001-09-05,2001-09-04,Prod. Sold (All Purchase Types),311842,62.76,192.65,2001,22
2001-09-06,2001-09-05,Packer Owned,50901,,196.42,2001,23
2001-09-06,2001-09-05,Prod. Sold (All Purchase Types),274459,61.84,192.27,2001,23
2001-09-07,2001-09-06,Prod. Sold (All Purchase Types),275366,61.64,192.99,2001,24
2001-09-07,2001-09-06,Packer Owned,53656,,200.05,2001,24
2001-09-10,2001-09-07,Packer Owned,104852,,199.53,2001,25
2001-09-10,2001-09-07,Prod. Sold (All Purchase Types),445144,61.58,194.91,2001,25
2001-09-11,2001-09-10,Prod. Sold (All Purchase Types),271119,62.43,193.74,2001,26
2001-09-11,2001-09-10,Packer Owned,52004,,195.94,2001,26
2001-09-12,2001-09-11,Prod. Sold (All Purchase Types),263009,62.26,193.21,2001,27
2001-09-12,2001-09-11,Packer Owned,35728,,198.52,2001,27
2001-09-13,2001-09-12,Prod. Sold (All Purchase Types),280412,62.18,193.74,2001,28
2001-09-13,2001-09-12,Packer Owned,48089,,194.85,2001,28
2001-09-14,2001-09-13,Prod. Sold (All Purchase Types),287792,62.28,194.21,2001,29
2001-09-14,2001-09-13,Packer Owned,51117,,197.48,2001,29
2001-09-17,2001-09-14,Packer Owned,88992,,202.31,2001,30
2001-09-17,2001-09-14,Prod. Sold (All Purchase Types),369665,62.18,194.45,2001,30
2001-09-18,2001-09-17,Prod. Sold (All Purchase Types),271271,62.64,195.8,2001,31
2001-09-18,2001-09-17,Packer Owned,59052,,199.84,2001,31
2001-09-19,2001-09-18,Prod. Sold (All Purchase Types),276962,62.94,194.51,2001,32
2001-09-19,2001-09-18,Packer Owned,50269,,198.91,2001,32
2001-09-20,2001-09-19,Packer Owned,54257,,198.45,2001,33
