report_date,primal_desc,choice_600_900,select_600_900,week_of_year,year,indexby_year,start_of_week,end_of_week
2001-04-03,Loin,,,142,2001,1,2001-04-01,2001-04-06
2001-04-03,Round,,,142,2001,1,2001-04-01,2001-04-06
2001-04-03,Flank,,,142,2001,1,2001-04-01,2001-04-06
2001-04-03,Plate,,,142,2001,1,2001-04-01,2001-04-06
2001-04-03,Chuck,,,142,2001,1,2001-04-01,2001-04-06
2001-04-03,Cutout,,,142,2001,1,2001-04-01,2001-04-06
2001-04-03,Rib,,,142,2001,1,2001-04-01,2001-04-06
2001-04-03,Brisket,,,142,2001,1,2001-04-01,2001-04-06
2001-04-03,Trim,,,142,2001,1,2001-04-01,2001-04-06
2001-04-04,Flank,,,143,2001,2,2001-04-01,2001-04-06
2001-04-04,Brisket,,,143,2001,2,2001-04-01,2001-04-06
2001-04-04,Trim,66.67,66.67,143,2001,2,2001-04-01,2001-04-06
2001-04-04,Round,,,143,2001,2,2001-04-01,2001-04-06
2001-04-04,Rib,,,143,2001,2,2001-04-01,2001-04-06
2001-04-04,Plate,,,143,2001,2,2001-04-01,2001-04-06
2001-04-04,Chuck,,,143,2001,2,2001-04-01,2001-04-06
2001-04-04,Loin,,,143,2001,2,2001-04-01,2001-04-06
2001-04-04,Cutout,,,143,2001,2,2001-04-01,2001-04-06
2001-04-05,Loin,,,144,2001,3,2001-04-01,2001-04-06
2001-04-05,Flank,,,144,2001,3,2001-04-01,2001-04-06
2001-04-05,Plate,,,144,2001,3,2001-04-01,2001-04-06
2001-04-05,Trim,71.15,71.15,144,2001,3,2001-04-01,2001-04-06
2001-04-05,Brisket,,,144,2001,3,2001-04-01,2001-04-06
2001-04-05,Cutout,,,144,2001,3,2001-04-01,2001-04-06
2001-04-05,Rib,,,144,2001,3,2001-04-01,2001-04-06
2001-04-05,Chuck,,,144,2001,3,2001-04-01,2001-04-06
2001-04-05,Round,,,144,2001,3,2001-04-01,2001-04-06
2001-04-06,Chuck,,,145,2001,4,2001-04-01,2001-04-06
2001-04-06,Flank,,,145,2001,4,2001-04-01,2001-04-06
2001-04-06,Cutout,,,145,2001,4,2001-04-01,2001-04-06
2001-04-06,Plate,,,145,2001,4,2001-04-01,2001-04-06
2001-04-06,Rib,,,145,2001,4,2001-04-01,2001-04-06
2001-04-06,Trim,71.95,71.95,145,2001,4,2001-04-01,2001-04-06
2001-04-06,Loin,,,145,2001,4,2001-04-01,2001-04-06
2001-04-06,Round,,,145,2001,4,2001-04-01,2001-04-06
2001-04-06,Brisket,,,145,2001,4,2001-04-01,2001-04-06
2001-04-09,Flank,,,151,2001,5,2001-04-08,2001-04-13
2001-04-09,Rib,,,151,2001,5,2001-04-08,2001-04-13
2001-04-09,Chuck,,,151,2001,5,2001-04-08,2001-04-13
2001-04-09,Trim,74.11,74.11,151,2001,5,2001-04-08,2001-04-13
2001-04-09,Plate,,,151,2001,5,2001-04-08,2001-04-13
2001-04-09,Cutout,,,151,2001,5,2001-04-08,2001-04-13
2001-04-09,Loin,,,151,2001,5,2001-04-08,2001-04-13
2001-04-09,Brisket,,,151,2001,5,2001-04-08,2001-04-13
2001-04-09,Round,,,151,2001,5,2001-04-08,2001-04-13
2001-04-10,Brisket,,,152,2001,6,2001-04-08,2001-04-13
2001-04-10,Plate,,,152,2001,6,2001-04-08,2001-04-13
2001-04-10,Chuck,,,152,2001,6,2001-04-08,2001-04-13
2001-04-10,Cutout,,,152,2001,6,2001-04-08,2001-04-13
2001-04-10,Loin,,,152,2001,6,2001-04-08,2001-04-13
2001-04-10,Rib,,,152,2001,6,2001-04-08,2001-04-13
2001-04-10,Round,,,152,2001,6,2001-04-08,2001-04-13
2001-04-10,Trim,76.11,76.11,152,2001,6,2001-04-08,2001-04-13
2001-04-10,Flank,,,152,2001,6,2001-04-08,2001-04-13
2001-04-11,Trim,77.62,77.62,153,2001,7,2001-04-08,2001-04-13
2001-04-11,Flank,,,153,2001,7,2001-04-08,2001-04-13
2001-04-11,Round,,,153,2001,7,2001-04-08,2001-04-13
2001-04-11,Cutout,,,153,2001,7,2001-04-08,2001-04-13
2001-04-11,Rib,,,153,2001,7,2001-04-08,2001-04-13
2001-04-11,Plate,,,153,2001,7,2001-04-08,2001-04-13
2001-04-11,Brisket,,,153,2001,7,2001-04-08,2001-04-13
2001-04-11,Chuck,,,153,2001,7,2001-04-08,2001-04-13
2001-04-11,Loin,,,153,2001,7,2001-04-08,2001-04-13
2001-04-12,Cutout,,,154,2001,8,2001-04-08,2001-04-13
2001-04-12,Chuck,,,154,2001,8,2001-04-08,2001-04-13
2001-04-12,Flank,,,154,2001,8,2001-04-08,2001-04-13
2001-04-12,Loin,,,154,2001,8,2001-04-08,2001-04-13
2001-04-12,Trim,78.38,78.38,154,2001,8,2001-04-08,2001-04-13
2001-04-12,Rib,,,154,2001,8,2001-04-08,2001-04-13
2001-04-12,Plate,,,154,2001,8,2001-04-08,2001-04-13
2001-04-12,Round,,,154,2001,8,2001-04-08,2001-04-13
