report_date,attribute,value,week_of_year,year,indexby_year,commodity_row_count_cutout,rankby_attribute
2004-01-05,Choice,132.55,21,2004,1,5568,5505
2004-01-05,Select,125.34,21,2004,1,5568,5478
2004-01-06,Choice,130.44,22,2004,2,5568,5524
2004-01-06,Select,123.03,22,2004,2,5568,5535
2004-01-07,Choice,126.74,23,2004,3,5568,5550
2004-01-07,Select,120.26,23,2004,3,5568,5553
2004-01-08,Select,119.73,24,2004,4,5568,5555
2004-01-08,Choice,126.62,24,2004,4,5568,5551
2004-01-09,Choice,128.34,25,2004,5,5568,5542
2004-01-09,Select,120.84,25,2004,5,5568,5545
2004-01-12,Choice,131.47,31,2004,6,5568,5518
2004-01-12,Select,123.82,31,2004,6,5568,5523
2004-01-13,Select,126.73,32,2004,7,5568,5440
2004-01-13,Choice,134.35,32,2004,7,5568,5462
2004-01-14,Choice,136.5,33,2004,8,5568,5370
2004-01-14,Select,128.39,33,2004,8,5568,5387
2004-01-15,Select,131.81,34,2004,9,5568,5195
2004-01-15,Choice,139.63,34,2004,9,5568,5213
2004-01-16,Select,135.52,35,2004,10,5568,4855
2004-01-16,Choice,141.5,35,2004,10,5568,5065
2004-01-19,Select,136.84,41,2004,11,5568,4736
2004-01-19,Choice,142.43,41,2004,11,5568,4983
2004-01-20,Select,137.26,42,2004,12,5568,4691
2004-01-20,Choice,143.31,42,2004,12,5568,4905
2004-01-21,Select,137.71,43,2004,13,5568,4659
2004-01-21,Choice,144.97,43,2004,13,5568,4765
2004-01-22,Select,138.87,44,2004,14,5568,4582
2004-01-22,Choice,145.86,44,2004,14,5568,4702
2004-01-23,Select,137.69,45,2004,15,5568,4663
2004-01-23,Choice,144.77,45,2004,15,5568,4785
2004-01-26,Select,136.02,51,2004,16,5568,4810
2004-01-26,Choice,143.56,51,2004,16,5568,4881
2004-01-27,Select,134.19,52,2004,17,5568,4980
2004-01-27,Choice,141.94,52,2004,17,5568,5026
2004-01-28,Select,132.59,53,2004,18,5568,5128
2004-01-28,Choice,139.37,53,2004,18,5568,5234
2004-01-29,Select,129.27,54,2004,19,5568,5352
2004-01-29,Choice,136.31,54,2004,19,5568,5380
2004-01-30,Choice,133.86,55,2004,20,5568,5481
2004-01-30,Select,126.43,55,2004,20,5568,5449
2004-02-02,Select,125.3,61,2004,21,5568,5479
2004-02-02,Choice,131.82,61,2004,21,5568,5514
2004-02-03,Choice,129.83,62,2004,22,5568,5531
2004-02-03,Select,123.58,62,2004,22,5568,5525
2004-02-04,Choice,128.33,63,2004,23,5568,5543
2004-02-04,Select,122.54,63,2004,23,5568,5539
2004-02-05,Choice,126.36,64,2004,24,5568,5554
2004-02-05,Select,120.56,64,2004,24,5568,5549
2004-02-06,Select,118.87,65,2004,25,5568,5559
2004-02-06,Choice,125.52,65,2004,25,5568,5558
2004-02-09,Choice,125.4,71,2004,26,5568,5559
2004-02-09,Select,118.34,71,2004,26,5568,5562
2004-02-10,Select,118.75,72,2004,27,5568,5561
2004-02-10,Choice,126.08,72,2004,27,5568,5556
2004-02-11,Select,117.8,73,2004,28,5568,5567
2004-02-11,Choice,125.37,73,2004,28,5568,5560
2004-02-12,Select,117.23,74,2004,29,5568,5568
2004-02-12,Choice,123.92,74,2004,29,5568,5568
2004-02-13,Select,118.05,75,2004,30,5568,5565
2004-02-13,Choice,124.06,75,2004,30,5568,5567
2004-02-16,Select,119.33,81,2004,31,5568,5557
2004-02-16,Choice,124.89,81,2004,31,5568,5563
2004-02-17,Select,120.54,82,2004,32,5568,5550
2004-02-17,Choice,125.56,82,2004,32,5568,5557
2004-02-18,Select,120.78,83,2004,33,5568,5547
2004-02-18,Choice,126.61,83,2004,33,5568,5552
2004-02-19,Select,120.53,84,2004,34,5568,5551
2004-02-19,Choice,126.77,84,2004,34,5568,5549
2004-02-20,Choice,124.85,85,2004,35,5568,5564
2004-02-20,Select,119.03,85,2004,35,5568,5558
2004-02-23,Select,120.06,91,2004,36,5568,5554
2004-02-23,Choice,126.42,91,2004,36,5568,5553
2004-02-24,Choice,128.15,92,2004,37,5568,5544
2004-02-24,Select,120.66,92,2004,37,5568,5548
2004-02-25,Select,122.18,93,2004,38,5568,5540
2004-02-25,Choice,130.4,93,2004,38,5568,5525
