year,indexby_year,slaughter,type,slaughter_date,is_yoy_change
2007,1,-104900,Cow,2007-12-31,True
2007,1,-98600,Cow,2007-12-31,True
2008,1,-131000,Cow,2008-01-07,True
2008,2,-133400,Cow,2008-01-14,True
2008,3,-114600,Cow,2008-01-21,True
2008,4,-112500,Cow,2008-01-28,True
2008,5,-108800,Cow,2008-02-04,True
2008,6,-112600,Cow,2008-02-11,True
2008,7,-109300,Cow,2008-02-18,True
2008,8,-111400,Cow,2008-02-25,True
2008,9,-116000,Cow,2008-03-03,True
2008,10,-113600,Cow,2008-03-10,True
2008,11,-110300,Cow,2008-03-17,True
2008,12,-107500,Cow,2008-03-24,True
2008,13,-113400,Cow,2008-03-31,True
2008,14,-114000,Cow,2008-04-07,True
2008,15,-114000,Cow,2008-04-14,True
2008,16,-116000,Cow,2008-04-21,True
2008,17,-115600,Cow,2008-04-28,True
2008,18,-118600,Cow,2008-05-05,True
2008,19,-117400,Cow,2008-05-12,True
2008,20,-120900,Cow,2008-05-19,True
2008,21,-103400,Cow,2008-05-26,True
2008,22,-121900,Cow,2008-06-02,True
2008,23,-113000,Cow,2008-06-09,True
2008,24,-112500,Cow,2008-06-16,True
2008,25,-116900,Cow,2008-06-23,True
2008,26,-90200,Cow,2008-06-30,True
2008,27,-119700,Cow,2008-07-07,True
2008,28,-118900,Cow,2008-07-14,True
2008,29,-122300,Cow,2008-07-21,True
2008,30,-119700,Cow,2008-07-28,True
2008,31,-119500,Cow,2008-08-04,True
2008,32,-120500,Cow,2008-08-11,True
2008,33,-123900,Cow,2008-08-18,True
2008,34,-127100,Cow,2008-08-25,True
2008,35,-107600,Cow,2008-09-01,True
2008,36,-125600,Cow,2008-09-08,True
2008,37,-125300,Cow,2008-09-15,True
2008,38,-120800,Cow,2008-09-22,True
2008,39,-126900,Cow,2008-09-29,True
2008,40,-128500,Cow,2008-10-06,True
2008,41,-124600,Cow,2008-10-13,True
2008,42,-128900,Cow,2008-10-20,True
2008,43,-133900,Cow,2008-10-27,True
2008,44,-133200,Cow,2008-11-03,True
2008,45,-134600,Cow,2008-11-10,True
2008,46,-129100,Cow,2008-11-17,True
2008,47,-104400,Cow,2008-11-24,True
2008,48,-125700,Cow,2008-12-01,True
2008,49,-126500,Cow,2008-12-08,True
2008,50,-118000,Cow,2008-12-15,True
2008,51,-98700,Cow,2008-12-29,True
2009,1,-136000,Cow,2009-01-05,True
2009,2,-136800,Cow,2009-01-12,True
2009,3,-134700,Cow,2009-01-19,True
2009,4,-129100,Cow,2009-01-26,True
2009,5,-123000,Cow,2009-02-02,True
2009,6,-128100,Cow,2009-02-09,True
2009,7,-121000,Cow,2009-02-16,True
2009,8,-114800,Cow,2009-02-23,True
2009,9,-117900,Cow,2009-03-02,True
2009,10,-112300,Cow,2009-03-09,True
2009,11,-111200,Cow,2009-03-16,True
2009,12,-108400,Cow,2009-03-23,True
2009,13,-104300,Cow,2009-03-30,True
2009,14,-105200,Cow,2009-04-06,True
2009,15,-106500,Cow,2009-04-13,True
2009,16,-109700,Cow,2009-04-20,True
2009,17,-110600,Cow,2009-04-27,True
2009,18,-113300,Cow,2009-05-04,True
2009,19,-110400,Cow,2009-05-11,True
2009,20,-117700,Cow,2009-05-18,True
2009,21,-104600,Cow,2009-05-25,True
2009,22,-123600,Cow,2009-06-01,True
2009,23,-119300,Cow,2009-06-08,True
2009,24,-115500,Cow,2009-06-15,True
2009,25,-111300,Cow,2009-06-22,True
2009,26,-105100,Cow,2009-06-29,True
2009,27,-110000,Cow,2009-07-06,True
2009,28,-116200,Cow,2009-07-13,True
2009,29,-115200,Cow,2009-07-20,True
2009,30,-110900,Cow,2009-07-27,True
2009,31,-111200,Cow,2009-08-03,True
2009,32,-117400,Cow,2009-08-10,True
2009,33,-121200,Cow,2009-08-17,True
2009,34,-125400,Cow,2009-08-24,True
2009,35,-128900,Cow,2009-08-31,True
2009,36,-103600,Cow,2009-09-07,True
2009,37,-116400,Cow,2009-09-14,True
2009,38,-115500,Cow,2009-09-21,True
2009,39,-115100,Cow,2009-09-28,True
2009,40,-120300,Cow,2009-10-05,True
2009,41,-119700,Cow,2009-10-12,True
2009,42,-127400,Cow,2009-10-19,True
2009,43,-131000,Cow,2009-10-26,True
2009,44,-135200,Cow,2009-11-02,True
2009,45,-141600,Cow,2009-11-09,True
2009,46,-135700,Cow,2009-11-16,True
2009,47,-101700,Cow,2009-11-23,True
2009,48,-127900,Cow,2009-11-30,True
2009,49,-122300,Cow,2009-12-07,True
2009,50,-123900,Cow,2009-12-14,True
2009,51,-93600,Cow,2009-12-21,True
2009,52,-112100,Cow,2009-12-28,True
2010,1,-130200,Cow,2010-01-04,True
2010,2,-132500,Cow,2010-01-11,True
2010,3,-139600,Cow,2010-01-18,True
