report_date,slug_id,slug_name,report_title,group,category,commodity,class,period,slaughter_date,slaughter
2024-01-01,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Current,2024-01-01,0
2024-01-01,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2023-12-29,99000
2024-01-01,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Current,2024-01-01,0
2024-01-01,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2023-12-29,26000
2024-01-01,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2023-12-30,23000
2024-01-01,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2023-12-30,10000
2024-01-02,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2024-01-01,0
2024-01-02,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Current,2024-01-02,25000
2024-01-02,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Current,2024-01-02,101000
2024-01-02,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2024-01-01,0
2024-01-03,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2024-01-02,101000
2024-01-03,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Current,2024-01-03,27000
2024-01-03,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2024-01-02,25000
2024-01-03,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Current,2024-01-03,101000
2024-01-04,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2024-01-03,101000
2024-01-04,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2024-01-03,27000
2024-01-04,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Current,2024-01-04,27000
2024-01-04,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Current,2024-01-04,99000
2024-01-05,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Current,2024-01-06,40000
2024-01-05,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2024-01-04,27000
2024-01-05,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Current,2024-01-05,97000
2024-01-05,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Current,2024-01-06,7000
2024-01-05,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2024-01-04,99000
2024-01-05,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Current,2024-01-05,27000
2024-01-08,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2024-01-05,97000
2024-01-08,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2024-01-06,7000
2024-01-08,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2024-01-06,40000
2024-01-08,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2024-01-05,27000
2024-01-09,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Cows/Bulls,Previous,2024-01-08,25000
2024-01-09,3208,AMS_3208,Daily Livestock and Poultry Slaughter,Livestock,INSPECTED SLAUGHTER (ESTIMATE),Cattle,Steers/Heifers,Previous,2024-01-08,79000
