report_date,for_date_begin,purchase_type,head_count,avg_net_price,avg_carcass_weight,total_lbs,lbs_day1,usd_day1,lbs_day2,usd_day2,weekof_year,year,indexby_year,amount
2001-08-06,2001-08-03,Prod. Sold Negotiated,55253,72.39,187.5,72.39,10359937.5,749955875.625,,,321,2001,1,72.39
2001-08-06,2001-08-03,Prod. Sold Swine or Pork Market Formula,136949,72.79,192.68,72.79,26387333.32,1920733992.3628,,,321,2001,1,72.79
2001-08-07,2001-08-06,Prod. Sold Swine or Pork Market Formula,123842,72.84,191.1,72.84,23666206.2,1723846459.608,26387333.32,1920733992.3628,322,2001,2,72.81364089176006
2001-08-07,2001-08-06,Prod. Sold Negotiated,46761,72.88,186.36,72.88,8714379.96,635104011.4848,10359937.5,749955875.625,322,2001,2,72.6138636422695
2001-08-08,2001-08-07,Prod. Sold Swine or Pork Market Formula,140368,72.73,190.75,72.73,26775196.0,1947360005.08,23666206.2,1723846459.608,323,2001,3,72.7816100379541
2001-08-08,2001-08-07,Prod. Sold Negotiated,46194,72.62,187.58,72.62,8665070.520000001,629257421.1624001,8714379.96,635104011.4848,323,2001,3,72.750368839464
2001-08-09,2001-08-08,Prod. Sold Swine or Pork Market Formula,124975,72.67,190.74,72.67,23837731.5,1732287948.105,26775196.0,1947360005.08,324,2001,4,72.70174113491066
2001-08-09,2001-08-08,Prod. Sold Negotiated,49884,71.92,187.28,71.92,9342275.52,671896455.3984,8665070.520000001,629257421.1624001,324,2001,4,72.25683749679305
2001-08-10,2001-08-09,Prod. Sold Negotiated,53332,71.88,187.3,71.88,9989083.6,718015329.1680001,9342275.52,671896455.3984,325,2001,5,71.89933081986011
2001-08-10,2001-08-09,Prod. Sold Swine or Pork Market Formula,126628,72.69,190.82,72.69,24163154.96,1756419734.0424,23837731.5,1732287948.105,325,2001,5,72.68006779530211
2001-08-13,2001-08-10,Prod. Sold Negotiated,51553,71.21,187.26,71.21,9653814.78,687448150.4837999,9989083.6,718015329.1680001,331,2001,6,71.55071784532645
2001-08-13,2001-08-10,Prod. Sold Swine or Pork Market Formula,145123,72.63,191.7,72.63,27820079.1,2020572345.033,24163154.96,1756419734.0424,331,2001,6,72.65788955561953
2001-08-14,2001-08-13,Prod. Sold Negotiated,58342,71.62,187.28,71.62,10926289.76,782540872.6112,9653814.78,687448150.4837999,332,2001,7,71.42767522088592
2001-08-14,2001-08-13,Prod. Sold Swine or Pork Market Formula,118291,72.62,191.77,72.62,22684665.07,1647360377.3834002,27820079.1,2020572345.033,332,2001,7,72.6255084090727
2001-08-15,2001-08-14,Prod. Sold Swine or Pork Market Formula,147003,72.82,190.94,72.82,28068752.82,2043966580.3524,22684665.07,1647360377.3834002,333,2001,8,72.73060832545637
2001-08-15,2001-08-14,Prod. Sold Negotiated,60405,71.85,187.64,71.85,11334394.2,814376223.2699999,10926289.76,782540872.6112,333,2001,8,71.73710829149204
2001-08-16,2001-08-15,Prod. Sold Swine or Pork Market Formula,131559,73.16,191.74,73.16,25225122.66,1845469973.8056,28068752.82,2043966580.3524,334,2001,9,72.98092921798526
2001-08-16,2001-08-15,Prod. Sold Negotiated,54919,72.14,188.36,72.14,10344542.84,746255320.4776,11334394.2,814376223.2699999,334,2001,9,71.98837935956291
2001-08-17,2001-08-16,Prod. Sold Swine or Pork Market Formula,143516,72.8,191.9,72.8,27540720.4,2004964445.12,25225122.66,1845469973.8056,335,2001,10,72.97210080671456
2001-08-17,2001-08-16,Prod. Sold Negotiated,55002,72.11,187.67,72.11,10322225.34,744335669.2674,10344542.84,746255320.4776,335,2001,10,72.12501619810591
2001-08-20,2001-08-17,Prod. Sold Swine or Pork Market Formula,149375,72.85,192.84,72.85,28805475.0,2098478853.75,27540720.4,2004964445.12,341,2001,11,72.82556115350424
2001-08-20,2001-08-17,Prod. Sold Negotiated,53580,72.13,188.76,72.13,10113760.8,729505566.5039998,10322225.34,744335669.2674,341,2001,11,72.11989799144578
