report_begin_date,report_end_date,published_date,report_date,class,weight_basis,purchase_type,lot_size,head_count,price_min,price_max,wtd_avg_price,wtd_avg_price_last_rep,last_reported_date,wtd_avg_price_yr_ago,last_year_date,week_of_year,year,indexby_year
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs Early Weaned,10 to 12 lb,Cash,Total Composite,34027,25.0,35.0,29.75,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs Early Weaned,10 to 12 lb,Formula,Total Composite,51168,30.26,44.0,38.42,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs Early Weaned,10 to 12 lb,Formula,> 1200,51168,30.26,44.0,38.42,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs Early Weaned,10 to 12 lb,Cash,> 1200,28477,25.0,35.0,30.5,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs Early Weaned,10 to 12 lb,Cash,< 600,400,25.0,25.0,25.0,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs,40 lb,Cash,Total Composite,5600,35.0,44.0,40.82,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs,40 lb,Cash,600 - 1200,1700,38.0,39.0,38.65,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs,40 lb,Cash,< 600,1200,35.0,44.0,41.25,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs Early Weaned,10 to 12 lb,Cash,600 - 1200,5150,25.0,27.0,26.01,,,,,401,2020,1
09/28/2020,10/02/2020,10/02/2020 12:21:36,2020-09-28,Pigs,40 lb,Cash,> 1200,2700,42.0,42.0,42.0,,,,,401,2020,1
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs Early Weaned,10 to 12 lb,Formula,> 1200,46157,32.75,44.0,38.77,38.42,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs,40 lb,Cash,600 - 1200,2950,38.5,41.0,40.08,38.65,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs,40 lb,Cash,Total Composite,20697,38.5,53.5,46.19,40.82,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs Early Weaned,10 to 12 lb,Cash,< 600,1516,27.85,31.0,29.04,25.0,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs Early Weaned,10 to 12 lb,Cash,> 1200,55208,27.0,40.5,34.36,30.5,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs Early Weaned,10 to 12 lb,Cash,600 - 1200,2950,25.0,32.0,30.2,26.01,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs Early Weaned,10 to 12 lb,Cash,Total Composite,59674,25.0,40.5,34.02,29.75,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs,40 lb,Cash,< 600,2097,39.0,44.0,41.81,41.25,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs,40 lb,Cash,> 1200,15650,41.0,53.5,47.92,42.0,10/02/2020,,,411,2020,2
10/05/2020,10/09/2020,10/09/2020 12:00:48,2020-10-05,Pigs Early Weaned,10 to 12 lb,Formula,Total Composite,46157,32.75,44.0,38.77,38.42,10/02/2020,,,411,2020,2
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs,40 lb,Cash,> 1200,6075,42.0,42.0,42.0,47.92,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs Early Weaned,10 to 12 lb,Formula,Total Composite,34651,35.9,44.0,40.05,38.77,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs Early Weaned,10 to 12 lb,Formula,600 - 1200,1150,42.6,42.6,42.6,,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs Early Weaned,10 to 12 lb,Formula,> 1200,33501,35.9,44.0,39.96,38.77,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs Early Weaned,10 to 12 lb,Cash,Total Composite,87532,30.0,42.0,35.36,34.02,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs Early Weaned,10 to 12 lb,Cash,600 - 1200,2000,32.0,38.0,35.3,30.2,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs Early Weaned,10 to 12 lb,Cash,> 1200,84032,30.0,42.0,35.4,34.36,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs Early Weaned,10 to 12 lb,Cash,< 600,1500,32.0,34.0,33.27,29.04,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs,40 lb,Cash,Total Composite,12200,39.0,49.0,44.37,46.19,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs,40 lb,Cash,600 - 1200,4350,47.0,49.0,48.03,40.08,10/09/2020,,,421,2020,3
10/12/2020,10/16/2020,10/16/2020 12:32:11,2020-10-12,Pigs,40 lb,Cash,< 600,1775,39.0,47.0,43.51,41.81,10/09/2020,,,421,2020,3
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs,40 lb,Cash,Total Composite,5725,36.0,51.0,45.05,44.37,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs Early Weaned,10 to 12 lb,Cash,< 600,1125,35.0,40.0,37.67,33.27,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs Early Weaned,10 to 12 lb,Cash,> 1200,29895,29.0,42.0,36.02,35.4,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs Early Weaned,10 to 12 lb,Cash,600 - 1200,2750,32.5,38.0,34.8,35.3,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs Early Weaned,10 to 12 lb,Formula,Total Composite,50136,31.86,44.94,38.94,40.05,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs Early Weaned,10 to 12 lb,Formula,> 1200,49386,33.41,44.94,39.05,39.96,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs Early Weaned,10 to 12 lb,Formula,600 - 1200,750,31.86,31.86,31.86,42.6,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs,40 lb,Cash,600 - 1200,4450,40.0,51.0,46.51,48.03,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs Early Weaned,10 to 12 lb,Cash,Total Composite,33770,29.0,42.0,35.98,35.36,10/16/2020,,,431,2020,4
10/19/2020,10/23/2020,10/23/2020 12:13:03,2020-10-19,Pigs,40 lb,Cash,< 600,1275,36.0,43.5,39.97,43.51,10/16/2020,,,431,2020,4
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs,40 lb,Cash,600 - 1200,2201,44.0,50.0,45.64,46.51,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs,40 lb,Cash,< 600,1390,44.0,50.0,46.86,39.97,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs,40 lb,Cash,Total Composite,7291,44.0,50.0,47.19,45.05,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs,40 lb,Cash,> 1200,3700,45.0,50.0,48.24,,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs Early Weaned,10 to 12 lb,Cash,< 600,500,32.0,32.0,32.0,37.67,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs Early Weaned,10 to 12 lb,Formula,Total Composite,36627,31.98,45.24,41.17,38.94,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs Early Weaned,10 to 12 lb,Cash,600 - 1200,2100,28.0,35.0,31.67,34.8,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs Early Weaned,10 to 12 lb,Cash,Total Composite,31778,28.0,45.0,36.12,35.98,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs Early Weaned,10 to 12 lb,Formula,> 1200,36627,31.98,45.24,41.17,39.05,10/23/2020,,,441,2020,5
10/26/2020,10/30/2020,10/30/2020 12:46:07,2020-10-26,Pigs Early Weaned,10 to 12 lb,Cash,> 1200,29178,30.0,45.0,36.51,36.02,10/23/2020,,,441,2020,5
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs,40 lb,Cash,< 600,1010,48.0,48.0,48.0,46.86,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs,40 lb,Cash,> 1200,7150,45.5,55.0,50.64,48.24,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs,40 lb,Cash,600 - 1200,1020,45.0,45.0,45.0,45.64,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs,40 lb,Cash,Total Composite,9180,45.0,55.0,49.72,47.19,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs Early Weaned,10 to 12 lb,Cash,< 600,950,30.0,35.0,32.37,32.0,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs Early Weaned,10 to 12 lb,Cash,600 - 1200,3500,28.0,37.0,31.87,31.67,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs Early Weaned,10 to 12 lb,Cash,Total Composite,33605,28.0,45.0,35.9,36.12,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs Early Weaned,10 to 12 lb,Formula,> 1200,46894,30.72,44.0,40.14,41.17,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs Early Weaned,10 to 12 lb,Formula,Total Composite,46894,30.72,44.0,40.14,41.17,10/30/2020,,,451,2020,6
11/02/2020,11/06/2020,11/06/2020 12:37:31,2020-11-02,Pigs Early Weaned,10 to 12 lb,Cash,> 1200,29155,29.0,45.0,36.5,36.51,10/30/2020,,,451,2020,6
11/09/2020,11/13/2020,11/13/2020 12:17:55,2020-11-09,Pigs,40 lb,Cash,< 600,866,45.0,47.0,46.27,48.0,11/06/2020,,,461,2020,7
