report_date,reported_for_date,weight_range,purchase_type,head_count,price_low,price_high,wtd_avg,avg_weight,total_head,week_of_year,year,indexby_year
2020-12-07,2020-12-04,400-449,Swine/Pork Market Formula Sows,412.0,40.68,47.4,41.76,426.0,2518.0,495,2020,1
2020-12-07,2020-12-04,450-499,Swine/Pork Market Formula Sows,583.0,43.78,49.25,46.81,476.0,2518.0,495,2020,1
2020-12-07,2020-12-04,450-499,Negotiated Sows,1987.0,29.0,52.0,44.98,473.0,8028.0,495,2020,1
2020-12-07,2020-12-04,400-449,Negotiated Sows,1626.0,29.0,52.0,39.84,424.0,8028.0,495,2020,1
2020-12-07,2020-12-04,500-549,Swine/Pork Market Formula Sows,631.0,46.52,51.25,48.73,521.0,2518.0,495,2020,1
2020-12-07,2020-12-04,500-549,Combined Negotiated/Negotiated Formula Sows,1753.0,39.95,54.0,48.16,522.0,8028.0,495,2020,1
2020-12-07,2020-12-04,300-399,Combined Negotiated/Negotiated Formula Sows,1881.0,29.0,51.0,40.66,374.0,8028.0,495,2020,1
2020-12-07,2020-12-04,450-499,Combined Negotiated/Negotiated Formula Sows,1987.0,29.0,52.0,44.98,473.0,8028.0,495,2020,1
2020-12-07,2020-12-04,300-399,Negotiated Sows,1881.0,29.0,51.0,40.66,374.0,8028.0,495,2020,1
2020-12-07,2020-12-04,550/up,Combined Negotiated/Negotiated Formula Sows,781.0,44.5,54.0,49.19,583.0,8028.0,495,2020,1
2020-12-07,2020-12-04,300-399,Swine/Pork Market Formula Sows,400.0,35.32,44.97,42.15,369.0,2518.0,495,2020,1
2020-12-07,2020-12-04,550/up,Negotiated Sows,781.0,44.5,54.0,49.19,583.0,8028.0,495,2020,1
2020-12-07,2020-12-04,400-449,Combined Negotiated/Negotiated Formula Sows,1626.0,29.0,52.0,39.84,424.0,8028.0,495,2020,1
2020-12-07,2020-12-04,550/up,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,500-549,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,400-449,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,450-499,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,200/up,Boars,645.0,,,,339.0,645.0,495,2020,1
2020-12-07,2020-12-04,500-549,Negotiated Sows,1753.0,39.95,54.0,48.16,522.0,8028.0,495,2020,1
2020-12-07,2020-12-04,300-399,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,550/up,Swine/Pork Market Formula Sows,492.0,47.01,54.64,49.8,594.0,2518.0,495,2020,1
2020-12-08,2020-12-07,550/up,Swine/Pork Market Formula Sows,300.0,,,,589.0,1652.0,501,2020,2
2020-12-08,2020-12-07,200/up,Boars,612.0,,,,399.0,612.0,501,2020,2
2020-12-08,2020-12-07,400-449,Negotiated Sows,2077.0,29.0,52.25,40.99,426.0,9535.0,501,2020,2
2020-12-08,2020-12-07,300-399,Negotiated Sows,2267.0,29.0,51.25,42.63,369.0,9535.0,501,2020,2
2020-12-08,2020-12-07,550/up,Negotiated Sows,1037.0,29.0,56.85,49.49,585.0,9535.0,501,2020,2
2020-12-08,2020-12-07,300-399,Combined Negotiated/Negotiated Formula Sows,2267.0,29.0,51.25,42.63,369.0,9535.0,501,2020,2
2020-12-08,2020-12-07,500-549,Negotiated Sows,1771.0,29.0,54.5,47.66,524.0,9535.0,501,2020,2
2020-12-08,2020-12-07,450-499,Swine/Pork Market Formula Sows,417.0,43.76,49.98,46.11,475.0,1652.0,501,2020,2
2020-12-08,2020-12-07,500-549,Combined Negotiated/Negotiated Formula Sows,1771.0,29.0,54.5,47.66,524.0,9535.0,501,2020,2
2020-12-08,2020-12-07,400-449,Swine/Pork Market Formula Sows,244.0,39.42,47.24,42.65,426.0,1652.0,501,2020,2
2020-12-08,2020-12-07,450-499,Negotiated Sows,2383.0,29.0,53.25,46.3,474.0,9535.0,501,2020,2
2020-12-08,2020-12-07,400-449,Combined Negotiated/Negotiated Formula Sows,2077.0,29.0,52.25,40.99,426.0,9535.0,501,2020,2
2020-12-08,2020-12-07,500-549,Swine/Pork Market Formula Sows,462.0,46.86,51.92,48.5,525.0,1652.0,501,2020,2
2020-12-08,2020-12-07,300-399,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-08,2020-12-07,400-449,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-08,2020-12-07,550/up,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-08,2020-12-07,300-399,Swine/Pork Market Formula Sows,229.0,30.98,44.86,40.85,375.0,1652.0,501,2020,2
2020-12-08,2020-12-07,500-549,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-08,2020-12-07,450-499,Combined Negotiated/Negotiated Formula Sows,2383.0,29.0,53.25,46.3,474.0,9535.0,501,2020,2
2020-12-08,2020-12-07,550/up,Combined Negotiated/Negotiated Formula Sows,1037.0,29.0,56.85,49.49,585.0,9535.0,501,2020,2
2020-12-08,2020-12-07,450-499,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-09,2020-12-08,400-449,Negotiated Sows,1782.0,29.0,51.25,40.9,426.0,8046.0,502,2020,3
2020-12-09,2020-12-08,400-449,Swine/Pork Market Formula Sows,348.0,29.25,41.36,38.74,429.0,1719.0,502,2020,3
2020-12-09,2020-12-08,300-399,Negotiated Sows,1348.0,29.0,48.5,39.51,375.0,8046.0,502,2020,3
2020-12-09,2020-12-08,450-499,Negotiated Sows,2285.0,34.0,52.5,45.96,475.0,8046.0,502,2020,3
2020-12-09,2020-12-08,200/up,Boars,405.0,5.0,26.5,24.63,433.0,405.0,502,2020,3
2020-12-09,2020-12-08,550/up,Negotiated Sows,995.0,43.0,56.85,49.09,583.0,8046.0,502,2020,3
2020-12-09,2020-12-08,550/up,Swine/Pork Market Formula Sows,419.0,47.88,51.19,49.38,592.0,1719.0,502,2020,3
2020-12-09,2020-12-08,300-399,Swine/Pork Market Formula Sows,210.0,34.25,41.36,39.21,374.0,1719.0,502,2020,3
2020-12-09,2020-12-08,500-549,Swine/Pork Market Formula Sows,420.0,46.11,50.16,48.3,523.0,1719.0,502,2020,3
2020-12-09,2020-12-08,550/up,Negotiated Formula Sows,,,,,,,502,2020,3
2020-12-09,2020-12-08,550/up,Combined Negotiated/Negotiated Formula Sows,995.0,43.0,56.85,49.09,583.0,8046.0,502,2020,3
2020-12-09,2020-12-08,500-549,Negotiated Formula Sows,,,,,,,502,2020,3
