report_date,commodity,value,week_of_year,year,indexby_year,row_count,rankby_commodity,commodity_row_count,percent_rank_pork_column,year_offset,start_of_week,end_of_week
2013-01-07,Trim,63.82454545454546,21,2013,1,29520,1259,1258,0.0,12,2013-01-06,2013-01-11
2013-01-07,Rib,128.83,21,2013,1,29520,898,1258,0.2861685214626391,12,2013-01-06,2013-01-11
2013-01-07,Picnic,60.28,21,2013,1,29520,1155,1258,0.0818759936406995,12,2013-01-06,2013-01-11
2013-01-07,Butt,89.66,21,2013,1,29520,1210,1258,0.0381558028616851,12,2013-01-06,2013-01-11
2013-01-07,Carcass,86.97,21,2013,1,29520,1039,1258,0.1740858505564387,12,2013-01-06,2013-01-11
2013-01-07,Ham,68.74,21,2013,1,29520,1192,1258,0.0524642289348171,12,2013-01-06,2013-01-11
2013-01-07,Loin,92.94,21,2013,1,29520,647,1258,0.485691573926868,12,2013-01-06,2013-01-11
2013-01-07,Total Loads,552.78,21,2013,1,29520,1,1258,0.9992050874403816,12,2013-01-06,2013-01-11
2013-01-07,Belly,133.32,21,2013,1,29520,727,1258,0.4220985691573926,12,2013-01-06,2013-01-11
2013-01-08,Carcass,87.38,22,2013,2,29520,1030,1258,0.1812400635930048,12,2013-01-06,2013-01-11
2013-01-08,Picnic,63.94,22,2013,2,29520,1085,1258,0.1375198728139904,12,2013-01-06,2013-01-11
2013-01-08,Ham,71.08,22,2013,2,29520,1154,1258,0.0826709062003179,12,2013-01-06,2013-01-11
2013-01-08,Butt,86.81,22,2013,2,29520,1216,1258,0.0333863275039745,12,2013-01-06,2013-01-11
2013-01-08,Trim,68.97692307692309,22,2013,2,29520,1258,1258,0.0,12,2013-01-06,2013-01-11
2013-01-08,Rib,125.2,22,2013,2,29520,934,1258,0.2575516693163751,12,2013-01-06,2013-01-11
2013-01-08,Belly,133.8,22,2013,2,29520,718,1258,0.4292527821939586,12,2013-01-06,2013-01-11
2013-01-08,Total Loads,364.22,22,2013,2,29520,143,1258,0.8863275039745628,12,2013-01-06,2013-01-11
2013-01-08,Loin,92.09,22,2013,2,29520,674,1258,0.46422893481717,12,2013-01-06,2013-01-11
2013-01-09,Butt,86.77,23,2013,3,29520,1217,1258,0.0325914149443561,12,2013-01-06,2013-01-11
2013-01-09,Total Loads,377.17,23,2013,3,29520,102,1258,0.9189189189189187,12,2013-01-06,2013-01-11
2013-01-09,Ham,68.85,23,2013,3,29520,1192,1258,0.0524642289348171,12,2013-01-06,2013-01-11
2013-01-09,Picnic,57.77,23,2013,3,29520,1182,1258,0.0604133545310016,12,2013-01-06,2013-01-11
2013-01-09,Carcass,86.3,23,2013,3,29520,1061,1258,0.1565977742448331,12,2013-01-06,2013-01-11
2013-01-09,Trim,67.53,23,2013,3,29520,1259,1258,0.0,12,2013-01-06,2013-01-11
2013-01-09,Belly,133.87,23,2013,3,29520,717,1258,0.430047694753577,12,2013-01-06,2013-01-11
2013-01-09,Rib,125.83,23,2013,3,29520,931,1258,0.2599364069952305,12,2013-01-06,2013-01-11
2013-01-09,Loin,92.11,23,2013,3,29520,674,1258,0.46422893481717,12,2013-01-06,2013-01-11
2013-01-10,Rib,125.24,24,2013,4,29520,934,1258,0.2575516693163751,12,2013-01-06,2013-01-11
2013-01-10,Butt,84.27,24,2013,4,29520,1219,1258,0.0310015898251192,12,2013-01-06,2013-01-11
2013-01-10,Trim,70.32928571428572,24,2013,4,29520,1257,1258,0.0007949125596183,12,2013-01-06,2013-01-11
2013-01-10,Picnic,56.99,24,2013,4,29520,1194,1258,0.0508744038155802,12,2013-01-06,2013-01-11
2013-01-10,Belly,137.79,24,2013,4,29520,658,1258,0.4769475357710651,12,2013-01-06,2013-01-11
2013-01-10,Total Loads,366.91,24,2013,4,29520,133,1258,0.894276629570747,12,2013-01-06,2013-01-11
2013-01-10,Loin,94.09,24,2013,4,29520,610,1258,0.5151033386327503,12,2013-01-06,2013-01-11
2013-01-10,Ham,66.83,24,2013,4,29520,1204,1258,0.0429252782193958,12,2013-01-06,2013-01-11
2013-01-10,Carcass,86.54,24,2013,4,29520,1051,1258,0.1645468998410174,12,2013-01-06,2013-01-11
2013-01-11,Butt,86.25,25,2013,5,29520,1218,1258,0.0317965023847376,12,2013-01-06,2013-01-11
2013-01-11,Loin,90.46,25,2013,5,29520,711,1258,0.4348171701112877,12,2013-01-06,2013-01-11
2013-01-11,Total Loads,348.14,25,2013,5,29520,214,1258,0.8298887122416533,12,2013-01-06,2013-01-11
2013-01-11,Carcass,85.69,25,2013,5,29520,1080,1258,0.1414944356120826,12,2013-01-06,2013-01-11
2013-01-11,Trim,70.06272727272727,25,2013,5,29520,1257,1258,0.0007949125596183,12,2013-01-06,2013-01-11
2013-01-11,Belly,131.74,25,2013,5,29520,749,1258,0.404610492845787,12,2013-01-06,2013-01-11
2013-01-11,Ham,70.66,25,2013,5,29520,1167,1258,0.0723370429252782,12,2013-01-06,2013-01-11
2013-01-11,Rib,127.61,25,2013,5,29520,910,1258,0.2766295707472178,12,2013-01-06,2013-01-11
2013-01-11,Picnic,56.56,25,2013,5,29520,1197,1258,0.048489666136725,12,2013-01-06,2013-01-11
2013-01-14,Carcass,87.01,31,2013,6,29520,1039,1258,0.1740858505564387,12,2013-01-13,2013-01-18
2013-01-14,Loin,91.58,31,2013,6,29520,688,1258,0.4531001589825118,12,2013-01-13,2013-01-18
2013-01-14,Belly,140.32,31,2013,6,29520,626,1258,0.5023847376788552,12,2013-01-13,2013-01-18
2013-01-14,Ham,68.8,31,2013,6,29520,1192,1258,0.0524642289348171,12,2013-01-13,2013-01-18
2013-01-14,Trim,72.18785714285714,31,2013,6,29520,1255,1258,0.0023847376788552,12,2013-01-13,2013-01-18
2013-01-14,Butt,84.64,31,2013,6,29520,1218,1258,0.0317965023847376,12,2013-01-13,2013-01-18
2013-01-14,Total Loads,393.41,31,2013,6,29520,64,1258,0.9491255961844196,12,2013-01-13,2013-01-18
2013-01-14,Picnic,57.6,31,2013,6,29520,1186,1258,0.0572337042925278,12,2013-01-13,2013-01-18
2013-01-14,Rib,129.18,31,2013,6,29520,894,1258,0.2893481717011129,12,2013-01-13,2013-01-18
2013-01-15,Belly,140.54,32,2013,7,29520,626,1258,0.5023847376788552,12,2013-01-13,2013-01-18
2013-01-15,Total Loads,307.84,32,2013,7,29520,533,1258,0.5763116057233703,12,2013-01-13,2013-01-18
2013-01-15,Loin,91.12,32,2013,7,29520,695,1258,0.4475357710651828,12,2013-01-13,2013-01-18
2013-01-15,Carcass,87.08,32,2013,7,29520,1036,1258,0.1764705882352941,12,2013-01-13,2013-01-18
2013-01-15,Picnic,56.88,32,2013,7,29520,1195,1258,0.0500794912559618,12,2013-01-13,2013-01-18
2013-01-15,Trim,69.68545454545455,32,2013,7,29520,1258,1258,0.0,12,2013-01-13,2013-01-18
2013-01-15,Ham,69.69,32,2013,7,29520,1185,1258,0.0580286168521462,12,2013-01-13,2013-01-18
2013-01-15,Butt,85.34,32,2013,7,29520,1218,1258,0.0317965023847376,12,2013-01-13,2013-01-18
2013-01-15,Rib,127.34,32,2013,7,29520,912,1258,0.2750397456279809,12,2013-01-13,2013-01-18
2013-01-16,Belly,137.18,33,2013,8,29520,670,1258,0.4674085850556438,12,2013-01-13,2013-01-18
2013-01-16,Butt,86.18,33,2013,8,29520,1218,1258,0.0317965023847376,12,2013-01-13,2013-01-18
2013-01-16,Loin,94.69,33,2013,8,29520,586,1258,0.534181240063593,12,2013-01-13,2013-01-18
2013-01-16,Total Loads,576.76,33,2013,8,29520,1,1258,0.9992050874403816,12,2013-01-13,2013-01-18
2013-01-16,Ham,68.07,33,2013,8,29520,1200,1258,0.0461049284578696,12,2013-01-13,2013-01-18
2013-01-16,Carcass,87.7,33,2013,8,29520,1022,1258,0.1875993640699522,12,2013-01-13,2013-01-18
2013-01-16,Trim,75.31384615384614,33,2013,8,29520,1244,1258,0.0111287758346582,12,2013-01-13,2013-01-18
2013-01-16,Picnic,59.69,33,2013,8,29520,1161,1258,0.0771065182829888,12,2013-01-13,2013-01-18
2013-01-16,Rib,131.34,33,2013,8,29520,850,1258,0.3243243243243243,12,2013-01-13,2013-01-18
2013-01-17,Loin,92.37,34,2013,9,29520,666,1258,0.4705882352941176,12,2013-01-13,2013-01-18
2013-01-17,Ham,68.84,34,2013,9,29520,1192,1258,0.0524642289348171,12,2013-01-13,2013-01-18
2013-01-17,Picnic,56.38,34,2013,9,29520,1199,1258,0.0468998410174881,12,2013-01-13,2013-01-18
2013-01-17,Trim,72.61636363636364,34,2013,9,29520,1255,1258,0.0023847376788552,12,2013-01-13,2013-01-18
2013-01-17,Total Loads,349.13,34,2013,9,29520,209,1258,0.8338632750397456,12,2013-01-13,2013-01-18
2013-01-17,Butt,84.44,34,2013,9,29520,1218,1258,0.0317965023847376,12,2013-01-13,2013-01-18
2013-01-17,Rib,124.62,34,2013,9,29520,941,1258,0.2519872813990461,12,2013-01-13,2013-01-18
2013-01-17,Belly,139.61,34,2013,9,29520,644,1258,0.4880763116057234,12,2013-01-13,2013-01-18
2013-01-17,Carcass,86.8,34,2013,9,29520,1045,1258,0.1693163751987281,12,2013-01-13,2013-01-18
2013-01-18,Carcass,86.23,35,2013,10,29520,1062,1258,0.1558028616852146,12,2013-01-13,2013-01-18
2013-01-18,Ham,71.16,35,2013,10,29520,1152,1258,0.0842607313195548,12,2013-01-13,2013-01-18
2013-01-18,Loin,89.72,35,2013,10,29520,728,1258,0.4213036565977742,12,2013-01-13,2013-01-18
2013-01-18,Trim,72.46933333333334,35,2013,10,29520,1255,1258,0.0023847376788552,12,2013-01-13,2013-01-18
2013-01-18,Belly,134.57,35,2013,10,29520,704,1258,0.4403815580286168,12,2013-01-13,2013-01-18
2013-01-18,Rib,124.72,35,2013,10,29520,941,1258,0.2519872813990461,12,2013-01-13,2013-01-18
2013-01-18,Picnic,56.89,35,2013,10,29520,1195,1258,0.0500794912559618,12,2013-01-13,2013-01-18
2013-01-18,Total Loads,288.96,35,2013,10,29520,728,1258,0.4213036565977742,12,2013-01-13,2013-01-18
