date,lbs,year,indexby_year
2010-01-02,387.3,2010,1
2010-01-09,426.8,2010,2
2010-01-16,442.4,2010,3
2010-01-23,443.6,2010,4
2010-01-30,433.9,2010,5
2010-02-06,433.3,2010,6
2010-02-13,434.7,2010,7
2010-02-20,437.0,2010,8
2010-02-27,438.2,2010,9
2010-03-06,439.4,2010,10
2010-03-13,434.6,2010,11
2010-03-20,441.7,2010,12
2010-03-27,446.4,2010,13
2010-04-03,441.0,2010,14
2010-04-10,411.4,2010,15
2010-04-17,411.8,2010,16
2010-04-24,421.8,2010,17
2010-05-01,412.9,2010,18
2010-05-08,405.9,2010,19
2010-05-15,399.1,2010,20
2010-05-22,410.1,2010,21
2010-05-29,393.2,2010,22
2010-06-05,365.5,2010,23
2010-06-12,413.3,2010,24
2010-06-19,406.5,2010,25
2010-06-26,392.7,2010,26
2010-07-03,394.7,2010,27
2010-07-10,348.2,2010,28
2010-07-17,403.2,2010,29
2010-07-24,393.9,2010,30
2010-07-31,390.6,2010,31
2010-08-07,393.7,2010,32
2010-08-14,408.8,2010,33
2010-08-21,414.4,2010,34
2010-08-28,422.2,2010,35
2010-09-04,422.5,2010,36
2010-09-11,387.6,2010,37
2010-09-18,437.0,2010,38
2010-09-25,445.4,2010,39
2010-10-02,437.8,2010,40
2010-10-09,459.3,2010,41
2010-10-16,465.1,2010,42
2010-10-23,484.0,2010,43
2010-10-30,479.2,2010,44
2010-11-06,486.7,2010,45
2010-11-13,480.8,2010,46
2010-11-20,482.6,2010,47
2010-11-27,428.3,2010,48
2010-12-04,484.3,2010,49
2010-12-11,465.9,2010,50
2010-12-18,485.3,2010,51
2010-12-25,382.1,2010,52
2011-01-01,401.4,2011,1
2011-01-08,453.2,2011,2
2011-01-15,442.0,2011,3
2011-01-22,450.1,2011,4
2011-01-29,454.7,2011,5
2011-02-05,430.0,2011,6
2011-02-12,449.3,2011,7
2011-02-19,434.5,2011,8
2011-02-26,438.2,2011,9
2011-03-05,445.0,2011,10
2011-03-12,448.3,2011,11
2011-03-19,445.2,2011,12
2011-03-26,441.3,2011,13
2011-04-02,443.7,2011,14
2011-04-09,431.2,2011,15
2011-04-16,422.0,2011,16
2011-04-23,427.4,2011,17
2011-04-30,405.0,2011,18
2011-05-07,413.1,2011,19
2011-05-14,410.8,2011,20
2011-05-21,419.5,2011,21
2011-05-28,420.7,2011,22
2011-06-04,360.9,2011,23
2011-06-11,412.3,2011,24
2011-06-18,406.3,2011,25
2011-06-25,397.5,2011,26
2011-07-02,398.3,2011,27
2011-07-09,352.4,2011,28
2011-07-16,409.5,2011,29
2011-07-23,407.4,2011,30
2011-07-30,403.2,2011,31
2011-08-06,394.5,2011,32
2011-08-13,407.2,2011,33
2011-08-20,407.1,2011,34
2011-08-27,419.8,2011,35
2011-09-03,422.4,2011,36
2011-09-10,398.4,2011,37
2011-09-17,455.5,2011,38
2011-09-24,457.7,2011,39
2011-10-01,451.4,2011,40
2011-10-08,472.2,2011,41
2011-10-15,469.6,2011,42
2011-10-22,472.9,2011,43
2011-10-29,471.1,2011,44
2011-11-05,481.5,2011,45
2011-11-12,472.0,2011,46
2011-11-19,487.5,2011,47
2011-11-26,428.4,2011,48
2011-12-03,490.7,2011,49
2011-12-10,483.7,2011,50
2011-12-17,487.6,2011,51
2011-12-24,449.4,2011,52
2012-01-07,432.6,2012,1
2012-01-14,463.1,2012,2
2012-01-21,462.2,2012,3
2012-01-28,447.7,2012,4
2012-02-04,443.3,2012,5
2012-02-11,440.3,2012,6
2012-02-18,448.4,2012,7
2012-02-25,443.0,2012,8
2012-03-03,449.0,2012,9
2012-03-10,445.3,2012,10
2012-03-17,455.6,2012,11
2012-03-24,445.4,2012,12
2012-03-31,443.4,2012,13
2012-04-07,443.8,2012,14
2012-04-14,428.6,2012,15
2012-04-21,435.1,2012,16
2012-04-28,436.0,2012,17
2012-05-05,433.5,2012,18
2012-05-12,435.2,2012,19
2012-05-19,440.4,2012,20
2012-05-26,428.6,2012,21
2012-06-02,377.0,2012,22
2012-06-09,413.6,2012,23
2012-06-16,401.7,2012,24
2012-06-23,400.6,2012,25
2012-06-30,407.5,2012,26
2012-07-07,352.2,2012,27
2012-07-14,396.0,2012,28
2012-07-21,394.7,2012,29
2012-07-28,402.9,2012,30
2012-08-04,409.0,2012,31
2012-08-11,410.8,2012,32
2012-08-18,437.5,2012,33
2012-08-25,457.6,2012,34
2012-09-01,458.5,2012,35
2012-09-08,419.1,2012,36
2012-09-15,491.0,2012,37
2012-09-22,485.7,2012,38
2012-09-29,473.2,2012,39
2012-10-06,476.7,2012,40
2012-10-13,484.5,2012,41
2012-10-20,485.6,2012,42
2012-10-27,484.2,2012,43
2012-11-03,483.0,2012,44
2012-11-10,484.3,2012,45
2012-11-17,487.4,2012,46
2012-11-24,425.8,2012,47
2012-12-01,496.5,2012,48
2012-12-08,489.7,2012,49
2012-12-15,474.6,2012,50
2012-12-22,485.6,2012,51
2012-12-29,364.7,2012,52
2013-01-05,408.0,2013,1
2013-01-12,406.8,2013,2
2013-01-19,459.8,2013,3
2013-01-26,446.7,2013,4
2013-02-02,452.2,2013,5
2013-02-09,443.9,2013,6
2013-02-16,444.6,2013,7
2013-02-23,427.7,2013,8
2013-03-02,448.7,2013,9
2013-03-09,455.8,2013,10
2013-03-16,457.0,2013,11
2013-03-23,451.7,2013,12
2013-03-30,453.6,2013,13
2013-04-06,434.4,2013,14
2013-04-13,431.9,2013,15
2013-04-20,443.9,2013,16
2013-04-27,446.1,2013,17
2013-05-04,435.9,2013,18
2013-05-11,431.6,2013,19
2013-05-18,421.0,2013,20
2013-05-25,425.4,2013,21
2013-06-01,385.8,2013,22
2013-06-08,416.1,2013,23
2013-06-15,401.7,2013,24
2013-06-22,407.6,2013,25
2013-06-29,414.9,2013,26
2013-07-06,366.8,2013,27
2013-07-13,416.8,2013,28
2013-07-20,409.2,2013,29
2013-07-27,404.6,2013,30
