date,weekly_exports,accumulated_exports,outstanding_sales,gross_sales,net_sales,total_commitment,nmy_outstanding_sales,nmy_net_sales,week_of_year,commodity,grain_year,year,indexby_year,year_grain,indexby_year_grain
1999-01-07,689634,10617437,4246131,744182,704897,14863568,0,0,194,Soybean,1999,1999,1,1999,1
1999-01-07,578343,16079530,7869974,761674,669363,23949504,32436,0,194,Corn,1999,1999,1,1999,1
1999-01-07,155949,1855580,1476904,80145,59741,3332484,15519,731,194,Soybean Meal,1999,1999,1,1999,1
1999-01-14,839942,16919472,7812888,900851,782856,24732360,32436,0,204,Corn,1999,1999,2,1999,2
1999-01-14,614267,11231704,3960751,356690,328887,15192455,0,0,204,Soybean,1999,1999,2,1999,2
1999-01-14,161776,2017356,1488601,201447,173473,3505957,16261,742,204,Soybean Meal,1999,1999,2,1999,2
1999-01-21,127710,2145066,1560811,216756,199920,3705877,29713,13452,214,Soybean Meal,1999,1999,3,1999,3
1999-01-21,642205,17561677,8069521,1064343,898838,25631198,55806,23370,214,Corn,1999,1999,3,1999,3
1999-01-21,416496,11648200,3759070,240341,214815,15407270,300,300,214,Soybean,1999,1999,3,1999,3
1999-01-28,561136,12209336,3491695,314585,293761,15701031,1100,800,224,Soybean,1999,1999,4,1999,4
1999-01-28,879049,18440726,8432680,1428039,1242208,26873406,56056,250,224,Corn,1999,1999,4,1999,4
1999-01-28,100879,2245945,1529056,88394,69124,3775001,37514,7801,224,Soybean Meal,1999,1999,4,1999,4
1999-02-04,970367,19411093,8485081,1153327,1022768,27896174,56056,0,234,Corn,1999,1999,5,1999,5
1999-02-04,426906,12636242,3647016,605449,582227,16283258,1100,0,234,Soybean,1999,1999,5,1999,5
1999-02-04,193045,2438990,1414590,120410,78579,3853580,37730,216,234,Soybean Meal,1999,1999,5,1999,5
1999-02-11,207632,2646622,1280997,91187,74039,3927619,37801,71,244,Soybean Meal,1999,1999,6,1999,6
1999-02-11,438469,13074711,3525027,420169,316480,16599738,1100,0,244,Soybean,1999,1999,6,1999,6
1999-02-11,854777,20265870,8500421,927521,870117,28766291,56056,0,244,Corn,1999,1999,6,1999,6
1999-02-18,595122,13669833,3255275,332546,325370,16925108,1100,0,254,Soybean,1999,1999,7,1999,7
1999-02-18,170390,2817012,1199654,97352,89047,4016666,37895,94,254,Soybean Meal,1999,1999,7,1999,7
1999-02-18,902450,21168320,8415200,928994,817229,29583520,81056,25000,254,Corn,1999,1999,7,1999,7
1999-02-25,106308,2923320,1236847,160554,143501,4160167,55988,18093,264,Soybean Meal,1999,1999,8,1999,8
1999-02-25,1006389,22174709,8538791,1236974,1129980,30713500,81056,0,264,Corn,1999,1999,8,1999,8
1999-02-25,568913,14238746,3102006,492839,415644,17340752,1100,0,264,Soybean,1999,1999,8,1999,8
1999-03-04,1145608,23320317,8150794,1114777,757611,31471111,96026,14970,274,Corn,1999,1999,9,1999,9
1999-03-04,156973,3080293,1123246,52108,43372,4203539,55853,-135,274,Soybean Meal,1999,1999,9,1999,9
1999-03-04,540903,14779649,3035934,518607,474831,17815583,1100,0,274,Soybean,1999,1999,9,1999,9
1999-03-11,1193551,24513868,7758574,908530,801331,32272442,116212,20186,284,Corn,1999,1999,10,1999,10
1999-03-11,439139,15218788,2915458,377123,318663,18134246,2100,1000,284,Soybean,1999,1999,10,1999,10
1999-03-11,67767,3148060,1161329,108559,105850,4309389,52473,-3380,284,Soybean Meal,1999,1999,10,1999,10
