report_date,published_date,group,category,description,commodity,class,volume,unit,year,indexby_year
2003-01-04,,,,,,,44900.0,,2003,1
2003-01-11,,,,,,,62900.0,,2003,2
2003-01-18,,,,,,,61200.0,,2003,3
2003-01-25,,,,,,,60500.0,,2003,4
2003-02-01,,,,,,,58000.0,,2003,5
2003-02-08,,,,,,,57500.0,,2003,6
2003-02-15,,,,,,,56600.0,,2003,7
2003-02-22,,,,,,,55600.0,,2003,8
2003-03-01,,,,,,,57300.0,,2003,9
2003-03-08,,,,,,,62500.0,,2003,10
2003-03-15,,,,,,,61900.0,,2003,11
2003-03-22,,,,,,,62700.0,,2003,12
2003-03-29,,,,,,,64500.0,,2003,13
2003-04-05,,,,,,,61500.0,,2003,14
2003-04-12,,,,,,,62200.0,,2003,15
2003-04-19,,,,,,,56500.0,,2003,16
2003-04-26,,,,,,,58300.0,,2003,17
2003-05-03,,,,,,,57400.0,,2003,18
2003-05-10,,,,,,,64000.0,,2003,19
2003-05-17,,,,,,,61100.0,,2003,20
2003-05-24,,,,,,,62300.0,,2003,21
2003-05-31,,,,,,,54700.0,,2003,22
2003-06-07,,,,,,,65500.0,,2003,23
2003-06-14,,,,,,,65100.0,,2003,24
2003-06-21,,,,,,,63100.0,,2003,25
2003-06-28,,,,,,,62600.0,,2003,26
2003-07-05,,,,,,,54000.0,,2003,27
2003-07-12,,,,,,,64400.0,,2003,28
2003-07-19,,,,,,,64200.0,,2003,29
2003-07-26,,,,,,,63800.0,,2003,30
2003-08-02,,,,,,,62700.0,,2003,31
2003-08-09,,,,,,,61000.0,,2003,32
2003-08-16,,,,,,,63300.0,,2003,33
2003-08-23,,,,,,,60800.0,,2003,34
2003-08-30,,,,,,,62300.0,,2003,35
2003-09-06,,,,,,,54000.0,,2003,36
2003-09-13,,,,,,,64800.0,,2003,37
2003-09-20,,,,,,,65200.0,,2003,38
2003-09-27,,,,,,,64400.0,,2003,39
2003-10-04,,,,,,,63800.0,,2003,40
2003-10-11,,,,,,,61900.0,,2003,41
2003-10-18,,,,,,,60100.0,,2003,42
2003-10-25,,,,,,,60400.0,,2003,43
2003-11-01,,,,,,,62500.0,,2003,44
2003-11-08,,,,,,,61100.0,,2003,45
2003-11-15,,,,,,,64900.0,,2003,46
2003-11-22,,,,,,,67100.0,,2003,47
2003-11-29,,,,,,,47300.0,,2003,48
2003-12-06,,,,,,,65900.0,,2003,49
2003-12-13,,,,,,,66700.0,,2003,50
2003-12-20,,,,,,,67200.0,,2003,51
2003-12-27,,,,,,,40300.0,,2003,52
2004-01-03,,,,,,,49600.0,,2004,1
2004-01-10,,,,,,,62000.0,,2004,2
2004-01-17,,,,,,,64300.0,,2004,3
2004-01-24,,,,,,,61500.0,,2004,4
2004-01-31,,,,,,,59000.0,,2004,5
2004-02-07,,,,,,,59100.0,,2004,6
2004-02-14,,,,,,,63600.0,,2004,7
2004-02-21,,,,,,,65500.0,,2004,8
2004-02-28,,,,,,,67800.0,,2004,9
2004-03-06,,,,,,,68900.0,,2004,10
2004-03-13,,,,,,,66200.0,,2004,11
2004-03-20,,,,,,,64000.0,,2004,12
2004-03-27,,,,,,,64200.0,,2004,13
2004-04-03,,,,,,,65600.0,,2004,14
2004-04-10,,,,,,,64300.0,,2004,15
2004-04-17,,,,,,,61900.0,,2004,16
2004-04-24,,,,,,,66600.0,,2004,17
2004-05-01,,,,,,,65200.0,,2004,18
2004-05-08,,,,,,,59000.0,,2004,19
2004-05-15,,,,,,,64200.0,,2004,20
2004-05-22,,,,,,,64500.0,,2004,21
2004-05-29,,,,,,,64500.0,,2004,22
2004-06-05,,,,,,,56600.0,,2004,23
2004-06-12,,,,,,,62500.0,,2004,24
2004-06-19,,,,,,,61300.0,,2004,25
2004-06-26,,,,,,,64100.0,,2004,26
2004-07-03,,,,,,,63200.0,,2004,27
2004-07-10,,,,,,,54900.0,,2004,28
2004-07-17,,,,,,,64500.0,,2004,29
2004-07-24,,,,,,,61500.0,,2004,30
2004-07-31,,,,,,,61900.0,,2004,31
2004-08-07,,,,,,,60100.0,,2004,32
2004-08-14,,,,,,,62100.0,,2004,33
2004-08-21,,,,,,,64900.0,,2004,34
2004-08-28,,,,,,,63800.0,,2004,35
2004-09-04,,,,,,,66000.0,,2004,36
2004-09-11,,,,,,,56700.0,,2004,37
2004-09-18,,,,,,,65000.0,,2004,38
2004-09-25,,,,,,,65700.0,,2004,39
2004-10-02,,,,,,,62500.0,,2004,40
2004-10-09,,,,,,,64900.0,,2004,41
2004-10-16,,,,,,,62600.0,,2004,42
2004-10-23,,,,,,,63000.0,,2004,43
2004-10-30,,,,,,,62400.0,,2004,44
2004-11-06,,,,,,,62100.0,,2004,45
2004-11-13,,,,,,,64600.0,,2004,46
2004-11-20,,,,,,,66200.0,,2004,47
2004-11-27,,,,,,,48600.0,,2004,48
2004-12-04,,,,,,,69500.0,,2004,49
2004-12-11,,,,,,,70100.0,,2004,50
