wasde_number,report_date,report_title,attribute,reliability_projection,commodity,region,market_year,proj_est_flag,annual_quarter_flag,value,unit,release_date,forecast_year,forecast_month,market_date,market_date_sort,market_year_filter,is_latest_two_dates
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Area Harvested,,Barley,United States,2023/24,,Annual,2.6,mil. acres,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Area Harvested,,Barley,United States,2024/25,Est.,Annual,1.9,mil. acres,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Area Harvested,,Barley,United States,2025/26,Proj.,Annual,1.8,mil. acres,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Area Planted,,Barley,United States,2023/24,,Annual,3.1,mil. acres,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Area Planted,,Barley,United States,2024/25,Est.,Annual,2.4,mil. acres,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Area Planted,,Barley,United States,2025/26,Proj.,Annual,2.3,mil. acres,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Avg. Farm Price,,Barley,United States,2023/24,,Annual,7.39,$/bu,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Avg. Farm Price,,Barley,United States,2024/25,Est.,Annual,6.31,$/bu,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Avg. Farm Price,,Barley,United States,2025/26,Proj.,Annual,5.3,$/bu,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Beginning Stocks,,Barley,United States,2023/24,,Annual,66.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Beginning Stocks,,Barley,United States,2024/25,Est.,Annual,78.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Beginning Stocks,,Barley,United States,2025/26,Proj.,Annual,70.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,Reliability of United States August Projections,Domestic Use,above_final,Barley,United States,,,Annual,27.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Domestic Use,below_final,Barley,United States,,,Annual,16.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Domestic Use,confidence_interval,Barley,United States,,,Annual,17.1,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Domestic Use,root_mean_square_error,Barley,United States,,,Annual,10.2,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Domestic Use,average,Barley,United States,,,Annual,22.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Domestic Use,largest,Barley,United States,,,Annual,82.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Domestic Use,smallest,Barley,United States,,,Annual,0.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Ending Stocks,above_final,Barley,United States,,,Annual,23.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Ending Stocks,below_final,Barley,United States,,,Annual,20.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Ending Stocks,confidence_interval,Barley,United States,,,Annual,31.7,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Ending Stocks,root_mean_square_error,Barley,United States,,,Annual,18.8,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Ending Stocks,average,Barley,United States,,,Annual,20.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Ending Stocks,largest,Barley,United States,,,Annual,94.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Ending Stocks,smallest,Barley,United States,,,Annual,0.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Ending Stocks,,Barley,United States,2023/24,,Annual,78.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Ending Stocks,,Barley,United States,2024/25,Est.,Annual,70.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Ending Stocks,,Barley,United States,2025/26,Proj.,Annual,70.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,Reliability of United States August Projections,Exports,average,Barley,United States,,,Annual,12.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Exports,largest,Barley,United States,,,Annual,82.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Exports,smallest,Barley,United States,,,Annual,0.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Exports,confidence_interval,Barley,United States,,,Annual,124.6,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Exports,root_mean_square_error,Barley,United States,,,Annual,74.0,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Exports,above_final,Barley,United States,,,Annual,19.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Exports,below_final,Barley,United States,,,Annual,21.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Exports,,Barley,United States,2023/24,,Annual,5.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Exports,,Barley,United States,2024/25,Est.,Annual,9.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Exports,,Barley,United States,2025/26,Proj.,Annual,5.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Feed and Residual,,Barley,United States,2023/24,,Annual,57.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Feed and Residual,,Barley,United States,2024/25,Est.,Annual,38.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Feed and Residual,,Barley,United States,2025/26,Proj.,Annual,35.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
