report_date,published_date,description,commodity,type,class,volume,unit,year,indexby_year
2007-01-06,,,,,Steer,838.0,,2007,1
2007-01-13,,,,,Steer,836.0,,2007,2
2007-01-20,,,,,Steer,831.0,,2007,3
2007-01-27,,,,,Steer,826.0,,2007,4
2007-02-03,,,,,Steer,823.0,,2007,5
2007-02-10,,,,,Steer,818.0,,2007,6
2007-02-17,,,,,Steer,816.0,,2007,7
2007-02-24,,,,,Steer,815.0,,2007,8
2007-03-03,,,,,Steer,811.0,,2007,9
2007-03-10,,,,,Steer,810.0,,2007,10
2007-03-17,,,,,Steer,809.0,,2007,11
2007-03-24,,,,,Steer,808.0,,2007,12
2007-03-31,,,,,Steer,804.0,,2007,13
2007-04-07,,,,,Steer,800.0,,2007,14
2007-04-14,,,,,Steer,799.0,,2007,15
2007-04-21,,,,,Steer,792.0,,2007,16
2007-04-28,,,,,Steer,794.0,,2007,17
2007-05-05,,,,,Steer,792.0,,2007,18
2007-05-12,,,,,Steer,796.0,,2007,19
2007-05-19,,,,,Steer,800.0,,2007,20
2007-05-26,,,,,Steer,804.0,,2007,21
2007-06-02,,,,,Steer,807.0,,2007,22
2007-06-09,,,,,Steer,810.0,,2007,23
2007-06-16,,,,,Steer,816.0,,2007,24
2007-06-23,,,,,Steer,821.0,,2007,25
2007-06-30,,,,,Steer,822.0,,2007,26
2007-07-07,,,,,Steer,832.0,,2007,27
2007-07-14,,,,,Steer,834.0,,2007,28
2007-07-21,,,,,Steer,837.0,,2007,29
2007-07-28,,,,,Steer,839.0,,2007,30
2007-08-04,,,,,Steer,842.0,,2007,31
2007-08-11,,,,,Steer,843.0,,2007,32
2007-08-18,,,,,Steer,844.0,,2007,33
2007-08-25,,,,,Steer,847.0,,2007,34
2007-09-01,,,,,Steer,846.0,,2007,35
2007-09-08,,,,,Steer,849.0,,2007,36
2007-09-15,,,,,Steer,851.0,,2007,37
2007-09-22,,,,,Steer,856.0,,2007,38
2007-09-29,,,,,Steer,854.0,,2007,39
2007-10-06,,,,,Steer,856.0,,2007,40
2007-10-13,,,,,Steer,859.0,,2007,41
2007-10-20,,,,,Steer,864.0,,2007,42
2007-10-27,,,,,Steer,855.0,,2007,43
2007-11-03,,,,,Steer,860.0,,2007,44
2007-11-10,,,,,Steer,860.0,,2007,45
2007-11-17,,,,,Steer,856.0,,2007,46
2007-11-24,,,,,Steer,858.0,,2007,47
2007-12-01,,,,,Steer,857.0,,2007,48
2007-12-08,,,,,Steer,856.0,,2007,49
2007-12-15,,,,,Steer,845.0,,2007,50
2007-12-22,,,,,Steer,736.0,,2007,51
2007-12-29,,,,,Steer,839.0,,2007,52
2008-01-05,,,,,Steer,832.0,,2008,1
2008-01-12,,,,,Steer,834.0,,2008,2
2008-01-19,,,,,Steer,834.0,,2008,3
2008-01-26,,,,,Steer,829.0,,2008,4
2008-02-02,,,,,Steer,829.0,,2008,5
2008-02-09,,,,,Steer,828.0,,2008,6
2008-02-16,,,,,Steer,829.0,,2008,7
2008-02-23,,,,,Steer,825.0,,2008,8
2008-03-01,,,,,Steer,826.0,,2008,9
2008-03-08,,,,,Steer,830.0,,2008,10
2008-03-15,,,,,Steer,831.0,,2008,11
2008-03-22,,,,,Steer,826.0,,2008,12
2008-03-29,,,,,Steer,826.0,,2008,13
2008-04-05,,,,,Steer,825.0,,2008,14
2008-04-12,,,,,Steer,822.0,,2008,15
2008-04-19,,,,,Steer,814.0,,2008,16
2008-04-26,,,,,Steer,813.0,,2008,17
2008-05-03,,,,,Steer,814.0,,2008,18
2008-05-10,,,,,Steer,810.0,,2008,19
2008-05-17,,,,,Steer,813.0,,2008,20
2008-05-24,,,,,Steer,813.0,,2008,21
2008-05-31,,,,,Steer,818.0,,2008,22
2008-06-07,,,,,Steer,820.0,,2008,23
2008-06-14,,,,,Steer,824.0,,2008,24
2008-06-21,,,,,Steer,828.0,,2008,25
2008-06-28,,,,,Steer,831.0,,2008,26
2008-07-05,,,,,Steer,834.0,,2008,27
2008-07-12,,,,,Steer,838.0,,2008,28
2008-07-19,,,,,Steer,840.0,,2008,29
2008-07-26,,,,,Steer,842.0,,2008,30
2008-08-02,,,,,Steer,845.0,,2008,31
2008-08-09,,,,,Steer,847.0,,2008,32
2008-08-16,,,,,Steer,851.0,,2008,33
2008-08-23,,,,,Steer,851.0,,2008,34
2008-08-30,,,,,Steer,852.0,,2008,35
2008-09-06,,,,,Steer,853.0,,2008,36
2008-09-13,,,,,Steer,858.0,,2008,37
2008-09-20,,,,,Steer,860.0,,2008,38
2008-09-27,,,,,Steer,862.0,,2008,39
2008-10-04,,,,,Steer,861.0,,2008,40
2008-10-11,,,,,Steer,865.0,,2008,41
2008-10-18,,,,,Steer,861.0,,2008,42
2008-10-25,,,,,Steer,859.0,,2008,43
2008-11-01,,,,,Steer,857.0,,2008,44
2008-11-08,,,,,Steer,861.0,,2008,45
2008-11-15,,,,,Steer,860.0,,2008,46
