symbol,time,open,high,low,close,volume,open_interest
HEK25,2023-12-14,88.55,88.55,88.55,88.55,,
HEK25,2023-12-15,88.525,88.525,88.525,88.525,,
HEK25,2023-12-18,88.75,88.75,88.75,88.75,,
HEK25,2023-12-19,88.725,88.725,88.725,88.725,,
HEK25,2023-12-20,88.375,88.375,88.375,88.375,,
HEK25,2023-12-21,87.925,87.925,87.925,87.925,,
HEK25,2023-12-22,88.275,88.275,88.275,88.275,,
HEK25,2023-12-26,88.0,88.0,88.0,88.0,,
HEK25,2023-12-27,87.875,87.875,87.875,87.875,,
HEK25,2023-12-28,87.875,87.875,87.875,87.875,,
HEK25,2023-12-29,87.825,87.825,87.825,87.825,,
HEK25,2024-01-02,88.35,88.35,88.35,88.35,,
HEK25,2024-01-03,88.35,88.35,88.35,88.35,,
HEK25,2024-01-04,88.625,88.625,88.625,88.625,,
HEK25,2024-01-05,89.025,89.025,89.025,89.025,,
HEK25,2024-01-08,88.825,88.825,88.825,88.825,,
HEK25,2024-01-09,89.275,89.275,89.275,89.275,,
HEK25,2024-01-10,89.1,89.1,89.1,89.1,,
HEK25,2024-01-11,89.2,89.2,89.2,89.2,,
HEK25,2024-01-12,89.025,89.025,89.025,89.025,,
HEK25,2024-01-16,88.575,88.575,88.575,88.575,,
HEK25,2024-01-17,88.575,88.575,88.575,88.575,,
HEK25,2024-01-18,88.85,88.85,88.85,88.85,,
HEK25,2024-01-19,88.725,88.725,88.725,88.725,,
HEK25,2024-01-22,88.8,88.8,88.8,88.8,,
HEK25,2024-01-23,88.95,88.95,88.95,88.95,,
HEK25,2024-01-24,89.125,89.125,89.125,89.125,,
HEK25,2024-01-25,88.65,88.65,88.65,88.65,,
HEK25,2024-01-26,88.3,88.3,88.3,88.3,,
HEK25,2024-01-29,88.2,88.2,88.2,88.2,,
HEK25,2024-01-30,88.65,88.65,88.65,88.65,,
HEK25,2024-01-31,89.225,89.225,89.225,89.225,,
HEK25,2024-02-01,89.325,89.325,89.325,89.325,,
HEK25,2024-02-02,89.225,89.225,89.225,89.225,,
HEK25,2024-02-05,89.225,89.225,89.225,89.225,,
HEK25,2024-02-06,89.15,89.15,89.15,89.15,,
HEK25,2024-02-07,88.825,88.825,88.825,88.825,,
HEK25,2024-02-08,88.2,88.2,88.2,88.2,,
HEK25,2024-02-09,88.475,88.475,88.475,88.475,,
HEK25,2024-02-12,88.825,88.825,88.825,88.825,,
