symbol,time,open,high,low,close,volume,open_interest
LEZ25,2024-06-28,186.45,186.45,186.45,186.45,,
LEZ25,2024-07-01,185.35,185.35,185.35,185.35,,
LEZ25,2024-07-02,186.45,187.3,186.45,187.05,25.0,21.0
LEZ25,2024-07-03,187.0,187.325,186.975,187.1,62.0,74.0
LEZ25,2024-07-05,187.0,187.65,186.7,186.7,103.0,144.0
LEZ25,2024-07-08,186.7,186.7,185.2,185.85,20.0,153.0
LEZ25,2024-07-09,185.675,185.675,183.075,184.2,24.0,160.0
LEZ25,2024-07-10,183.0,183.475,183.0,183.4,41.0,180.0
LEZ25,2024-07-11,183.4,184.025,183.0,183.525,38.0,200.0
LEZ25,2024-07-12,183.2,184.35,183.2,184.0,128.0,295.0
LEZ25,2024-07-15,184.225,184.85,184.0,184.7,28.0,309.0
LEZ25,2024-07-16,185.0,185.0,185.0,185.0,10.0,312.0
LEZ25,2024-07-17,184.95,185.75,184.825,185.75,39.0,349.0
LEZ25,2024-07-18,185.75,185.75,184.1,184.125,12.0,356.0
LEZ25,2024-07-19,183.6,183.6,183.6,183.6,1.0,356.0
LEZ25,2024-07-22,184.25,185.0,184.25,184.7,14.0,362.0
LEZ25,2024-07-23,185.0,185.4,185.0,185.4,15.0,371.0
LEZ25,2024-07-24,185.625,185.75,184.7,184.85,17.0,383.0
LEZ25,2024-07-25,184.2,185.65,184.2,185.0,44.0,393.0
LEZ25,2024-07-26,184.75,185.4,184.75,184.9,13.0,398.0
LEZ25,2024-07-29,185.0,185.0,183.45,184.125,76.0,442.0
LEZ25,2024-07-30,184.0,184.4,183.4,184.275,51.0,470.0
LEZ25,2024-07-31,183.225,183.775,183.225,183.65,9.0,472.0
LEZ25,2024-08-01,183.6,183.6,182.0,182.35,84.0,490.0
LEZ25,2024-08-02,182.0,182.0,177.675,180.2,61.0,501.0
LEZ25,2024-08-05,180.05,180.05,175.475,177.55,295.0,553.0
LEZ25,2024-08-06,177.775,179.0,177.275,177.725,78.0,551.0
LEZ25,2024-08-07,178.25,178.75,178.075,178.3,26.0,557.0
LEZ25,2024-08-08,177.675,177.9,177.0,177.175,15.0,557.0
LEZ25,2024-08-09,176.65,178.0,176.65,177.95,135.0,570.0
LEZ25,2024-08-12,178.3,178.4,177.0,177.0,42.0,580.0
LEZ25,2024-08-13,177.4,178.375,176.9,178.05,85.0,622.0
LEZ25,2024-08-14,178.425,178.95,178.125,178.65,56.0,635.0
LEZ25,2024-08-15,178.375,178.5,177.975,178.0,29.0,632.0
LEZ25,2024-08-16,177.875,178.025,176.0,176.775,27.0,635.0
LEZ25,2024-08-19,176.9,177.2,176.525,176.85,25.0,646.0
LEZ25,2024-08-20,176.675,176.675,174.275,174.55,59.0,641.0
LEZ25,2024-08-21,174.7,176.0,173.85,175.3,175.0,719.0
LEZ25,2024-08-22,175.35,176.55,175.325,176.5,28.0,721.0
LEZ25,2024-08-23,176.5,176.7,175.95,175.95,45.0,738.0
LEZ25,2024-08-26,175.325,176.625,175.0,176.475,38.0,748.0
LEZ25,2024-08-27,176.475,177.6,176.475,177.6,96.0,782.0
LEZ25,2024-08-28,177.5,177.7,176.8,176.8,77.0,810.0
LEZ25,2024-08-29,175.575,175.575,175.225,175.45,4.0,812.0
