symbol,time,open,high,low,close,volume,open_interest
ZCH25,2023-03-20,545.75,545.75,545.75,545.75,2.0,176.0
ZCH25,2023-03-21,542.75,542.75,542.75,542.75,5.0,176.0
ZCH25,2023-03-22,538.0,543.25,538.0,543.25,15.0,181.0
ZCH25,2023-03-23,539.75,544.5,538.75,544.5,21.0,191.0
ZCH25,2023-03-24,549.0,550.75,547.5,549.5,25.0,213.0
ZCH25,2023-03-27,550.75,551.5,549.25,551.5,33.0,216.0
ZCH25,2023-03-28,549.75,550.5,548.5,550.5,15.0,230.0
ZCH25,2023-03-29,549.25,549.25,549.25,549.25,,230.0
ZCH25,2023-03-30,547.5,549.25,547.5,548.75,18.0,243.0
ZCH25,2023-03-31,548.0,548.0,541.75,545.25,1.0,242.0
ZCH25,2023-04-03,544.5,549.0,543.75,544.5,5.0,247.0
ZCH25,2023-04-04,539.25,540.5,539.25,540.5,32.0,277.0
ZCH25,2023-04-05,540.25,542.75,540.25,541.75,5.0,279.0
ZCH25,2023-04-06,541.75,543.0,541.0,541.75,5.0,279.0
ZCH25,2023-04-10,544.5,544.5,544.5,544.5,,279.0
ZCH25,2023-04-11,545.0,545.0,543.5,543.5,6.0,285.0
ZCH25,2023-04-12,542.0,542.0,542.0,542.0,,285.0
ZCH25,2023-04-13,541.0,541.0,541.0,541.0,,285.0
ZCH25,2023-04-14,545.0,546.5,545.0,546.5,8.0,288.0
ZCH25,2023-04-17,550.5,552.0,550.25,552.0,5.0,290.0
ZCH25,2023-04-18,554.5,554.5,554.5,554.5,,290.0
ZCH25,2023-04-19,553.5,555.25,551.5,551.5,13.0,298.0
ZCH25,2023-04-20,549.0,549.0,545.75,545.75,9.0,306.0
ZCH25,2023-04-21,543.25,543.25,538.25,538.25,6.0,308.0
ZCH25,2023-04-24,541.0,541.0,541.0,541.0,2.0,310.0
ZCH25,2023-04-25,540.0,541.25,540.0,541.25,11.0,320.0
ZCH25,2023-04-26,536.25,536.25,536.25,536.25,,320.0
ZCH25,2023-04-27,528.75,530.0,528.0,529.0,123.0,354.0
ZCH25,2023-04-28,532.0,533.0,526.75,530.25,35.0,367.0
ZCH25,2023-05-01,525.0,531.5,524.0,527.5,7.0,373.0
ZCH25,2023-05-02,525.25,530.5,521.5,522.5,11.0,379.0
ZCH25,2023-05-03,520.0,527.5,518.25,527.5,26.0,384.0
ZCH25,2023-05-04,527.0,529.5,522.0,524.5,32.0,403.0
ZCH25,2023-05-05,527.5,528.5,527.5,527.5,,403.0
ZCH25,2023-05-08,526.75,527.75,521.5,522.25,3.0,400.0
ZCH25,2023-05-09,516.75,518.75,515.25,518.75,51.0,417.0
ZCH25,2023-05-10,517.5,520.25,513.5,520.0,149.0,510.0
ZCH25,2023-05-11,513.5,514.25,512.25,514.25,41.0,519.0
ZCH25,2023-05-12,513.0,516.75,509.0,511.75,13.0,517.0
ZCH25,2023-05-15,515.0,515.0,507.75,514.25,4.0,519.0
ZCH25,2023-05-16,502.75,515.0,502.75,506.75,6.0,525.0
ZCH25,2023-05-17,498.25,508.25,497.25,500.0,17.0,532.0
ZCH25,2023-05-18,499.0,503.0,495.25,501.25,107.0,595.0
ZCH25,2023-05-19,506.0,508.25,501.25,501.25,10.0,599.0
ZCH25,2023-05-22,509.0,509.0,499.5,509.0,1.0,600.0
ZCH25,2023-05-23,511.0,513.5,505.75,513.0,1.0,601.0
ZCH25,2023-05-24,513.75,518.0,512.25,513.75,8.0,609.0
ZCH25,2023-05-25,510.75,514.0,509.5,510.75,1.0,610.0
ZCH25,2023-05-26,521.5,522.5,509.75,521.5,12.0,612.0
ZCH25,2023-05-30,514.25,514.25,510.0,514.25,28.0,618.0
ZCH25,2023-05-31,513.5,513.5,507.25,512.75,6.0,622.0
ZCH25,2023-06-01,523.25,524.25,518.25,518.5,25.0,621.0
ZCH25,2023-06-02,523.75,523.75,523.75,523.75,10.0,631.0
ZCH25,2023-06-05,523.0,525.25,518.0,519.75,23.0,649.0
ZCH25,2023-06-06,519.0,524.0,514.5,519.0,10.0,659.0
ZCH25,2023-06-07,515.0,519.0,511.25,511.75,13.0,670.0
ZCH25,2023-06-08,515.0,518.5,505.5,517.5,36.0,675.0
ZCH25,2023-06-09,512.25,517.5,510.75,512.25,21.0,687.0
ZCH25,2023-06-12,522.0,522.25,518.75,522.25,54.0,712.0
ZCH25,2023-06-13,525.0,528.0,519.5,523.5,33.0,724.0
ZCH25,2023-06-14,521.0,527.5,520.25,524.75,87.0,759.0
ZCH25,2023-06-15,528.75,537.75,528.75,537.75,58.0,786.0
ZCH25,2023-06-16,537.0,549.0,537.0,548.75,218.0,921.0
ZCH25,2023-06-20,550.0,554.0,545.5,553.75,87.0,980.0
ZCH25,2023-06-21,556.0,571.5,552.0,571.5,238.0,1112.0
ZCH25,2023-06-22,568.25,569.75,561.25,563.0,120.0,1203.0
ZCH25,2023-06-23,557.75,560.0,540.75,540.75,151.0,1324.0
ZCH25,2023-06-26,546.5,550.75,539.25,545.5,25.0,1333.0
ZCH25,2023-06-27,531.75,547.0,526.5,530.0,57.0,1370.0
ZCH25,2023-06-28,529.75,531.0,520.0,521.5,93.0,1383.0
ZCH25,2023-06-29,519.5,525.0,514.5,514.75,46.0,1406.0
ZCH25,2023-06-30,518.25,525.0,504.25,506.0,314.0,1412.0
ZCH25,2023-07-03,506.0,516.75,502.75,507.25,249.0,1417.0
ZCH25,2023-07-05,509.25,512.5,502.5,508.5,31.0,1419.0
ZCH25,2023-07-06,509.75,514.75,507.5,514.5,26.0,1418.0
ZCH25,2023-07-07,514.25,514.25,506.5,507.25,83.0,1430.0
ZCH25,2023-07-10,509.5,513.25,509.5,512.5,28.0,1430.0
ZCH25,2023-07-11,513.25,516.25,510.0,514.5,37.0,1432.0
ZCH25,2023-07-12,513.0,516.75,502.25,506.0,82.0,1438.0
ZCH25,2023-07-13,509.75,519.5,504.75,519.0,77.0,1444.0
ZCH25,2023-07-14,524.75,528.25,518.0,526.75,77.0,1446.0
ZCH25,2023-07-17,529.75,533.0,519.75,520.75,37.0,1449.0
ZCH25,2023-07-18,525.0,543.25,518.5,539.75,73.0,1466.0
ZCH25,2023-07-19,540.0,555.5,538.75,550.0,241.0,1504.0
ZCH25,2023-07-20,546.25,553.5,541.75,544.5,33.0,1507.0
ZCH25,2023-07-21,542.25,543.75,535.0,537.75,17.0,1509.0
ZCH25,2023-07-24,548.0,554.75,542.75,553.25,126.0,1539.0
ZCH25,2023-07-25,553.0,554.75,546.75,550.0,110.0,1547.0
ZCH25,2023-07-26,547.0,550.0,538.25,540.25,31.0,1547.0
ZCH25,2023-07-27,543.5,547.5,538.5,542.75,32.0,1561.0
ZCH25,2023-07-28,538.75,548.0,534.25,535.25,117.0,1592.0
ZCH25,2023-07-31,530.0,531.5,523.0,525.75,49.0,1613.0
ZCH25,2023-08-01,527.0,529.0,522.25,524.0,21.0,1623.0
ZCH25,2023-08-02,527.75,531.5,516.25,521.75,61.0,1625.0
ZCH25,2023-08-03,519.5,523.25,518.0,519.0,98.0,1603.0
ZCH25,2023-08-04,518.75,527.75,518.75,522.25,82.0,1619.0
ZCH25,2023-08-07,518.0,525.0,517.0,523.75,303.0,1781.0
ZCH25,2023-08-08,521.0,527.0,520.25,525.25,60.0,1809.0
ZCH25,2023-08-09,527.5,528.25,522.75,523.75,80.0,1836.0
ZCH25,2023-08-10,524.0,526.0,523.5,524.75,81.0,1867.0
ZCH25,2023-08-11,522.25,529.0,516.5,519.25,184.0,1932.0
ZCH25,2023-08-14,517.0,522.75,515.75,520.5,283.0,2078.0
ZCH25,2023-08-15,517.5,520.0,513.5,514.5,197.0,2212.0
ZCH25,2023-08-16,514.0,519.0,512.75,518.0,77.0,2217.0
ZCH25,2023-08-17,515.5,520.0,515.5,518.75,34.0,2216.0
ZCH25,2023-08-18,520.0,523.25,517.75,521.0,22.0,2214.0
ZCH25,2023-08-21,525.5,531.25,516.5,517.5,79.0,2209.0
ZCH25,2023-08-22,514.5,517.5,509.75,512.25,31.0,2209.0
ZCH25,2023-08-23,512.0,519.25,511.75,517.75,120.0,2286.0
ZCH25,2023-08-24,519.75,519.75,515.75,519.0,83.0,2299.0
ZCH25,2023-08-25,519.25,522.5,517.75,519.0,31.0,2302.0
ZCH25,2023-08-28,522.5,525.75,520.75,524.75,67.0,2328.0
ZCH25,2023-08-29,523.0,526.0,517.75,518.5,41.0,2355.0
ZCH25,2023-08-30,518.75,522.0,518.75,520.75,55.0,2374.0
ZCH25,2023-08-31,522.0,523.25,517.5,518.75,187.0,2405.0
ZCH25,2023-09-01,517.75,522.75,517.75,520.5,294.0,2437.0
ZCH25,2023-09-05,520.0,524.0,519.25,522.75,194.0,2459.0
ZCH25,2023-09-06,523.75,525.0,521.0,521.5,125.0,2464.0
ZCH25,2023-09-07,521.5,522.75,519.5,520.0,154.0,2470.0
ZCH25,2023-09-08,519.75,521.5,516.25,519.25,89.0,2478.0
ZCH25,2023-09-11,519.25,522.25,518.25,522.25,74.0,2493.0
ZCH25,2023-09-12,521.0,522.75,513.5,516.0,136.0,2516.0
ZCH25,2023-09-13,514.75,520.5,514.0,520.25,183.0,2549.0
ZCH25,2023-09-14,520.0,521.75,517.5,519.5,199.0,2585.0
ZCH25,2023-09-15,519.25,521.5,517.0,518.75,362.0,2680.0
ZCH25,2023-09-18,517.75,519.75,512.5,514.25,238.0,2732.0
