symbol,time,open,high,low,close,volume,open_interest
ZCN25,2023-07-18,525.0,548.75,524.75,546.0,45.0,194
ZCN25,2023-07-19,555.75,559.75,545.25,555.5,6.0,193
ZCN25,2023-07-20,550.75,558.0,548.5,550.25,3.0,194
ZCN25,2023-07-21,543.75,543.75,542.75,543.75,,194
ZCN25,2023-07-24,558.75,560.5,558.75,558.75,1.0,193
ZCN25,2023-07-25,555.75,560.5,555.75,555.75,,193
ZCN25,2023-07-26,554.75,556.25,545.25,546.5,27.0,212
ZCN25,2023-07-27,548.75,552.5,545.5,548.75,,212
ZCN25,2023-07-28,540.75,553.25,540.75,540.75,15.0,202
ZCN25,2023-07-31,532.5,532.5,530.5,532.5,6.0,205
ZCN25,2023-08-01,530.5,534.5,530.0,530.5,,205
ZCN25,2023-08-02,530.0,534.5,523.75,528.0,41.0,207
ZCN25,2023-08-03,524.75,525.0,524.25,525.0,5.0,211
ZCN25,2023-08-04,530.25,532.25,525.5,528.25,9.0,215
ZCN25,2023-08-07,530.0,530.0,523.5,529.75,19.0,214
ZCN25,2023-08-08,527.0,532.5,527.0,531.5,10.0,216
ZCN25,2023-08-09,533.0,533.5,530.0,530.0,10.0,220
ZCN25,2023-08-10,530.25,531.5,530.25,530.25,6.0,223
ZCN25,2023-08-11,532.0,532.0,523.5,525.5,2.0,223
ZCN25,2023-08-14,525.0,526.75,521.0,525.75,54.0,250
ZCN25,2023-08-15,524.0,524.0,519.5,520.5,15.0,251
ZCN25,2023-08-16,522.0,524.75,522.0,523.75,7.0,258
ZCN25,2023-08-17,524.75,525.5,522.5,524.75,3.0,261
ZCN25,2023-08-18,526.75,528.75,526.75,526.75,6.0,261
ZCN25,2023-08-21,523.0,534.25,522.25,523.0,2.0,262
ZCN25,2023-08-22,517.0,518.25,516.5,518.25,6.0,260
ZCN25,2023-08-23,523.5,524.25,523.5,523.5,,260
ZCN25,2023-08-24,525.5,526.0,522.5,525.25,18.0,251
ZCN25,2023-08-25,524.75,528.0,524.5,524.75,,251
ZCN25,2023-08-28,530.5,530.75,530.5,530.5,,251
ZCN25,2023-08-29,529.25,530.75,524.5,524.75,1.0,251
ZCN25,2023-08-30,524.0,527.0,524.0,526.75,16.0,260
ZCN25,2023-08-31,526.0,528.0,524.5,524.5,4.0,260
ZCN25,2023-09-01,527.0,528.0,525.5,526.25,10.0,262
ZCN25,2023-09-05,527.5,529.75,526.75,529.0,9.0,266
ZCN25,2023-09-06,528.75,530.25,527.5,527.75,8.0,264
ZCN25,2023-09-07,528.5,528.5,526.25,526.25,4.0,265
ZCN25,2023-09-08,523.25,525.25,523.25,525.25,4.0,267
ZCN25,2023-09-11,526.5,528.0,524.5,528.0,19.0,266
ZCN25,2023-09-12,525.0,525.5,519.75,521.75,31.0,271
ZCN25,2023-09-13,521.0,525.5,520.25,525.5,4.0,270
ZCN25,2023-09-14,523.75,527.25,523.75,524.75,2.0,270
ZCN25,2023-09-15,523.25,526.5,522.25,524.25,20.0,270
ZCN25,2023-09-18,523.0,524.5,519.0,519.75,8.0,273
ZCN25,2023-09-19,518.25,521.75,516.75,521.75,5.0,273
ZCN25,2023-09-20,520.0,526.5,520.0,526.25,18.0,277
