symbol,time,open,high,low,close,volume,open_interest
ZCU25,2023-09-18,489.5,489.5,489.5,489.5,,30.0
ZCU25,2023-09-19,489.5,489.5,489.5,489.5,,30.0
ZCU25,2023-09-20,493.75,493.75,493.75,493.75,,30.0
ZCU25,2023-09-21,489.75,489.75,489.75,489.75,,30.0
ZCU25,2023-09-22,493.25,493.25,493.25,493.25,,30.0
ZCU25,2023-09-25,498.0,500.0,496.75,496.75,2.0,30.0
ZCU25,2023-09-26,497.25,497.25,497.25,497.25,,30.0
ZCU25,2023-09-27,500.75,501.5,499.5,499.5,5.0,30.0
ZCU25,2023-09-28,501.0,501.0,501.0,501.0,,30.0
ZCU25,2023-09-29,501.0,501.5,497.25,497.25,8.0,32.0
ZCU25,2023-10-02,503.0,503.0,503.0,503.0,,32.0
ZCU25,2023-10-03,501.5,501.5,501.5,501.5,,32.0
ZCU25,2023-10-04,500.75,500.75,500.75,500.75,,32.0
ZCU25,2023-10-05,506.25,506.25,506.25,506.25,,32.0
ZCU25,2023-10-06,506.0,506.0,506.0,506.0,,32.0
ZCU25,2023-10-09,504.25,504.25,504.25,504.25,,32.0
ZCU25,2023-10-10,506.25,506.75,505.0,505.0,4.0,34.0
ZCU25,2023-10-11,506.75,508.25,506.75,508.25,2.0,36.0
ZCU25,2023-10-12,510.25,510.25,510.25,510.25,1.0,37.0
ZCU25,2023-10-13,508.25,508.25,508.25,508.25,,37.0
ZCU25,2023-10-16,508.25,508.25,508.25,508.25,,37.0
ZCU25,2023-10-17,508.25,508.25,508.25,508.25,,37.0
ZCU25,2023-10-18,510.75,510.75,510.75,510.75,17.0,29.0
ZCU25,2023-10-19,517.0,517.0,517.0,517.0,12.0,39.0
ZCU25,2023-10-20,513.0,513.0,513.0,513.0,79.0,69.0
ZCU25,2023-10-23,511.5,511.5,511.5,511.5,,69.0
ZCU25,2023-10-24,510.75,510.75,510.75,510.75,,69.0
ZCU25,2023-10-25,509.75,509.75,509.75,509.75,5.0,69.0
ZCU25,2023-10-26,508.5,509.75,508.5,509.75,3.0,68.0
ZCU25,2023-10-27,512.25,512.25,512.25,512.25,17.0,68.0
ZCU25,2023-10-30,510.25,512.0,510.25,512.0,141.0,94.0
ZCU25,2023-10-31,512.25,512.25,512.25,512.25,18.0,85.0
ZCU25,2023-11-01,511.25,511.25,511.25,511.25,2.0,83.0
ZCU25,2023-11-02,513.5,514.0,511.25,511.5,48.0,88.0
ZCU25,2023-11-03,517.0,517.0,517.0,517.0,13.0,87.0
ZCU25,2023-11-06,517.0,517.0,516.25,517.0,23.0,88.0
ZCU25,2023-11-07,511.0,511.0,511.0,511.0,18.0,94.0
ZCU25,2023-11-08,513.0,513.0,513.0,513.0,22.0,89.0
ZCU25,2023-11-09,509.75,510.5,509.75,510.5,17.0,89.0
ZCU25,2023-11-10,506.25,506.25,506.25,506.25,,89.0
ZCU25,2023-11-13,513.0,513.0,513.0,513.0,24.0,78.0
ZCU25,2023-11-14,514.25,514.25,514.25,514.25,4.0,78.0
ZCU25,2023-11-15,512.0,512.0,512.0,512.0,30.0,83.0
ZCU25,2023-11-16,510.75,514.0,510.5,514.0,46.0,102.0
ZCU25,2023-11-17,512.0,512.0,510.5,510.5,1.0,101.0
ZCU25,2023-11-20,508.75,510.0,507.25,510.0,35.0,101.0
ZCU25,2023-11-21,512.5,512.5,511.75,511.75,11.0,102.0
ZCU25,2023-11-22,513.25,513.75,512.0,512.0,6.0,102.0
ZCU25,2023-11-24,510.75,510.75,510.75,510.75,3.0,104.0
ZCU25,2023-11-27,507.0,507.75,507.0,507.75,98.0,119.0
ZCU25,2023-11-28,509.0,509.25,507.5,508.75,24.0,128.0
ZCU25,2023-11-29,510.0,510.0,509.5,509.5,27.0,125.0
ZCU25,2023-11-30,510.5,512.25,509.25,512.0,65.0,120.0
ZCU25,2023-12-01,511.25,513.25,510.75,512.75,18.0,125.0
ZCU25,2023-12-04,511.5,511.5,511.5,511.5,6.0,121.0
ZCU25,2023-12-05,513.25,514.0,513.25,513.25,,121.0
ZCU25,2023-12-06,511.25,513.75,509.25,509.5,45.0,99.0
ZCU25,2023-12-07,512.0,512.0,509.25,512.0,5.0,99.0
ZCU25,2023-12-08,511.75,513.25,511.75,511.75,11.0,100.0
ZCU25,2023-12-11,511.5,512.5,511.0,511.5,2.0,102.0
ZCU25,2023-12-12,511.5,512.75,511.5,511.5,1.0,101.0
ZCU25,2023-12-13,509.5,509.5,508.5,508.75,19.0,103.0
ZCU25,2023-12-14,508.0,510.25,508.0,508.75,8.0,99.0
ZCU25,2023-12-15,508.25,510.75,508.25,510.75,2.0,100.0
ZCU25,2023-12-18,510.75,511.75,509.25,511.75,57.0,105.0
ZCU25,2023-12-19,508.25,508.5,505.25,505.25,36.0,132.0
ZCU25,2023-12-20,504.75,507.5,504.0,504.75,28.0,137.0
ZCU25,2023-12-21,504.75,506.25,504.5,505.5,13.0,135.0
ZCU25,2023-12-22,506.25,506.5,506.25,506.5,4.0,137.0
ZCU25,2023-12-26,508.75,510.5,508.75,510.5,24.0,142.0
ZCU25,2023-12-27,507.75,507.75,507.25,507.75,1.0,141.0
ZCU25,2023-12-28,506.0,506.0,506.0,506.0,1.0,142.0
ZCU25,2023-12-29,506.25,506.25,504.75,505.75,28.0,152.0
ZCU25,2024-01-02,502.0,502.0,498.5,499.5,73.0,168.0
ZCU25,2024-01-03,498.25,500.25,498.25,499.25,15.0,175.0
ZCU25,2024-01-04,499.25,500.25,499.0,499.25,2.0,173.0
ZCU25,2024-01-05,497.0,497.0,494.0,494.75,14.0,169.0
ZCU25,2024-01-08,492.75,495.0,490.25,493.0,79.0,224.0
ZCU25,2024-01-09,496.0,496.0,492.0,496.0,41.0,229.0
ZCU25,2024-01-10,496.0,496.5,493.75,495.25,30.0,231.0
ZCU25,2024-01-11,493.75,495.5,492.25,493.75,9.0,232.0
ZCU25,2024-01-12,491.75,492.25,484.25,488.25,20.0,235.0
ZCU25,2024-01-16,488.25,488.5,483.5,483.75,25.0,232.0
ZCU25,2024-01-17,486.5,486.5,482.0,483.0,30.0,250.0
ZCU25,2024-01-18,483.25,483.5,479.75,481.25,37.0,248.0
ZCU25,2024-01-19,481.75,484.25,481.0,481.0,34.0,259.0
ZCU25,2024-01-22,482.5,483.75,482.0,482.75,26.0,278.0
ZCU25,2024-01-23,481.75,485.0,481.75,483.25,1.0,278.0
ZCU25,2024-01-24,483.75,487.25,483.75,487.25,45.0,300.0
ZCU25,2024-01-25,484.25,485.75,483.0,485.75,17.0,299.0
ZCU25,2024-01-26,482.5,483.5,481.5,483.5,21.0,319.0
ZCU25,2024-01-29,481.5,483.5,479.75,483.5,44.0,320.0
ZCU25,2024-01-30,485.0,487.0,482.25,487.0,50.0,312.0
ZCU25,2024-01-31,487.5,487.5,485.75,487.25,15.0,314.0
ZCU25,2024-02-01,486.0,486.0,484.75,486.0,39.0,327.0
ZCU25,2024-02-02,483.75,485.25,483.0,485.25,238.0,455.0
ZCU25,2024-02-05,484.75,485.25,482.25,485.25,143.0,454.0
ZCU25,2024-02-06,485.75,486.75,485.75,485.75,,454.0
ZCU25,2024-02-07,484.25,484.25,482.25,482.5,104.0,483.0
ZCU25,2024-02-08,481.5,482.75,480.0,481.25,52.0,521.0
ZCU25,2024-02-09,479.75,482.75,479.25,479.25,5.0,516.0
ZCU25,2024-02-12,481.0,482.0,479.0,481.25,36.0,540.0
ZCU25,2024-02-13,482.5,484.25,482.0,482.75,195.0,688.0
ZCU25,2024-02-14,476.25,477.25,476.0,477.25,3.0,686.0
ZCU25,2024-02-15,472.25,472.25,472.0,472.0,15.0,690.0
ZCU25,2024-02-16,471.75,474.75,471.75,474.75,237.0,833.0
ZCU25,2024-02-20,474.25,478.25,474.0,476.75,131.0,865.0
ZCU25,2024-02-21,477.0,478.0,472.5,472.5,46.0,876.0
ZCU25,2024-02-22,473.75,474.5,468.5,469.75,40.0,875.0
ZCU25,2024-02-23,472.0,472.25,465.75,466.0,114.0,914.0
ZCU25,2024-02-26,463.5,470.0,462.75,469.75,352.0,1007.0
ZCU25,2024-02-27,467.5,472.75,467.5,470.75,425.0,1128.0
ZCU25,2024-02-28,472.75,473.25,470.0,472.75,26.0,1122.0
ZCU25,2024-02-29,472.75,475.25,470.25,473.25,115.0,1156.0
ZCU25,2024-03-01,472.5,474.5,468.5,471.25,29.0,1159.0
ZCU25,2024-03-04,472.75,475.0,470.0,474.5,46.0,1183.0
ZCU25,2024-03-05,473.25,473.25,470.5,471.0,65.0,1225.0
ZCU25,2024-03-06,470.0,472.5,470.0,472.25,45.0,1224.0
ZCU25,2024-03-07,476.25,478.0,472.0,478.0,49.0,1223.0
