symbol,time,open,high,low,close,volume,open_interest
ZCZ25,2023-12-18,508.5,510.25,507.5,510.25,553,6204.0
ZCZ25,2023-12-19,508.0,508.0,503.25,503.75,378,6381.0
ZCZ25,2023-12-20,503.5,506.75,502.75,503.5,345,6580.0
ZCZ25,2023-12-21,503.0,504.25,502.75,503.5,145,6675.0
ZCZ25,2023-12-22,503.25,505.25,503.0,504.5,130,6767.0
ZCZ25,2023-12-26,504.5,508.0,504.5,508.0,210,6888.0
ZCZ25,2023-12-27,508.25,508.75,504.5,505.75,167,7010.0
ZCZ25,2023-12-28,506.0,506.75,504.0,504.25,79,7050.0
ZCZ25,2023-12-29,504.0,505.0,504.0,504.25,261,7204.0
ZCZ25,2024-01-02,502.5,502.5,496.0,497.25,768,7398.0
ZCZ25,2024-01-03,497.0,498.75,497.0,497.25,436,7650.0
ZCZ25,2024-01-04,496.25,499.0,496.25,497.25,340,7667.0
ZCZ25,2024-01-05,496.5,498.0,492.5,493.5,1042,7714.0
ZCZ25,2024-01-08,493.75,494.5,488.75,491.25,482,7819.0
ZCZ25,2024-01-09,491.5,495.25,489.5,495.25,456,8061.0
ZCZ25,2024-01-10,494.0,495.75,491.75,494.25,672,8455.0
ZCZ25,2024-01-11,492.75,495.0,490.5,492.5,443,8682.0
ZCZ25,2024-01-12,491.5,492.0,483.5,487.75,610,8893.0
ZCZ25,2024-01-16,486.75,487.75,482.0,483.5,421,9024.0
ZCZ25,2024-01-17,482.0,487.0,480.75,483.25,708,9262.0
ZCZ25,2024-01-18,482.75,483.5,479.5,482.0,534,9380.0
ZCZ25,2024-01-19,481.0,484.25,480.0,481.0,440,9605.0
ZCZ25,2024-01-22,480.75,483.5,480.25,482.5,320,9744.0
ZCZ25,2024-01-23,481.75,485.0,481.5,483.25,382,9818.0
ZCZ25,2024-01-24,483.25,487.75,482.25,487.75,639,9749.0
ZCZ25,2024-01-25,487.0,487.5,481.75,486.0,518,9969.0
ZCZ25,2024-01-26,483.5,484.25,482.75,483.75,356,10183.0
ZCZ25,2024-01-29,483.0,484.75,480.0,484.75,764,10233.0
ZCZ25,2024-01-30,482.5,488.5,482.25,488.0,324,10296.0
ZCZ25,2024-01-31,488.0,489.0,486.25,488.25,246,10414.0
ZCZ25,2024-02-01,487.25,488.25,485.0,487.0,374,10560.0
ZCZ25,2024-02-02,486.0,486.5,483.25,485.5,1309,11091.0
ZCZ25,2024-02-05,485.0,487.25,483.5,486.75,474,11366.0
ZCZ25,2024-02-06,485.5,488.75,485.5,486.75,286,11482.0
ZCZ25,2024-02-07,486.25,486.75,483.0,483.75,537,11640.0
ZCZ25,2024-02-08,483.0,484.5,480.5,482.5,405,11716.0
ZCZ25,2024-02-09,482.0,485.0,480.0,480.75,492,11806.0
ZCZ25,2024-02-12,480.0,484.75,480.0,483.5,738,12126.0
ZCZ25,2024-02-13,484.0,486.25,483.75,485.0,427,12344.0
ZCZ25,2024-02-14,484.75,484.75,477.75,479.75,856,12509.0
ZCZ25,2024-02-15,479.25,479.5,474.5,474.75,1157,12768.0
ZCZ25,2024-02-16,474.25,477.5,473.75,477.5,852,13025.0
ZCZ25,2024-02-20,475.75,480.25,475.5,479.0,685,13100.0
ZCZ25,2024-02-21,479.0,481.0,474.25,474.75,702,13398.0
ZCZ25,2024-02-22,474.25,477.0,470.5,472.0,737,13701.0
ZCZ25,2024-02-23,470.75,474.5,468.0,468.5,610,13913.0
ZCZ25,2024-02-26,467.0,472.25,465.0,472.0,1418,14336.0
ZCZ25,2024-02-27,470.25,474.75,468.25,472.25,1658,14841.0
ZCZ25,2024-02-28,472.0,475.75,471.5,474.5,569,14993.0
ZCZ25,2024-02-29,473.25,477.5,471.5,475.5,931,15412.0
ZCZ25,2024-03-01,474.5,476.5,470.25,473.5,758,15664.0
ZCZ25,2024-03-04,472.0,477.5,471.75,477.0,643,15876.0
ZCZ25,2024-03-05,476.25,476.5,472.25,473.25,545,15945.0
ZCZ25,2024-03-06,472.25,474.75,471.75,474.25,498,16085.0
ZCZ25,2024-03-07,474.5,480.0,474.0,480.0,1080,16405.0
ZCZ25,2024-03-08,479.0,482.5,477.0,482.5,785,16647.0
ZCZ25,2024-03-11,481.75,484.25,478.75,483.25,738,16852.0
ZCZ25,2024-03-12,483.0,485.5,481.0,483.25,506,17016.0
ZCZ25,2024-03-13,482.5,485.25,480.5,484.0,860,17328.0
ZCZ25,2024-03-14,483.75,486.0,480.75,481.75,1027,17673.0
ZCZ25,2024-03-15,481.75,485.25,479.5,484.25,676,17819.0
ZCZ25,2024-03-18,485.25,486.5,482.75,484.25,360,17863.0
ZCZ25,2024-03-19,485.0,486.0,483.0,485.5,657,17931.0
ZCZ25,2024-03-20,485.0,488.75,484.25,488.25,1153,18393.0
ZCZ25,2024-03-21,488.0,491.75,487.25,490.5,1377,18949.0
ZCZ25,2024-03-22,489.0,489.75,486.5,489.25,485,19118.0
ZCZ25,2024-03-25,488.75,491.75,488.0,489.25,919,19396.0
ZCZ25,2024-03-26,488.25,489.25,483.25,484.0,1007,19533.0
ZCZ25,2024-03-27,483.0,483.25,478.75,479.5,924,19700.0
ZCZ25,2024-03-28,478.5,492.0,476.25,490.0,4514,20728.0
ZCZ25,2024-04-01,488.75,490.0,486.0,489.25,1577,21134.0
ZCZ25,2024-04-02,489.0,490.0,484.25,487.0,1926,21403.0
ZCZ25,2024-04-03,486.5,489.75,485.0,488.75,1072,21752.0
ZCZ25,2024-04-04,488.5,491.0,487.0,489.5,1380,22128.0
ZCZ25,2024-04-05,489.25,492.5,487.75,490.25,2249,22459.0
ZCZ25,2024-04-08,489.75,492.25,487.75,491.25,2111,22678.0
ZCZ25,2024-04-09,490.25,490.75,485.75,486.75,2074,23171.0
ZCZ25,2024-04-10,486.75,488.75,486.5,488.5,1926,23514.0
ZCZ25,2024-04-11,487.5,491.25,486.25,488.0,2711,24106.0
ZCZ25,2024-04-12,487.0,493.0,486.0,491.0,2054,24471.0
ZCZ25,2024-04-15,489.75,490.5,487.75,489.0,481,24468.0
ZCZ25,2024-04-16,488.75,489.25,486.0,487.25,1019,24512.0
ZCZ25,2024-04-17,486.5,488.0,484.5,485.0,705,24486.0
ZCZ25,2024-04-18,484.0,484.75,479.25,480.25,937,24684.0
ZCZ25,2024-04-19,479.5,485.0,479.0,484.5,783,24534.0
ZCZ25,2024-04-22,484.25,490.0,482.5,489.25,1548,24888.0
ZCZ25,2024-04-23,489.0,491.0,487.25,488.25,2211,25619.0
ZCZ25,2024-04-24,488.0,489.75,485.0,487.0,1464,25967.0
