symbol,time,open,high,low,close,volume,open_interest
ZSF25,2023-01-19,1287.25,1287.25,1287.25,1287.25,,8.0
ZSF25,2023-01-20,1273.5,1273.5,1273.5,1273.5,,8.0
ZSF25,2023-01-23,1270.0,1270.0,1262.0,1262.0,4.0,12.0
ZSF25,2023-01-24,1263.75,1263.75,1263.75,1263.75,,12.0
ZSF25,2023-01-25,1272.5,1272.5,1272.5,1272.5,,12.0
ZSF25,2023-01-26,1276.75,1278.0,1273.0,1278.0,5.0,15.0
ZSF25,2023-01-27,1281.25,1281.25,1281.25,1281.25,5.0,15.0
ZSF25,2023-01-30,1292.0,1292.0,1292.0,1292.0,,15.0
ZSF25,2023-01-31,1290.25,1290.25,1290.25,1290.25,,15.0
ZSF25,2023-02-01,1290.0,1290.0,1290.0,1290.0,,15.0
ZSF25,2023-02-02,1295.5,1295.5,1295.5,1295.5,,15.0
ZSF25,2023-02-03,1294.5,1294.5,1294.5,1294.5,,15.0
ZSF25,2023-02-06,1294.5,1294.5,1294.5,1294.5,,15.0
ZSF25,2023-02-07,1299.75,1300.5,1296.25,1296.25,2.0,17.0
ZSF25,2023-02-08,1296.25,1296.25,1296.25,1296.25,,17.0
ZSF25,2023-02-09,1291.25,1291.25,1291.25,1291.25,,17.0
ZSF25,2023-02-10,1300.0,1300.0,1300.0,1300.0,,17.0
ZSF25,2023-02-13,1302.5,1302.5,1302.5,1302.5,1.0,17.0
ZSF25,2023-02-14,1301.5,1301.5,1301.5,1301.5,,17.0
ZSF25,2023-02-15,1296.75,1296.75,1296.75,1296.75,,17.0
ZSF25,2023-02-16,1302.5,1302.5,1302.5,1302.5,,17.0
ZSF25,2023-02-17,1304.5,1304.5,1304.5,1304.5,,17.0
ZSF25,2023-02-21,1315.0,1315.0,1315.0,1315.0,,17.0
ZSF25,2023-02-22,1315.5,1315.5,1315.5,1315.5,,17.0
ZSF25,2023-02-23,1307.25,1307.25,1307.25,1307.25,,17.0
ZSF25,2023-02-24,1298.75,1298.75,1298.75,1298.75,,17.0
ZSF25,2023-02-27,1295.0,1299.75,1295.0,1299.75,1.0,18.0
ZSF25,2023-02-28,1280.0,1280.0,1280.0,1280.0,,18.0
ZSF25,2023-03-01,1285.75,1285.75,1285.75,1285.75,,18.0
ZSF25,2023-03-02,1291.75,1291.75,1291.75,1291.75,,18.0
ZSF25,2023-03-03,1297.25,1297.25,1297.25,1297.25,,18.0
