symbol,time,open,high,low,close,volume,open_interest
ZSQ25,2023-08-18,1274.0,1274.0,1274.0,1274.0,,
ZSQ25,2023-08-21,1275.0,1275.0,1275.0,1275.0,,
ZSQ25,2023-08-22,1261.75,1261.75,1261.75,1261.75,,
ZSQ25,2023-08-23,1274.75,1274.75,1274.75,1274.75,,
ZSQ25,2023-08-24,1283.0,1283.0,1283.0,1283.0,,
ZSQ25,2023-08-25,1289.0,1289.0,1289.0,1289.0,,
ZSQ25,2023-08-28,1290.0,1290.0,1290.0,1290.0,,
ZSQ25,2023-08-29,1292.25,1292.25,1292.25,1292.25,,
ZSQ25,2023-08-30,1289.0,1289.0,1289.0,1289.0,,
ZSQ25,2023-08-31,1270.75,1270.75,1270.75,1270.75,,
ZSQ25,2023-09-01,1270.75,1270.75,1270.75,1270.75,,
ZSQ25,2023-09-05,1276.5,1276.5,1276.5,1276.5,,
ZSQ25,2023-09-06,1277.0,1277.0,1277.0,1277.0,,
ZSQ25,2023-09-07,1269.25,1269.25,1269.25,1269.25,,
ZSQ25,2023-09-08,1276.25,1276.25,1276.25,1276.25,,
ZSQ25,2023-09-11,1282.0,1282.0,1282.0,1282.0,,
ZSQ25,2023-09-12,1269.5,1269.5,1269.5,1269.5,,
ZSQ25,2023-09-13,1271.75,1271.75,1271.75,1271.75,,
ZSQ25,2023-09-14,1282.75,1282.75,1282.75,1282.75,,
ZSQ25,2023-09-15,1266.25,1266.25,1266.25,1266.25,,
ZSQ25,2023-09-18,1250.75,1250.75,1250.75,1250.75,,
ZSQ25,2023-09-19,1251.25,1251.25,1251.25,1251.25,,
ZSQ25,2023-09-20,1258.25,1258.25,1258.25,1258.25,,
ZSQ25,2023-09-21,1241.75,1241.75,1241.75,1241.75,4.0,
ZSQ25,2023-09-22,1244.25,1244.25,1244.25,1244.25,,
ZSQ25,2023-09-25,1249.75,1249.75,1249.75,1249.75,,
ZSQ25,2023-09-26,1255.5,1255.5,1255.5,1255.5,,
ZSQ25,2023-09-27,1262.0,1262.0,1262.0,1262.0,,
ZSQ25,2023-09-28,1258.0,1258.0,1258.0,1258.0,,
ZSQ25,2023-09-29,1250.0,1250.0,1250.0,1250.0,,
ZSQ25,2023-10-02,1259.0,1259.0,1259.0,1259.0,,
ZSQ25,2023-10-03,1255.5,1255.5,1255.5,1255.5,,
ZSQ25,2023-10-04,1259.0,1259.0,1259.0,1259.0,,
ZSQ25,2023-10-05,1260.75,1260.75,1260.75,1260.75,,
ZSQ25,2023-10-06,1253.5,1253.5,1253.5,1253.5,,
ZSQ25,2023-10-09,1247.25,1247.25,1247.25,1247.25,,
ZSQ25,2023-10-10,1245.0,1246.0,1245.0,1246.0,1.0,1.0
ZSQ25,2023-10-11,1236.0,1236.0,1236.0,1236.0,,1.0
ZSQ25,2023-10-12,1254.5,1254.5,1254.5,1254.5,,1.0
ZSQ25,2023-10-13,1247.0,1247.0,1247.0,1247.0,,1.0
ZSQ25,2023-10-16,1250.75,1250.75,1250.75,1250.75,,1.0
ZSQ25,2023-10-17,1253.75,1253.75,1253.75,1253.75,,1.0
ZSQ25,2023-10-18,1257.75,1257.75,1257.75,1257.75,,1.0
ZSQ25,2023-10-19,1261.25,1261.25,1261.25,1261.25,,1.0
ZSQ25,2023-10-20,1263.5,1263.5,1263.5,1263.5,,1.0
ZSQ25,2023-10-23,1258.5,1258.5,1258.5,1258.5,,1.0
ZSQ25,2023-10-24,1260.0,1260.0,1260.0,1260.0,,1.0
ZSQ25,2023-10-25,1254.25,1254.25,1254.25,1254.25,,1.0
ZSQ25,2023-10-26,1253.75,1253.75,1253.75,1253.75,,1.0
ZSQ25,2023-10-27,1271.25,1271.25,1271.25,1271.25,,1.0
ZSQ25,2023-10-30,1263.5,1263.5,1263.5,1263.5,,1.0
ZSQ25,2023-10-31,1262.75,1262.75,1262.75,1262.75,,1.0
ZSQ25,2023-11-01,1264.25,1264.25,1264.25,1264.25,,1.0
ZSQ25,2023-11-02,1273.5,1273.5,1273.5,1273.5,,1.0
ZSQ25,2023-11-03,1287.25,1287.25,1287.25,1287.25,,1.0
ZSQ25,2023-11-06,1293.25,1293.25,1293.25,1293.25,,1.0
ZSQ25,2023-11-07,1284.25,1284.25,1284.25,1284.25,,1.0
ZSQ25,2023-11-08,1283.0,1283.0,1283.0,1283.0,,1.0
ZSQ25,2023-11-09,1275.0,1275.0,1275.0,1275.0,,1.0
ZSQ25,2023-11-10,1272.75,1272.75,1272.75,1272.75,,1.0
ZSQ25,2023-11-13,1294.75,1294.75,1294.75,1294.75,,1.0
ZSQ25,2023-11-14,1298.25,1298.25,1298.25,1298.25,,1.0
ZSQ25,2023-11-15,1303.25,1303.25,1303.25,1303.25,,1.0
ZSQ25,2023-11-16,1286.25,1286.25,1286.25,1286.25,,1.0
ZSQ25,2023-11-17,1276.0,1276.0,1276.0,1276.0,,1.0
ZSQ25,2023-11-20,1288.75,1288.75,1288.75,1288.75,,1.0
ZSQ25,2023-11-21,1300.5,1300.5,1300.5,1300.5,,1.0
ZSQ25,2023-11-22,1290.25,1290.25,1290.25,1290.25,,1.0
ZSQ25,2023-11-24,1272.5,1272.5,1272.5,1272.5,,1.0
ZSQ25,2023-11-27,1273.25,1273.25,1273.25,1273.25,,1.0
ZSQ25,2023-11-28,1284.25,1284.25,1284.25,1284.25,,1.0
ZSQ25,2023-11-29,1284.5,1284.5,1284.5,1284.5,,1.0
ZSQ25,2023-11-30,1286.25,1286.25,1286.25,1286.25,,1.0
ZSQ25,2023-12-01,1277.0,1277.0,1277.0,1277.0,,1.0
ZSQ25,2023-12-04,1270.25,1270.25,1270.25,1270.25,,1.0
ZSQ25,2023-12-05,1271.0,1271.0,1271.0,1271.0,,1.0
ZSQ25,2023-12-06,1261.0,1261.0,1261.0,1261.0,,1.0
ZSQ25,2023-12-07,1274.0,1274.0,1274.0,1274.0,,1.0
ZSQ25,2023-12-08,1270.5,1270.5,1270.5,1270.5,,1.0
ZSQ25,2023-12-11,1286.0,1286.0,1286.0,1286.0,,1.0
ZSQ25,2023-12-12,1279.5,1279.5,1279.5,1279.5,,1.0
ZSQ25,2023-12-13,1274.75,1274.75,1274.75,1274.75,,1.0
ZSQ25,2023-12-14,1280.5,1280.5,1280.5,1280.5,,1.0
ZSQ25,2023-12-15,1276.0,1276.0,1276.0,1276.0,,1.0
ZSQ25,2023-12-18,1283.5,1283.5,1283.5,1283.5,,1.0
ZSQ25,2023-12-19,1271.0,1271.0,1271.0,1271.0,,1.0
ZSQ25,2023-12-20,1264.75,1264.75,1264.75,1264.75,,1.0
ZSQ25,2023-12-21,1254.5,1254.5,1254.5,1254.5,,1.0
ZSQ25,2023-12-22,1259.25,1259.25,1259.25,1259.25,,1.0
ZSQ25,2023-12-26,1266.75,1266.75,1266.75,1266.75,,1.0
ZSQ25,2023-12-27,1265.25,1265.25,1265.25,1265.25,,1.0
ZSQ25,2023-12-28,1260.75,1260.75,1260.75,1260.75,,1.0
ZSQ25,2023-12-29,1247.75,1247.75,1247.75,1247.75,,1.0
ZSQ25,2024-01-02,1225.75,1225.75,1225.75,1225.75,,1.0
ZSQ25,2024-01-03,1227.5,1227.5,1227.5,1227.5,1.0,2.0
ZSQ25,2024-01-04,1223.25,1223.25,1223.25,1223.25,,2.0
ZSQ25,2024-01-05,1211.5,1211.5,1211.5,1211.5,,2.0
ZSQ25,2024-01-08,1206.75,1206.75,1206.75,1206.75,,2.0
ZSQ25,2024-01-09,1213.0,1213.0,1213.0,1213.0,,2.0
ZSQ25,2024-01-10,1210.25,1210.25,1210.25,1210.25,,2.0
ZSQ25,2024-01-11,1211.25,1211.25,1211.25,1211.25,,2.0
ZSQ25,2024-01-12,1207.5,1207.5,1207.5,1207.5,,2.0
ZSQ25,2024-01-16,1206.25,1206.25,1206.25,1206.25,,2.0
ZSQ25,2024-01-17,1194.75,1194.75,1194.75,1194.75,,2.0
ZSQ25,2024-01-18,1193.75,1193.75,1193.75,1193.75,,2.0
ZSQ25,2024-01-19,1194.25,1194.25,1194.25,1194.25,,2.0
ZSQ25,2024-01-22,1201.75,1201.75,1201.75,1201.75,,2.0
ZSQ25,2024-01-23,1210.0,1210.0,1210.0,1210.0,,2.0
ZSQ25,2024-01-24,1211.0,1211.0,1211.0,1211.0,,2.0
ZSQ25,2024-01-25,1200.75,1200.75,1200.75,1200.75,,2.0
ZSQ25,2024-01-26,1190.5,1190.5,1190.5,1190.5,,2.0
ZSQ25,2024-01-29,1190.0,1190.0,1190.0,1190.0,1.0,2.0
ZSQ25,2024-01-30,1204.0,1204.0,1204.0,1204.0,,2.0
ZSQ25,2024-01-31,1205.5,1205.5,1205.5,1205.5,,2.0
ZSQ25,2024-02-01,1192.5,1192.5,1192.5,1192.5,,2.0
ZSQ25,2024-02-02,1177.5,1177.5,1177.5,1177.5,1.0,2.0
ZSQ25,2024-02-05,1181.5,1181.5,1181.5,1181.5,2.0,2.0
ZSQ25,2024-02-06,1182.25,1182.25,1182.25,1182.25,,2.0
ZSQ25,2024-02-07,1177.75,1177.75,1177.75,1177.75,1.0,3.0
ZSQ25,2024-02-08,1181.0,1181.0,1181.0,1181.0,7.0,10.0
ZSQ25,2024-02-09,1171.0,1171.0,1171.0,1171.0,,10.0
ZSQ25,2024-02-12,1174.5,1174.5,1174.5,1174.5,,10.0
ZSQ25,2024-02-13,1171.0,1171.0,1171.0,1171.0,,10.0
ZSQ25,2024-02-14,1162.5,1162.5,1162.5,1162.5,,10.0
ZSQ25,2024-02-15,1152.5,1152.5,1152.5,1152.5,11.0,12.0
ZSQ25,2024-02-16,1160.0,1160.0,1160.0,1160.0,,12.0
ZSQ25,2024-02-20,1170.25,1170.25,1170.25,1170.25,,12.0
ZSQ25,2024-02-21,1160.25,1160.25,1160.25,1160.25,,12.0
ZSQ25,2024-02-22,1150.5,1150.5,1150.5,1150.5,30.0,17.0
ZSQ25,2024-02-23,1147.0,1147.0,1147.0,1147.0,,17.0
ZSQ25,2024-02-26,1145.0,1145.0,1145.0,1145.0,3.0,18.0
ZSQ25,2024-02-27,1144.5,1144.5,1144.5,1144.5,,18.0
ZSQ25,2024-02-28,1148.5,1148.5,1148.5,1148.5,,18.0
ZSQ25,2024-02-29,1146.0,1146.0,1146.0,1146.0,,18.0
ZSQ25,2024-03-01,1152.5,1152.5,1152.5,1152.5,,18.0
ZSQ25,2024-03-04,1159.25,1159.25,1159.25,1159.25,,18.0
ZSQ25,2024-03-05,1157.25,1157.25,1157.25,1157.25,,18.0
ZSQ25,2024-03-06,1156.0,1156.0,1156.0,1156.0,,18.0
ZSQ25,2024-03-07,1163.5,1163.5,1163.5,1163.5,,18.0
ZSQ25,2024-03-08,1182.0,1182.0,1182.0,1182.0,,18.0
ZSQ25,2024-03-11,1181.5,1181.5,1181.0,1181.5,1.0,18.0
ZSQ25,2024-03-12,1194.5,1194.5,1194.5,1194.5,,18.0
ZSQ25,2024-03-13,1194.5,1194.5,1194.5,1194.5,,18.0
ZSQ25,2024-03-14,1195.25,1195.25,1195.25,1195.25,2.0,20.0
ZSQ25,2024-03-15,1198.75,1198.75,1198.75,1198.75,4.0,20.0
ZSQ25,2024-03-18,1190.75,1190.75,1190.75,1190.75,,20.0
ZSQ25,2024-03-19,1192.5,1192.5,1192.5,1192.5,,20.0
ZSQ25,2024-03-20,1203.0,1205.0,1201.75,1205.0,22.0,40.0
ZSQ25,2024-03-21,1200.75,1206.5,1200.75,1206.5,6.0,43.0
ZSQ25,2024-03-22,1189.75,1189.75,1189.75,1189.75,6.0,45.0
ZSQ25,2024-03-25,1199.5,1199.5,1199.5,1199.5,1.0,45.0
ZSQ25,2024-03-26,1191.25,1191.25,1191.25,1191.25,2.0,45.0
ZSQ25,2024-03-27,1184.0,1184.0,1184.0,1184.0,5.0,46.0
ZSQ25,2024-03-28,1193.25,1193.25,1193.25,1193.25,,46.0
ZSQ25,2024-04-01,1190.5,1190.5,1190.5,1190.5,,46.0
ZSQ25,2024-04-02,1190.75,1190.75,1190.75,1190.75,,46.0
ZSQ25,2024-04-03,1198.25,1198.25,1198.25,1198.25,,46.0
ZSQ25,2024-04-04,1199.0,1199.0,1199.0,1199.0,,46.0
ZSQ25,2024-04-05,1197.0,1197.0,1197.0,1197.0,2.0,48.0
ZSQ25,2024-04-08,1196.0,1196.0,1196.0,1196.0,,48.0
ZSQ25,2024-04-09,1190.25,1190.25,1190.25,1190.25,,48.0
ZSQ25,2024-04-10,1184.5,1184.5,1184.5,1184.5,,48.0
ZSQ25,2024-04-11,1181.25,1181.25,1181.25,1181.25,4.0,48.0
ZSQ25,2024-04-12,1189.25,1189.25,1189.25,1189.25,2.0,48.0
ZSQ25,2024-04-15,1182.75,1182.75,1182.75,1182.75,,48.0
ZSQ25,2024-04-16,1175.25,1175.25,1175.25,1175.25,1.0,49.0
ZSQ25,2024-04-17,1176.75,1176.75,1176.75,1176.75,,49.0
ZSQ25,2024-04-18,1167.75,1167.75,1167.75,1167.75,,49.0
ZSQ25,2024-04-19,1176.25,1176.25,1176.25,1176.25,,49.0
ZSQ25,2024-04-22,1185.0,1185.0,1185.0,1185.0,,49.0
ZSQ25,2024-04-23,1185.75,1185.75,1185.75,1185.75,,49.0
ZSQ25,2024-04-24,1185.0,1185.0,1185.0,1185.0,14.0,55.0
ZSQ25,2024-04-25,1187.75,1187.75,1187.75,1187.75,,55.0
ZSQ25,2024-04-26,1190.25,1190.25,1190.25,1190.25,,55.0
ZSQ25,2024-04-29,1192.5,1192.5,1192.5,1192.5,,55.0
ZSQ25,2024-04-30,1176.5,1176.5,1176.5,1176.5,3.0,55.0
ZSQ25,2024-05-01,1182.0,1182.0,1182.0,1182.0,2.0,54.0
ZSQ25,2024-05-02,1190.5,1198.25,1190.5,1197.0,17.0,54.0
ZSQ25,2024-05-03,1206.0,1206.0,1206.0,1206.0,10.0,58.0
ZSQ25,2024-05-06,1210.0,1223.0,1210.0,1223.0,7.0,63.0
ZSQ25,2024-05-07,1232.75,1232.75,1232.75,1232.75,4.0,67.0
ZSQ25,2024-05-08,1219.25,1220.25,1217.0,1220.25,56.0,111.0
ZSQ25,2024-05-09,1211.0,1211.0,1211.0,1211.0,,111.0
ZSQ25,2024-05-10,1214.0,1214.0,1206.25,1212.75,138.0,162.0
ZSQ25,2024-05-13,1215.75,1221.0,1215.75,1221.0,35.0,169.0
ZSQ25,2024-05-14,1211.5,1221.25,1211.0,1216.0,267.0,231.0
ZSQ25,2024-05-15,1218.0,1227.25,1211.75,1213.75,346.0,435.0
ZSQ25,2024-05-16,1213.25,1215.75,1209.0,1211.25,73.0,436.0
ZSQ25,2024-05-17,1215.5,1218.0,1211.0,1211.25,109.0,485.0
ZSQ25,2024-05-20,1221.5,1225.75,1209.5,1221.5,18.0,485.0
ZSQ25,2024-05-21,1218.0,1222.5,1216.0,1220.0,43.0,495.0
ZSQ25,2024-05-22,1223.25,1225.75,1223.25,1223.25,134.0,582.0
ZSQ25,2024-05-23,1220.25,1230.5,1220.25,1221.25,101.0,654.0
ZSQ25,2024-05-24,1221.5,1225.25,1218.25,1222.5,147.0,745.0
ZSQ25,2024-05-28,1218.5,1218.5,1218.5,1218.5,298.0,950.0
ZSQ25,2024-05-29,1210.0,1210.0,1210.0,1210.0,171.0,1080.0
ZSQ25,2024-05-30,1209.25,1209.25,1202.75,1202.75,78.0,1128.0
ZSQ25,2024-05-31,1204.75,1207.25,1198.25,1198.25,23.0,1138.0
ZSQ25,2024-06-03,1189.5,1189.5,1183.5,1183.5,22.0,1148.0
ZSQ25,2024-06-04,1177.5,1177.5,1177.5,1177.5,3.0,1147.0
ZSQ25,2024-06-05,1173.25,1173.25,1173.25,1173.25,70.0,1180.0
ZSQ25,2024-06-06,1185.0,1185.0,1185.0,1185.0,61.0,1199.0
ZSQ25,2024-06-07,1177.5,1177.5,1177.5,1177.5,2.0,1199.0
ZSQ25,2024-06-10,1177.5,1177.75,1177.5,1177.75,29.0,1209.0
ZSQ25,2024-06-11,1175.0,1175.0,1172.25,1173.0,7.0,1213.0
ZSQ25,2024-06-12,1165.75,1169.0,1165.75,1167.75,135.0,1217.0
ZSQ25,2024-06-13,1172.25,1172.5,1172.25,1172.5,29.0,1234.0
ZSQ25,2024-06-14,1166.75,1171.25,1165.0,1166.75,7.0,1237.0
ZSQ25,2024-06-17,1153.25,1153.5,1150.5,1150.75,36.0,1243.0
ZSQ25,2024-06-18,1152.25,1157.5,1152.25,1152.25,20.0,1251.0
ZSQ25,2024-06-20,1146.5,1156.5,1143.0,1143.75,148.0,1268.0
ZSQ25,2024-06-21,1144.75,1145.75,1139.5,1143.5,96.0,1315.0
ZSQ25,2024-06-24,1139.25,1152.5,1139.25,1151.75,58.0,1333.0
ZSQ25,2024-06-25,1141.0,1141.0,1136.75,1136.75,75.0,1349.0
ZSQ25,2024-06-26,1132.0,1133.25,1132.0,1133.25,15.0,1357.0
