date,pig_group_id,site,barn,day_in_finisher,est_weight_lb,expected_feed_per_head_lb,actual_feed_per_head_lb,head_count,total_barn_feed_lb,source
2025-04-24,PG-1000,Finisher East,F1,0,52.0,2.07,1.88,2150,4051.0,ISU growth model
2025-04-25,PG-1000,Finisher East,F1,1,53.8,2.11,2.16,2150,4643.0,ISU growth model
2025-04-26,PG-1000,Finisher East,F1,2,55.5,2.14,2.19,2150,4711.0,ISU growth model
2025-04-27,PG-1000,Finisher East,F1,3,57.3,2.18,2.36,2150,5068.0,ISU growth model
2025-04-28,PG-1000,Finisher East,F1,4,59.0,2.22,2.12,2150,4549.0,ISU growth model
2025-04-29,PG-1000,Finisher East,F1,5,60.8,2.26,2.16,2150,4647.0,ISU growth model
2025-04-30,PG-1000,Finisher East,F1,6,62.5,2.29,2.19,2150,4707.0,ISU growth model
2025-05-01,PG-1000,Finisher East,F1,7,64.3,2.33,2.16,2150,4642.0,ISU growth model
2025-05-02,PG-1000,Finisher East,F1,8,66.0,2.37,1.87,2150,4029.0,ISU growth model
2025-05-03,PG-1000,Finisher East,F1,9,67.8,2.41,2.59,2150,5568.0,ISU growth model
2025-05-04,PG-1000,Finisher East,F1,10,69.5,2.44,2.6,2150,5599.0,ISU growth model
2025-05-05,PG-1000,Finisher East,F1,11,71.3,2.48,2.18,2150,4686.0,ISU growth model
2025-05-06,PG-1000,Finisher East,F1,12,73.0,2.52,2.43,2150,5232.0,ISU growth model
2025-05-07,PG-1000,Finisher East,F1,13,74.8,2.56,2.41,2150,5172.0,ISU growth model
2025-05-08,PG-1000,Finisher East,F1,14,76.5,2.59,2.45,2150,5265.0,ISU growth model
2025-05-09,PG-1000,Finisher East,F1,15,78.3,2.63,2.18,2150,4691.0,ISU growth model
2025-05-10,PG-1000,Finisher East,F1,16,80.0,2.67,2.54,2150,5452.0,ISU growth model
2025-05-11,PG-1000,Finisher East,F1,17,81.8,2.71,2.84,2150,6100.0,ISU growth model
2025-05-12,PG-1000,Finisher East,F1,18,83.5,2.75,3.31,2150,7111.0,ISU growth model
2025-05-13,PG-1000,Finisher East,F1,19,85.3,2.78,2.87,2150,6172.0,ISU growth model
2025-05-14,PG-1000,Finisher East,F1,20,87.0,2.82,2.14,2150,4593.0,ISU growth model
2025-05-15,PG-1000,Finisher East,F1,21,88.8,2.86,2.06,2150,4419.0,ISU growth model
2025-05-16,PG-1000,Finisher East,F1,22,90.5,2.9,2.07,2150,4445.0,ISU growth model
2025-05-17,PG-1000,Finisher East,F1,23,92.3,2.93,2.37,2150,5089.0,ISU growth model
2025-05-18,PG-1000,Finisher East,F1,24,94.0,2.97,2.28,2150,4902.0,ISU growth model
2025-05-19,PG-1000,Finisher East,F1,25,95.8,3.01,2.14,2150,4605.0,ISU growth model
2025-05-20,PG-1000,Finisher East,F1,26,97.5,3.05,2.1,2150,4511.0,ISU growth model
2025-05-21,PG-1000,Finisher East,F1,27,99.3,3.08,2.28,2150,4909.0,ISU growth model
2025-05-22,PG-1000,Finisher East,F1,28,101.0,3.12,2.99,2150,6425.0,ISU growth model
2025-05-23,PG-1000,Finisher East,F1,29,102.8,3.16,3.16,2150,6789.0,ISU growth model
2025-05-24,PG-1000,Finisher East,F1,30,104.5,3.2,3.14,2150,6747.0,ISU growth model
2025-05-25,PG-1000,Finisher East,F1,31,106.3,3.23,3.34,2150,7171.0,ISU growth model
2025-05-26,PG-1000,Finisher East,F1,32,108.0,3.27,2.94,2150,6323.0,ISU growth model
2025-05-27,PG-1000,Finisher East,F1,33,109.8,3.31,3.6,2150,7738.0,ISU growth model
2025-05-28,PG-1000,Finisher East,F1,34,111.5,3.35,4.09,2150,8796.0,ISU growth model
2025-05-29,PG-1000,Finisher East,F1,35,113.3,3.38,3.71,2150,7973.0,ISU growth model
2025-05-30,PG-1000,Finisher East,F1,36,115.0,3.42,3.48,2150,7487.0,ISU growth model
2025-05-31,PG-1000,Finisher East,F1,37,116.8,3.46,3.7,2150,7964.0,ISU growth model
2025-06-01,PG-1000,Finisher East,F1,38,118.5,3.5,3.22,2150,6913.0,ISU growth model
2025-06-02,PG-1000,Finisher East,F1,39,120.3,3.54,3.09,2150,6638.0,ISU growth model
2025-06-03,PG-1000,Finisher East,F1,40,122.0,3.57,3.79,2150,8158.0,ISU growth model
2025-06-04,PG-1000,Finisher East,F1,41,123.8,3.61,3.46,2150,7429.0,ISU growth model
2025-06-05,PG-1000,Finisher East,F1,42,125.5,3.65,3.26,2150,6999.0,ISU growth model
2025-06-06,PG-1000,Finisher East,F1,43,127.3,3.69,3.43,2150,7366.0,ISU growth model
2025-06-07,PG-1000,Finisher East,F1,44,129.0,3.72,3.39,2150,7282.0,ISU growth model
2025-06-08,PG-1000,Finisher East,F1,45,130.8,3.76,3.8,2150,8173.0,ISU growth model
2025-06-09,PG-1000,Finisher East,F1,46,132.5,3.8,3.98,2150,8548.0,ISU growth model
2025-06-10,PG-1000,Finisher East,F1,47,134.3,3.84,4.11,2150,8834.0,ISU growth model
2025-06-11,PG-1000,Finisher East,F1,48,136.0,3.87,4.15,2150,8925.0,ISU growth model
2025-06-12,PG-1000,Finisher East,F1,49,137.8,3.91,4.15,2150,8918.0,ISU growth model
2025-06-13,PG-1000,Finisher East,F1,50,139.5,3.95,3.88,2150,8350.0,ISU growth model
2025-06-14,PG-1000,Finisher East,F1,51,141.3,3.99,3.79,2150,8144.0,ISU growth model
2025-06-15,PG-1000,Finisher East,F1,52,143.0,4.02,3.54,2150,7609.0,ISU growth model
2025-06-16,PG-1000,Finisher East,F1,53,144.8,4.06,4.42,2150,9502.0,ISU growth model
2025-06-17,PG-1000,Finisher East,F1,54,146.5,4.1,4.04,2150,8689.0,ISU growth model
2025-06-18,PG-1000,Finisher East,F1,55,148.2,4.14,4.0,2150,8603.0,ISU growth model
2025-06-19,PG-1000,Finisher East,F1,56,150.0,4.17,4.57,2150,9823.0,ISU growth model
2025-06-20,PG-1000,Finisher East,F1,57,151.7,4.21,3.91,2150,8406.0,ISU growth model
2025-06-21,PG-1000,Finisher East,F1,58,153.5,4.25,4.53,2150,9748.0,ISU growth model
2025-06-22,PG-1000,Finisher East,F1,59,155.2,4.29,4.39,2150,9438.0,ISU growth model
2025-06-23,PG-1000,Finisher East,F1,60,157.0,4.33,3.97,2150,8528.0,ISU growth model
2025-06-24,PG-1000,Finisher East,F1,61,158.7,4.36,4.34,2150,9324.0,ISU growth model
2025-06-25,PG-1000,Finisher East,F1,62,160.5,4.4,4.74,2150,10198.0,ISU growth model
2025-06-26,PG-1000,Finisher East,F1,63,162.2,4.44,4.72,2150,10150.0,ISU growth model
2025-06-27,PG-1000,Finisher East,F1,64,164.0,4.48,5.01,2150,10775.0,ISU growth model
2025-06-28,PG-1000,Finisher East,F1,65,165.7,4.51,4.64,2150,9967.0,ISU growth model
2025-06-29,PG-1000,Finisher East,F1,66,167.5,4.55,5.78,2150,12425.0,ISU growth model
2025-06-30,PG-1000,Finisher East,F1,67,169.2,4.59,4.25,2150,9140.0,ISU growth model
2025-07-01,PG-1000,Finisher East,F1,68,171.0,4.63,4.48,2150,9630.0,ISU growth model
2025-07-02,PG-1000,Finisher East,F1,69,172.7,4.66,4.64,2150,9979.0,ISU growth model
2025-07-03,PG-1000,Finisher East,F1,70,174.5,4.7,4.17,2150,8961.0,ISU growth model
2025-07-04,PG-1000,Finisher East,F1,71,176.2,4.74,5.13,2150,11039.0,ISU growth model
2025-07-05,PG-1000,Finisher East,F1,72,178.0,4.78,5.12,2150,11013.0,ISU growth model
2025-07-06,PG-1000,Finisher East,F1,73,179.7,4.81,4.82,2150,10367.0,ISU growth model
2025-07-07,PG-1000,Finisher East,F1,74,181.5,4.85,4.64,2150,9986.0,ISU growth model
2025-07-08,PG-1000,Finisher East,F1,75,183.2,4.89,4.3,2150,9256.0,ISU growth model
2025-07-09,PG-1000,Finisher East,F1,76,185.0,4.93,4.62,2150,9925.0,ISU growth model
2025-07-10,PG-1000,Finisher East,F1,77,186.7,4.97,5.26,2150,11310.0,ISU growth model
2025-07-11,PG-1000,Finisher East,F1,78,188.5,5.0,4.92,2150,10573.0,ISU growth model
2025-07-12,PG-1000,Finisher East,F1,79,190.2,5.04,4.87,2150,10467.0,ISU growth model
2025-07-13,PG-1000,Finisher East,F1,80,192.0,5.08,5.28,2150,11355.0,ISU growth model
2025-07-14,PG-1000,Finisher East,F1,81,193.7,5.12,5.59,2150,12017.0,ISU growth model
2025-07-15,PG-1000,Finisher East,F1,82,195.5,5.15,5.26,2150,11307.0,ISU growth model
2025-07-16,PG-1000,Finisher East,F1,83,197.2,5.19,5.32,2150,11441.0,ISU growth model
2025-07-17,PG-1000,Finisher East,F1,84,199.0,5.23,5.8,2150,12475.0,ISU growth model
2025-07-18,PG-1000,Finisher East,F1,85,200.7,5.27,5.34,2150,11481.0,ISU growth model
2025-07-19,PG-1000,Finisher East,F1,86,202.5,5.3,5.17,2150,11121.0,ISU growth model
2025-07-20,PG-1000,Finisher East,F1,87,204.2,5.34,5.63,2150,12102.0,ISU growth model
2025-07-21,PG-1000,Finisher East,F1,88,206.0,5.38,5.27,2150,11327.0,ISU growth model
