delivery_date,site,tons_delivered,feed_type,vendor,driver,lot_number,bin_level_before_pct,bin_level_after_pct,source
2025-01-01,Nursery North,9.0,Phase 3 (18% CP),AgriFeed Co,J. Miller,LOT-8352,39,75,SYNTHETIC — requires bin scale API
2025-01-01,Nursery South,15.1,Phase 1 (22% CP),AgriFeed Co,J. Miller,LOT-3708,17,75,SYNTHETIC — requires bin scale API
2025-01-01,Finisher East,6.9,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-4273,36,93,SYNTHETIC — requires bin scale API
2025-01-01,Finisher West,15.4,Grower (16% CP),AgriFeed Co,T. Anderson,LOT-4722,19,81,SYNTHETIC — requires bin scale API
2025-01-04,Nursery North,9.2,Phase 3 (18% CP),AgriFeed Co,T. Anderson,LOT-6754,30,60,SYNTHETIC — requires bin scale API
2025-01-04,Nursery South,14.5,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-2104,18,83,SYNTHETIC — requires bin scale API
2025-01-04,Finisher East,7.9,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-2914,15,60,SYNTHETIC — requires bin scale API
2025-01-04,Finisher West,7.5,Finisher 1 (14% CP),AgriFeed Co,R. Chen,LOT-1508,39,76,SYNTHETIC — requires bin scale API
2025-01-07,Nursery North,6.4,Phase 1 (22% CP),AgriFeed Co,T. Anderson,LOT-3120,22,65,SYNTHETIC — requires bin scale API
2025-01-07,Nursery South,10.0,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-4408,26,71,SYNTHETIC — requires bin scale API
2025-01-07,Finisher East,14.1,Grower (16% CP),AgriFeed Co,R. Chen,LOT-5287,10,76,SYNTHETIC — requires bin scale API
2025-01-07,Finisher West,10.6,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-2567,13,77,SYNTHETIC — requires bin scale API
2025-01-10,Nursery North,6.2,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-4490,17,73,SYNTHETIC — requires bin scale API
2025-01-10,Nursery South,14.4,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-5796,32,63,SYNTHETIC — requires bin scale API
2025-01-10,Finisher East,12.7,Grower (16% CP),AgriFeed Co,R. Chen,LOT-5997,34,92,SYNTHETIC — requires bin scale API
2025-01-10,Finisher West,17.6,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-3240,14,86,SYNTHETIC — requires bin scale API
2025-01-13,Nursery North,11.8,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-2855,39,94,SYNTHETIC — requires bin scale API
2025-01-13,Nursery South,17.4,Phase 3 (18% CP),AgriFeed Co,R. Chen,LOT-2481,34,79,SYNTHETIC — requires bin scale API
2025-01-13,Finisher East,14.1,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-4093,28,67,SYNTHETIC — requires bin scale API
2025-01-13,Finisher West,9.0,Finisher 2 (13% CP),AgriFeed Co,R. Chen,LOT-8951,32,78,SYNTHETIC — requires bin scale API
2025-01-16,Nursery North,13.5,Phase 1 (22% CP),AgriFeed Co,T. Anderson,LOT-6131,39,70,SYNTHETIC — requires bin scale API
2025-01-16,Nursery South,8.3,Phase 1 (22% CP),AgriFeed Co,J. Miller,LOT-4168,14,87,SYNTHETIC — requires bin scale API
2025-01-16,Finisher East,10.9,Finisher 1 (14% CP),AgriFeed Co,M. Garcia,LOT-4104,39,78,SYNTHETIC — requires bin scale API
2025-01-16,Finisher West,14.1,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-3606,16,63,SYNTHETIC — requires bin scale API
2025-01-19,Nursery North,17.8,Phase 2 (20% CP),AgriFeed Co,R. Chen,LOT-7358,28,88,SYNTHETIC — requires bin scale API
2025-01-19,Nursery South,7.2,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-7481,19,67,SYNTHETIC — requires bin scale API
2025-01-19,Finisher East,6.8,Grower (16% CP),AgriFeed Co,J. Miller,LOT-7160,11,65,SYNTHETIC — requires bin scale API
2025-01-19,Finisher West,12.6,Finisher 1 (14% CP),AgriFeed Co,T. Anderson,LOT-2988,27,85,SYNTHETIC — requires bin scale API
2025-01-22,Nursery North,13.0,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-6808,21,66,SYNTHETIC — requires bin scale API
2025-01-22,Nursery South,9.2,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-9399,11,83,SYNTHETIC — requires bin scale API
2025-01-22,Finisher East,13.9,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-2518,15,79,SYNTHETIC — requires bin scale API
2025-01-22,Finisher West,9.6,Finisher 1 (14% CP),AgriFeed Co,M. Garcia,LOT-4554,24,61,SYNTHETIC — requires bin scale API
2025-01-25,Nursery North,9.2,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-2742,36,69,SYNTHETIC — requires bin scale API
2025-01-25,Nursery South,11.4,Phase 2 (20% CP),AgriFeed Co,T. Anderson,LOT-5195,36,61,SYNTHETIC — requires bin scale API
2025-01-25,Finisher East,16.4,Grower (16% CP),AgriFeed Co,R. Chen,LOT-7409,30,74,SYNTHETIC — requires bin scale API
2025-01-25,Finisher West,8.6,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-2271,31,93,SYNTHETIC — requires bin scale API
2025-01-28,Nursery North,10.5,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-5396,13,66,SYNTHETIC — requires bin scale API
