pig_group_id,site,barn,week_number,week_start,deaths,cumulative_deaths,head_remaining,weekly_mortality_pct,source
PG-1017,Nursery North,N1,1,2025-01-16,10,10,2275,0.44,distributed from pig_flow totals
PG-1017,Nursery North,N1,2,2025-01-23,11,21,2264,0.48,distributed from pig_flow totals
PG-1017,Nursery North,N1,3,2025-01-30,3,24,2261,0.13,distributed from pig_flow totals
PG-1017,Nursery North,N1,4,2025-02-06,8,32,2253,0.35,distributed from pig_flow totals
PG-1017,Nursery North,N1,5,2025-02-13,13,45,2240,0.58,distributed from pig_flow totals
PG-1017,Nursery North,N1,6,2025-02-20,12,57,2228,0.54,distributed from pig_flow totals
PG-1017,Nursery North,N1,7,2025-02-27,14,71,2214,0.63,distributed from pig_flow totals
PG-1017,Nursery North,N1,8,2025-03-06,6,77,2208,0.27,distributed from pig_flow totals
PG-1002,Nursery South,NS2,1,2025-01-24,8,8,2266,0.35,distributed from pig_flow totals
PG-1002,Nursery South,NS2,2,2025-01-31,10,18,2256,0.44,distributed from pig_flow totals
PG-1002,Nursery South,NS2,3,2025-02-07,7,25,2249,0.31,distributed from pig_flow totals
PG-1002,Nursery South,NS2,4,2025-02-14,4,29,2245,0.18,distributed from pig_flow totals
PG-1002,Nursery South,NS2,5,2025-02-21,3,32,2242,0.13,distributed from pig_flow totals
PG-1002,Nursery South,NS2,6,2025-02-28,8,40,2234,0.36,distributed from pig_flow totals
PG-1002,Nursery South,NS2,7,2025-03-07,7,47,2227,0.31,distributed from pig_flow totals
PG-1002,Nursery South,NS2,8,2025-03-14,5,52,2222,0.22,distributed from pig_flow totals
PG-1014,Nursery South,NS2,1,2025-02-02,6,6,2425,0.25,distributed from pig_flow totals
PG-1014,Nursery South,NS2,2,2025-02-09,11,17,2414,0.45,distributed from pig_flow totals
PG-1014,Nursery South,NS2,3,2025-02-16,18,35,2396,0.75,distributed from pig_flow totals
PG-1014,Nursery South,NS2,4,2025-02-23,11,46,2385,0.46,distributed from pig_flow totals
PG-1014,Nursery South,NS2,5,2025-03-02,11,57,2374,0.46,distributed from pig_flow totals
PG-1014,Nursery South,NS2,6,2025-03-09,11,68,2363,0.46,distributed from pig_flow totals
PG-1014,Nursery South,NS2,7,2025-03-16,10,78,2353,0.42,distributed from pig_flow totals
PG-1014,Nursery South,NS2,8,2025-03-23,13,91,2340,0.55,distributed from pig_flow totals
PG-1011,Nursery South,NS2,1,2025-02-11,12,12,2338,0.51,distributed from pig_flow totals
PG-1011,Nursery South,NS2,2,2025-02-18,12,24,2326,0.51,distributed from pig_flow totals
PG-1011,Nursery South,NS2,3,2025-02-25,8,32,2318,0.34,distributed from pig_flow totals
PG-1011,Nursery South,NS2,4,2025-03-04,16,48,2302,0.69,distributed from pig_flow totals
PG-1011,Nursery South,NS2,5,2025-03-11,13,61,2289,0.56,distributed from pig_flow totals
PG-1011,Nursery South,NS2,6,2025-03-18,16,77,2273,0.7,distributed from pig_flow totals
PG-1011,Nursery South,NS2,7,2025-03-25,15,92,2258,0.66,distributed from pig_flow totals
PG-1011,Nursery South,NS2,8,2025-04-01,10,102,2248,0.44,distributed from pig_flow totals
PG-1015,Nursery South,NS2,1,2025-02-15,4,4,2565,0.16,distributed from pig_flow totals
PG-1015,Nursery South,NS2,2,2025-02-22,7,11,2558,0.27,distributed from pig_flow totals
PG-1015,Nursery South,NS2,3,2025-03-01,6,17,2552,0.23,distributed from pig_flow totals
PG-1015,Nursery South,NS2,4,2025-03-08,9,26,2543,0.35,distributed from pig_flow totals
PG-1015,Nursery South,NS2,5,2025-03-15,4,30,2539,0.16,distributed from pig_flow totals
PG-1015,Nursery South,NS2,6,2025-03-22,8,38,2531,0.32,distributed from pig_flow totals
PG-1015,Nursery South,NS2,7,2025-03-29,6,44,2525,0.24,distributed from pig_flow totals
PG-1015,Nursery South,NS2,8,2025-04-05,6,50,2519,0.24,distributed from pig_flow totals
PG-1016,Nursery South,NS2,1,2025-02-22,10,10,2389,0.42,distributed from pig_flow totals
PG-1016,Nursery South,NS2,2,2025-03-01,8,18,2381,0.33,distributed from pig_flow totals
PG-1016,Nursery South,NS2,3,2025-03-08,13,31,2368,0.55,distributed from pig_flow totals
PG-1016,Nursery South,NS2,4,2025-03-15,14,45,2354,0.59,distributed from pig_flow totals
PG-1016,Nursery South,NS2,5,2025-03-22,10,55,2344,0.42,distributed from pig_flow totals
PG-1016,Nursery South,NS2,6,2025-03-29,13,68,2331,0.55,distributed from pig_flow totals
